SampleID	Nature	Platform	Method	Patient	Patient_1
WGS_sample_10_airways	Air	WGS	Humann	sample_10	sample_10_Humann
16S_METGEM_air_10	Air	16S	METGEM	sample_10	sample_10_METGEM
16S_METGEM_CUS_air_10	Air	16S	METGEM-CUS	sample_10	sample_10_METGEM-CUS
16S_PANFP_air_10	Air	16S	PANFP	sample_10	sample_10_PANFP
16S_PANFP_CUS_air_10	Air	16S	PANFP-CUS	sample_10	sample_10_PANFP-CUS
16S_PICRUST_air_10	Air	16S	PICRUST	sample_10	sample_10_PICRUST
16S_PICRUST_CUS_air_10	Air	16S	PICRUST-CUS	sample_10	sample_10_PICRUST-CUS
16S_TAX4FUN_air_10	Air	16S	TAX4FUN	sample_10	sample_10_TAX4FUN
16S_TAX4FUN_CUS_air_10	Air	16S	TAX4FUN-CUS	sample_10	sample_10_TAX4FUN-CUS
WGS_sample_11_airways	Air	WGS	Humann	sample_11	sample_11_Humann
16S_METGEM_air_11	Air	16S	METGEM	sample_11	sample_11_METGEM
16S_METGEM_CUS_air_11	Air	16S	METGEM-CUS	sample_11	sample_11_METGEM-CUS
16S_PANFP_air_11	Air	16S	PANFP	sample_11	sample_11_PANFP
16S_PANFP_CUS_air_11	Air	16S	PANFP-CUS	sample_11	sample_11_PANFP-CUS
16S_PICRUST_air_11	Air	16S	PICRUST	sample_11	sample_11_PICRUST
16S_PICRUST_CUS_air_11	Air	16S	PICRUST-CUS	sample_11	sample_11_PICRUST-CUS
16S_TAX4FUN_air_11	Air	16S	TAX4FUN	sample_11	sample_11_TAX4FUN
16S_TAX4FUN_CUS_air_11	Air	16S	TAX4FUN-CUS	sample_11	sample_11_TAX4FUN-CUS
WGS_sample_12_airways	Air	WGS	Humann	sample_12	sample_12_Humann
16S_METGEM_air_12	Air	16S	METGEM	sample_12	sample_12_METGEM
16S_METGEM_CUS_air_12	Air	16S	METGEM-CUS	sample_12	sample_12_METGEM-CUS
16S_PANFP_air_12	Air	16S	PANFP	sample_12	sample_12_PANFP
16S_PANFP_CUS_air_12	Air	16S	PANFP-CUS	sample_12	sample_12_PANFP-CUS
16S_PICRUST_air_12	Air	16S	PICRUST	sample_12	sample_12_PICRUST
16S_PICRUST_CUS_air_12	Air	16S	PICRUST-CUS	sample_12	sample_12_PICRUST-CUS
16S_TAX4FUN_air_12	Air	16S	TAX4FUN	sample_12	sample_12_TAX4FUN
16S_TAX4FUN_CUS_air_12	Air	16S	TAX4FUN-CUS	sample_12	sample_12_TAX4FUN-CUS
WGS_sample_23_airways	Air	WGS	Humann	sample_23	sample_23_Humann
16S_METGEM_air_23	Air	16S	METGEM	sample_23	sample_23_METGEM
16S_METGEM_CUS_air_23	Air	16S	METGEM-CUS	sample_23	sample_23_METGEM-CUS
16S_PANFP_air_23	Air	16S	PANFP	sample_23	sample_23_PANFP
16S_PANFP_CUS_air_23	Air	16S	PANFP-CUS	sample_23	sample_23_PANFP-CUS
16S_PICRUST_air_23	Air	16S	PICRUST	sample_23	sample_23_PICRUST
16S_PICRUST_CUS_air_23	Air	16S	PICRUST-CUS	sample_23	sample_23_PICRUST-CUS
16S_TAX4FUN_air_23	Air	16S	TAX4FUN	sample_23	sample_23_TAX4FUN
16S_TAX4FUN_CUS_air_23	Air	16S	TAX4FUN-CUS	sample_23	sample_23_TAX4FUN-CUS
WGS_sample_26_airways	Air	WGS	Humann	sample_26	sample_26_Humann
16S_METGEM_air_26	Air	16S	METGEM	sample_26	sample_26_METGEM
16S_METGEM_CUS_air_26	Air	16S	METGEM-CUS	sample_26	sample_26_METGEM-CUS
16S_PANFP_air_26	Air	16S	PANFP	sample_26	sample_26_PANFP
16S_PANFP_CUS_air_26	Air	16S	PANFP-CUS	sample_26	sample_26_PANFP-CUS
16S_PICRUST_air_26	Air	16S	PICRUST	sample_26	sample_26_PICRUST
16S_PICRUST_CUS_air_26	Air	16S	PICRUST-CUS	sample_26	sample_26_PICRUST-CUS
16S_TAX4FUN_air_26	Air	16S	TAX4FUN	sample_26	sample_26_TAX4FUN
16S_TAX4FUN_CUS_air_26	Air	16S	TAX4FUN-CUS	sample_26	sample_26_TAX4FUN-CUS
WGS_sample_27_airways	Air	WGS	Humann	sample_27	sample_27_Humann
16S_METGEM_air_27	Air	16S	METGEM	sample_27	sample_27_METGEM
16S_METGEM_CUS_air_27	Air	16S	METGEM-CUS	sample_27	sample_27_METGEM-CUS
16S_PANFP_air_27	Air	16S	PANFP	sample_27	sample_27_PANFP
16S_PANFP_CUS_air_27	Air	16S	PANFP-CUS	sample_27	sample_27_PANFP-CUS
16S_PICRUST_air_27	Air	16S	PICRUST	sample_27	sample_27_PICRUST
16S_PICRUST_CUS_air_27	Air	16S	PICRUST-CUS	sample_27	sample_27_PICRUST-CUS
16S_TAX4FUN_air_27	Air	16S	TAX4FUN	sample_27	sample_27_TAX4FUN
16S_TAX4FUN_CUS_air_27	Air	16S	TAX4FUN-CUS	sample_27	sample_27_TAX4FUN-CUS
WGS_sample_4_airways	Air	WGS	Humann	sample_4	sample_4_Humann
16S_METGEM_air_4	Air	16S	METGEM	sample_4	sample_4_METGEM
16S_METGEM_CUS_air_4	Air	16S	METGEM-CUS	sample_4	sample_4_METGEM-CUS
16S_PANFP_air_4	Air	16S	PANFP	sample_4	sample_4_PANFP
16S_PANFP_CUS_air_4	Air	16S	PANFP-CUS	sample_4	sample_4_PANFP-CUS
16S_PICRUST_air_4	Air	16S	PICRUST	sample_4	sample_4_PICRUST
16S_PICRUST_CUS_air_4	Air	16S	PICRUST-CUS	sample_4	sample_4_PICRUST-CUS
16S_TAX4FUN_air_4	Air	16S	TAX4FUN	sample_4	sample_4_TAX4FUN
16S_TAX4FUN_CUS_air_4	Air	16S	TAX4FUN-CUS	sample_4	sample_4_TAX4FUN-CUS
WGS_sample_7_airways	Air	WGS	Humann	sample_7	sample_7_Humann
16S_METGEM_air_7	Air	16S	METGEM	sample_7	sample_7_METGEM
16S_METGEM_CUS_air_7	Air	16S	METGEM-CUS	sample_7	sample_7_METGEM-CUS
16S_PANFP_air_7	Air	16S	PANFP	sample_7	sample_7_PANFP
16S_PANFP_CUS_air_7	Air	16S	PANFP-CUS	sample_7	sample_7_PANFP-CUS
16S_PICRUST_air_7	Air	16S	PICRUST	sample_7	sample_7_PICRUST
16S_PICRUST_CUS_air_7	Air	16S	PICRUST-CUS	sample_7	sample_7_PICRUST-CUS
16S_TAX4FUN_air_7	Air	16S	TAX4FUN	sample_7	sample_7_TAX4FUN
16S_TAX4FUN_CUS_air_7	Air	16S	TAX4FUN-CUS	sample_7	sample_7_TAX4FUN-CUS
WGS_sample_8_airways	Air	WGS	Humann	sample_8	sample_8_Humann
16S_METGEM_air_8	Air	16S	METGEM	sample_8	sample_8_METGEM
16S_METGEM_CUS_air_8	Air	16S	METGEM-CUS	sample_8	sample_8_METGEM-CUS
16S_PANFP_air_8	Air	16S	PANFP	sample_8	sample_8_PANFP
16S_PANFP_CUS_air_8	Air	16S	PANFP-CUS	sample_8	sample_8_PANFP-CUS
16S_PICRUST_air_8	Air	16S	PICRUST	sample_8	sample_8_PICRUST
16S_PICRUST_CUS_air_8	Air	16S	PICRUST-CUS	sample_8	sample_8_PICRUST-CUS
16S_TAX4FUN_air_8	Air	16S	TAX4FUN	sample_8	sample_8_TAX4FUN
16S_TAX4FUN_CUS_air_8	Air	16S	TAX4FUN-CUS	sample_8	sample_8_TAX4FUN-CUS
WGS_sample_9_airways	Air	WGS	Humann	sample_9	sample_9_Humann
16S_METGEM_air_9	Air	16S	METGEM	sample_9	sample_9_METGEM
16S_METGEM_CUS_air_9	Air	16S	METGEM-CUS	sample_9	sample_9_METGEM-CUS
16S_PANFP_air_9	Air	16S	PANFP	sample_9	sample_9_PANFP
16S_PANFP_CUS_air_9	Air	16S	PANFP-CUS	sample_9	sample_9_PANFP-CUS
16S_PICRUST_air_9	Air	16S	PICRUST	sample_9	sample_9_PICRUST
16S_PICRUST_CUS_air_9	Air	16S	PICRUST-CUS	sample_9	sample_9_PICRUST-CUS
16S_TAX4FUN_air_9	Air	16S	TAX4FUN	sample_9	sample_9_TAX4FUN
