KO	output
K00001	54.2752349955
K00002	40.5307349279
K00003	1965.9972897336
K00004	876.6805185862
K00005	818.0154973702
K00008	704.2043138146
K00009	388.5242204901
K00010	500.9569737166
K00012	3916.1964122356
K00013	4458.9722993109
K00014	5865.2139671006
K00015	228.479866087
K00016	2150.8847361447
K00018	1364.2952472511
K00019	2830.0239822607
K00020	4320.561203528
K00023	572.0393626251
K00024	3766.1607536008
K00027	1532.1052456031
K00029	4562.324840496
K00030	572.0155399885
K00031	3990.8682319314
K00033	1234.5333695155
K00034	53.8257332922
K00036	1915.3140149959
K00040	1041.4062649676
K00041	784.5617198121
K00042	36.6636985082
K00043	149.7697884668
K00045	703.5675626578
K00046	335.874424643
K00048	68.1209776446
K00052	7253.2268976705
K00053	5432.3210118709
K00054	47.3314599579
K00057	5758.9964982667
K00058	6718.129129205
K00059	17387.5533133393
K00060	64.0855323787
K00065	660.9544498916
K00067	5644.8227140622
K00068	344.606834443
K00073	638.2097493688
K00074	5001.574519968
K00075	6501.7715614832
K00077	6589.5848117369
K00086	224.7615499162
K00087	222.5995579841
K00088	5278.2382666719
K00090	83.5780188488
K00096	658.9016048852
K00097	1645.9210553864
K00098	508.4917377407
K00099	4211.4652481894
K00100	653.9436242957
K00101	4444.4970053639
K00102	599.0697326628
K00104	1006.840576577
K00105	84.4764179456
K00108	2613.7341062186
K00111	2608.5346670564
K00112	78.447150779
K00113	162.242002346
K00116	53.8174463626
K00121	473.4104400309
K00122	2245.9068136712
K00123	1718.9281264409
K00124	1220.0885798094
K00126	823.9270666982
K00127	3574.1863843274
K00128	1603.7958825167
K00131	509.4057055584
K00132	536.2239647798
K00133	5154.8750883326
K00134	4181.0544369742
K00135	7462.7215035809
K00140	2895.7671885791
K00145	4869.8193690175
K00147	5323.7807225335
K00151	180.6260998166
K00154	716.8586577012
K00156	658.6652460782
K00158	41.4016579998
K00161	162.0485041879
K00162	169.4184247638
K00163	4061.1291355375
K00164	81.0823844323
K00169	661.5207388927
K00170	638.6194730609
K00171	207.1095541316
K00172	615.2166341029
K00174	1761.0968023772
K00175	1179.5163930248
K00176	1398.4734723292
K00177	929.1601368081
K00179	742.877481395
K00180	750.0424595085
K00184	829.1621422869
K00185	96.6233903892
K00194	198.1792779812
K00196	1026.7919786568
K00197	153.9968413725
K00198	1809.0818842742
K00208	6442.8887425042
K00209	376.3499707394
K00210	132.3597008506
K00215	6362.5231526804
K00219	265.7934624714
K00226	421.3299608847
K00228	3298.7458553302
K00230	340.3378813708
K00231	150.5562054619
K00239	186.5327238781
K00240	4066.3701696433
K00241	1125.9146109413
K00242	655.0365893895
K00243	1550.8812531488
K00244	2594.2067829148
K00245	620.1134423999
K00246	881.361842835
K00247	770.8095220693
K00248	842.5024049175
K00249	566.6857934055
K00252	177.0281118369
K00253	2742.7686113504
K00254	2803.8700801355
K00259	185.0211605146
K00260	417.5879797473
K00261	656.5522351612
K00262	3260.4630340106
K00263	13.043576137
K00265	969.9152177377
K00266	3177.3559561247
K00274	305.3748311084
K00275	4170.1902995253
K00278	901.1091644962
K00281	3530.3774975761
K00282	171.790370887
K00283	424.2920708661
K00285	5797.497325208
K00286	2274.5309358027
K00287	5865.380028228
K00290	605.6356804546
K00294	2541.6214751445
K00297	2428.3730375801
K00298	217.9861400019
K00302	2445.0135009471
K00303	2245.081172412
K00305	1172.9173980026
K00311	623.1151394766
K00313	30.165907159
K00318	42.0147061348
K00324	10212.898637841
K00325	667.6094202022
K00329	2953.8543085394
K00330	4239.3995289372
K00331	4109.5819534406
K00332	3634.6827423375
K00333	3607.0830401353
K00334	3965.3643638879
K00335	3409.5046387325
K00336	3673.3429022065
K00337	3769.1777624327
K00338	4827.7330209232
K00339	4148.5835589169
K00340	4446.1096047761
K00341	731.7606874847
K00342	789.3989473394
K00343	3199.1210415061
K00344	1847.3280454037
K00346	613.9442282797
K00347	543.6930722837
K00348	353.2639689306
K00349	133.4974730417
K00350	527.2652006715
K00351	775.2947483453
K00354	249.4279586887
K00355	825.2860619641
K00356	2953.8543085394
K00362	854.6931106021
K00363	711.0617469295
K00364	264.8288737133
K00366	400.6944047643
K00371	666.7632257097
K00372	611.4056584626
K00374	137.7549554394
K00375	3654.2938721415
K00381	610.324043527
K00382	8438.2912807092
K00383	2866.0482161347
K00384	4965.4102794503
K00385	935.2073820513
K00389	136.2740788749
K00390	2890.6876519514
K00392	248.9483584847
K00394	541.032264139
K00395	643.3093407436
K00404	1835.5894302396
K00405	1296.1496870749
K00406	614.7595100243
K00407	1720.6930235414
K00411	1497.9288003921
K00412	3827.9008803944
K00413	634.8519517929
K00424	250
K00425	4678.3726340628
K00426	1849.3182703571
K00428	1193.4994992133
K00432	5135.8595884736
K00433	37.9476618657
K00448	691.772449912
K00449	595.6806054519
K00450	627.4337468101
K00451	3329.7121725479
K00453	2798.5433486866
K00455	170.0899139733
K00457	2624.4885927927
K00459	4394.4396341094
K00472	679.959696079
K00477	588.7953183798
K00480	1392.9505749571
K00505	702.4877936546
K00507	1259.6108000794
K00508	698.2874468827
K00523	6033.9556495681
K00525	2278.4096708532
K00526	4103.3266840011
K00528	4763.8111210452
K00529	1199.9121894539
K00532	509.1671706122
K00533	261.2034443738
K00534	105.413157465
K00537	9068.9712826897
K00547	362.6927115625
K00548	5453.9102624169
K00549	4405.3176865568
K00554	5981.6688144324
K00557	215.9464444378
K00558	2021.0878985849
K00560	4989.6015193827
K00561	95.072747613
K00563	675.0471125394
K00564	253.2761752468
K00566	5916.7301767226
K00567	8522.4807463674
K00568	3359.4873023764
K00569	3495.7730037849
K00571	644.8412914857
K00573	6998.7956597292
K00574	1495.2264777823
K00575	4849.0818912294
K00595	311.6981859861
K00596	631.0497829699
K00598	698.1663720136
K00600	6939.0492585823
K00602	6869.330405702
K00603	308.5451227848
