KO	output
K00001	35.2272727273
K00002	30.2858080978
K00003	7444.7446641417
K00004	118.9570285271
K00005	794.3452938293
K00008	341.9762572845
K00009	621.2496779807
K00010	410.4563254744
K00012	3768.532174437
K00013	8323.0077223825
K00014	8871.0072429894
K00015	407.9435750786
K00016	8306.8988496203
K00018	1714.6865487533
K00019	167.6555211052
K00020	2087.5728493754
K00024	7790.2148422061
K00027	2125.1373897497
K00029	1002.902847052
K00030	15.0120252102
K00031	8963.4137920715
K00033	9095.381677989
K00034	97.6987296644
K00036	2544.4804091504
K00040	302.6845585947
K00045	68.8529559451
K00046	1957.108524435
K00048	21.5587862163
K00052	8672.4980410439
K00053	14109.8845548329
K00054	1754.5740263922
K00055	10.0635498064
K00057	14543.425246998
K00058	4144.8877672489
K00059	13564.3722189099
K00060	206.438370703
K00064	9.0469528019
K00065	58.9503951006
K00067	2670.3726484086
K00068	190.506094117
K00074	384.1106364355
K00075	15078.7448216175
K00076	5451.5536213267
K00077	7530.5576742329
K00088	13555.0342736678
K00091	86.8169270753
K00096	32.702264974
K00097	5752.9786373
K00098	27.4268187412
K00099	8112.7471815394
K00100	148.677568205
K00101	1073.1944632414
K00102	24.9841880323
K00104	329.0416074779
K00105	9027.3349513781
K00108	454.0986811769
K00111	1371.3685044456
K00112	642.9045735768
K00113	651.1049708747
K00116	6979.3102456757
K00117	10.4799200273
K00121	653.7041891608
K00123	3307.0814327839
K00124	7277.5816367628
K00127	2110.2459832535
K00128	1504.7721005442
K00131	527.7260036167
K00133	8692.697461707
K00134	11208.32420394
K00135	2006.9755706314
K00138	72.8325524421
K00140	223.8630177589
K00145	8718.0238119921
K00147	11541.4109725692
K00148	14.9848049832
K00150	105.8748481405
K00153	13.4138881864
K00156	505.0043335974
K00158	1480.6836952313
K00161	6200.0670506217
K00162	1632.7581582845
K00163	1115.8232581927
K00164	671.759132796
K00169	171.928830599
K00170	153.9234251476
K00171	136.9868426576
K00172	210.832795281
K00174	5624.1803551722
K00175	6940.7833897453
K00176	8657.9878512203
K00177	1743.0204356131
K00179	445.8363889612
K00180	263.9944881504
K00184	56.5766617381
K00185	155.3489259238
K00194	272.1137913928
K00197	217.0674724297
K00198	1113.5044552896
K00208	6489.6933243155
K00209	1402.2318902271
K00215	15008.8918291536
K00219	126.0160924549
K00226	6201.7176247947
K00228	33.1193177822
K00230	104.1834789269
K00231	1689.579743764
K00232	14.915402129
K00239	5373.6466390887
K00240	1820.936846645
K00241	5449.3816351872
K00242	215.1365555446
K00243	1473.9120301765
K00244	4720.7132581819
K00245	760.7280218192
K00246	2098.100981398
K00247	310.8745348565
K00248	17.7021609757
K00252	75.7061715993
K00254	7444.1967301201
K00259	1449.6912870526
K00260	210.9009127808
K00261	28.9309254755
K00262	4716.2141624025
K00263	5.6315228405
K00265	1115.4654939512
K00266	1300.7028472921
K00275	477.4493180809
K00278	575.4205271342
K00281	705.0191012167
K00282	1379.8039416193
K00283	1532.598126607
K00285	619.8428651054
K00286	13709.6375260379
K00287	7583.3784705568
K00290	3907.128295324
K00294	59.0891379531
K00297	5086.0277503227
K00298	134.1883350164
K00299	305.2816119121
K00303	34.0597577783
K00311	24.3135529127
K00313	856.4030267794
K00316	64.8214634326
K00318	158.2151666006
K00324	559.2724264536
K00325	460.305111446
K00330	12076.5383171187
K00331	7352.1162453923
K00332	1278.3909249236
K00333	4264.6677836457
K00334	14232.0800399498
K00335	2798.5635758241
K00336	1592.8092689197
K00337	6801.8675681016
K00338	7321.9387662597
K00339	5483.9354779029
K00340	2577.4543634339
K00341	6603.0853856254
K00342	2041.2991867573
K00343	6940.8227485514
K00344	24.0683006881
K00346	436.536143119
K00347	521.634732453
K00348	438.0289511671
K00349	478.4644932673
K00350	435.4631553229
K00351	365.9641758813
K00354	15.3388784788
K00355	17.3211824495
K00362	12.3599239062
K00363	6.3154329658
K00364	7068.0284267192
K00368	83.1839668736
K00370	92.9041297433
K00371	112.0219570824
K00373	191.4893908191
K00374	139.722569433
K00375	371.8221552766
K00376	1452.8834968117
K00380	1073.5355239601
K00381	108.3132311864
K00382	8425.1781394231
K00383	7121.5438269629
K00384	5101.2630930337
K00385	101.4541041441
K00389	12.3266666371
K00390	187.3526084568
K00392	46.8786785273
K00394	75.1304208051
K00404	849.5061462741
K00405	6745.7031131675
K00406	6830.0311244771
K00407	8002.4439008405
K00411	6836.2646119104
K00412	5644.149263154
K00413	1689.8777548292
K00425	1679.5141095201
K00426	6453.4311649647
K00428	4291.464976991
K00432	6714.002133603
K00436	13.9106770733
K00441	26.8290384264
K00446	64.8353157246
K00451	38.7166580747
K00452	13.2160801342
K00453	13.0214620962
K00457	59.0785309627
K00459	4413.0459644639
K00480	16.5678329294
K00483	12.8940734101
K00484	89.8366018703
K00486	14.6120316539
K00500	35.5364318553
K00507	55.5009319644
K00508	27.77053725
K00520	55.7181926476
K00523	200.7819962582
K00525	9959.8098868407
K00526	4661.5487400702
K00527	106.060817465
K00528	414.1219261984
K00531	13.8037458251
K00537	2680.5669558521
K00547	4983.64440514
K00548	1138.0504545263
K00549	12888.0178624395
K00554	13407.7577103028
K00556	4.8569999712
K00557	6726.9137634272
K00558	4414.5927856935
K00559	118.0885536536
K00560	8489.6199587712
K00561	29.8684131362
K00563	6575.2607003677
K00564	2962.197113544
K00566	20134.5029099558
K00567	14013.3371110228
K00568	576.7068798127
K00571	6401.035064914
K00573	1600.0408850288
K00574	904.0285834326
K00575	7067.1370403366
K00584	18.8416870701
K00588	12.0746444038
K00595	652.8853061755
