KO	output
K00001	20
K00003	9734.0360108285
K00004	31.314723048
K00005	449.6681414708
K00008	338.5100972563
K00009	1194.4174001998
K00010	232.3964702873
K00012	4818.9165020918
K00013	5660.5856962507
K00014	12519.7306071051
K00015	246.0522945949
K00016	9537.9460481668
K00018	679.2775889412
K00019	70.7354810407
K00020	3987.9177452552
K00024	2473.9288425742
K00027	3270.4872612674
K00029	2117.1853377366
K00031	4803.7070083042
K00033	13562.7753044826
K00034	362.3765766937
K00036	6237.0033778806
K00045	80.8644639984
K00046	3565.6294508843
K00052	5969.7904951846
K00053	11465.8294332668
K00054	3980.4856976329
K00057	13924.2376563389
K00058	5815.6143268414
K00059	12248.9384279733
K00064	43.8763500404
K00065	54.992833294
K00067	4869.3169791568
K00068	328.8827210102
K00074	354.4627858967
K00075	13656.9708837186
K00076	313.051636822
K00077	9084.8968648396
K00086	46.8034234428
K00088	9184.19229632431
K00094	63.0286090069
K00097	2559.1282611203
K00099	4871.982116939
K00101	3859.1657693602
K00104	351.2884398756
K00105	11533.8980593369
K00108	77.7199261699
K00111	2382.2526366708
K00112	1953.2065926326
K00113	1959.0861593351
K00116	3074.0457415323
K00117	51.2925417616
K00121	2399.3970104133
K00123	578.4335842324
K00124	1320.3640981767
K00127	1928.8856513173
K00128	3961.8733263567
K00131	332.6685886216
K00133	8045.4071361349
K00134	14280.1319496695
K00135	6126.9942938001
K00138	106.0884213918
K00140	223.4930401562
K00145	6329.8546322119
K00147	11907.1370458645
K00156	166.5111869972
K00158	3571.2312355479
K00161	8971.806280793
K00162	3790.024704407
K00163	3622.8146523395
K00164	3785.5908861972
K00174	338.9367079816
K00175	435.0689293482
K00176	399.1157282776
K00177	490.7976735081
K00179	198.1511907137
K00180	30.7118764625
K00184	272.3325909836
K00185	375.0524886576
K00198	49.63065564
K00208	4292.4851647484
K00209	3651.9525949506
K00215	13695.4682531375
K00219	58.8482895887
K00226	6094.4644905612
K00228	319.6486549987
K00230	378.3131934963
K00231	3309.5953826612
K00232	100.9671948907
K00239	2199.8404542629
K00240	2548.8861608657
K00241	591.6333518002
K00242	1749.8337229801
K00243	3364.107008568
K00244	5274.8007268877
K00245	713.6391843267
K00246	2310.6226345613
K00247	2478.0934074168
K00248	82.7609221155
K00252	331.9988656938
K00254	3297.096331355
K00259	3903.8225853908
K00260	1464.1791458374
K00261	122.1107188927
K00262	6560.4177748069
K00263	73.0125167445
K00265	136.764715448
K00266	117.0857516916
K00274	36.5954373116
K00275	4220.1018662359
K00278	2210.6874937753
K00281	2350.355640031
K00282	3267.2974512474
K00283	3490.798198403
K00285	1008.7441354442
K00286	11826.4973238855
K00287	13401.0439373755
K00290	211.1278313559
K00294	235.7524272782
K00297	5701.0086301836
K00298	294.879132289
K00299	305.542027817
K00318	304.460224757
K00324	1948.4382826078
