function.	GI_0
K00001	33.2681457
K00002	0.1624503
K00003	105.2890339
K00004	0.0370417
K00005	14.2328721
K00007	0
K00008	7.2830765
K00009	2.3683462
K00010	2.4346296
K00011	0
K00012	93.9729314
K00013	96.1308286
K00014	104.0681273
K00015	0.0348503
K00016	72.0926842
K00018	2.9928307
K00019	96.6175548
K00020	83.5310695
K00021	0
K00023	51.9311193
K00024	78.9619524
K00027	22.4222138
K00028	0
K00029	138.902009
K00030	3.3243576
K00031	98.1425303
K00032	0
K00033	29.7909321
K00034	5.8383953
K00035	0
K00036	28.1808298
K00038	0
K00039	0
K00040	13.3700891
K00041	32.8050444
K00042	21.8724364
K00043	10.2191195
K00045	0
K00046	134.1824196
K00048	8.134736
K00050	0.9177785
K00052	115.8314423
K00053	95.7305174
K00054	4.9471095
K00055	5.27201
K00057	99.3968188
K00058	195.6295927
K00059	672.6140253
K00060	0.1425553
K00064	50.8405084
K00065	27.5691495
K00066	0.0712776
K00067	91.8101641
K00068	3.2989447
K00073	1.3666803
K00074	148.3324424
K00075	76.6970853
K00076	0.3249006
K00077	113.2191645
K00082	0
K00086	1.786953
K00087	2.1118536
K00088	99.6298893
K00090	0.104551
K00091	0.6011803
K00094	0
K00096	6.126791
K00097	114.4960502
K00098	5.7671177
K00099	99.9629584
K00100	10.8976486
K00101	111.7966379
K00102	31.0215035
K00103	0
K00104	81.7898343
K00105	0
K00108	31.3226732
K00111	69.1297374
K00112	1.3132747
K00113	0.9322863
K00114	0
K00116	30.3919639
K00117	4.9471095
K00118	0
K00119	0
K00121	76.9855031
K00122	39.5768758
K00123	81.7452453
K00124	68.5695273
K00125	0.0712776
K00126	35.4497745
K00127	86.2858675
K00128	213.891514
K00130	5.1808374
K00131	4.1325345
K00132	2.5761555
K00133	100.0412335
K00134	103.3586327
K00135	206.977159
K00137	0
K00138	0
K00140	136.9105711
K00141	4.9471095
K00145	105.8473052
K00146	0.8200082
K00147	95.9824145
K00148	0
K00150	0
K00151	20.6084461
K00152	0
K00153	0
K00154	0
K00155	0.0712776
