function.	oral_13
K00001	14.63
K00002	5.68
K00003	268.29
K00004	6.73
K00005	100.92
K00007	0
K00008	6.13
K00009	7.41
K00010	8.47
K00011	0
K00012	92.88
K00013	188.03
K00014	288.8
K00015	0
K00016	233.83
K00018	63.51
K00019	4.71
K00020	37.17
K00021	0
K00023	0.5
K00024	184.6
K00025	0.25
K00027	66.08
K00028	3.83
K00029	171.55
K00030	0.55
K00031	235.45
K00032	0
K00033	102.38
K00034	2.59
K00036	106.76
K00038	0
K00039	0
K00040	5.68
K00041	1
K00042	3.76
K00043	0
K00045	0.53
K00046	20.42
K00048	2.19
K00050	1
K00052	251.5
K00053	257.14
K00054	92.23
K00055	0
K00057	279.69
K00058	283.21
K00059	489.21
K00060	3.01
K00064	0.33
K00065	1.27
K00066	0
K00067	98.56
K00068	4.29
K00073	9.67
K00074	10.74
K00075	280.95
K00076	67.17
K00077	97.76
K00078	0
K00082	8
K00086	1.49
K00087	0.63
K00088	305.48
K00090	0.5
K00091	3
K00094	0
K00096	1.4
K00097	160.6
K00098	9.03
K00099	188.22
K00100	44.39
K00101	16.43
K00102	0.5
K00103	0
K00104	157.54
K00105	78.04
K00108	8.5
K00111	23.25
K00112	7.4
K00113	7.4
K00114	0
K00116	174.2
K00117	0.54
K00118	0
K00121	21.1
K00122	0.5
K00123	362.04
K00124	167.48
K00125	0
K00126	0
K00127	167.75
K00128	7.65
K00130	8.98
K00131	74.76
K00132	0
K00133	277.22
K00134	304.35
K00135	42.45
K00137	0
K00138	9.85
K00140	3.84
K00141	0
K00145	185.3
K00146	0
K00147	268.98
K00148	0
K00150	2
K00151	0.5
K00153	0.45
K00154	0.5
K00156	9.82
K00158	11.22
K00161	95.09
K00162	95.09
K00163	18.3
K00164	13.4
K00166	0.5
K00167	0.5
K00169	1.59
K00170	1.59
K00171	0.89
K00172	1.59
K00174	170.29
K00175	170.29
K00176	168.68
K00177	168.68
K00179	5.26
K00180	4.51
K00183	0
K00184	5.41
K00185	5.5
K00194	3.3
K00196	1.5
K00197	3.5
K00198	17.55
K00200	0
K00201	0
K00202	0
K00208	168.57
K00209	16.99
K00210	1.75
K00215	277.95
K00216	0
K00217	0
K00218	0
K00219	1.52
K00220	0
K00221	0
K00226	78.96
K00227	0
K00228	1.35
K00230	5.32
K00231	21.36
K00232	0.6
K00239	121.97
K00240	122.09
K00241	123.81
K00242	2.5
K00243	94.5
K00244	236.71
K00245	165.04
K00246	165.04
K00247	2.67
K00248	3.83
K00249	1.77
K00252	2.35
K00253	0.5
K00254	180.78
K00256	0
K00257	23.74
K00259	37.13
K00260	3.96
K00261	29.44
K00262	138.17
K00263	0.33
K00265	155.78
K00266	163.1
K00273	0
K00274	0.6
K00275	8.31
K00276	0
K00278	8.52
K00280	0
K00281	14.17
K00282	17.2
K00283	17.2
K00284	1.92
K00285	13.35
K00286	276.4
K00287	113.12
K00288	0.47
K00290	228.87
K00293	0
K00294	3.16
K00297	225.52
K00298	3.19
K00299	22.2
K00301	0
K00302	0
K00303	0.4
K00304	0
K00305	0
K00311	2.5
K00313	6.03
K00316	27.19
K00317	0
K00318	3.16
K00322	0
K00324	10.68
K00325	10
K00330	172.96
K00331	172.76
K00332	157.25
K00333	157.25
K00334	41.66
K00335	129.72
K00336	176.05
K00337	172.76
K00338	172.76
K00339	172.76
K00340	172.76
K00341	172.76
K00342	172.76
K00343	172.76
K00344	1.79
K00346	7.85
K00347	8.32
K00348	8.59
K00349	8.32
K00350	8.32
K00351	8.32
K00354	22.23
K00355	62.43
K00356	0.2
K00362	0.5
K00363	0.77
K00364	88.49
K00365	0
K00366	0.36
K00367	0
