function.	air_8
K00001	21.222121
K00002	7.6244507
K00003	99.9999997
K00004	24.1841709
K00005	46.9563818
K00007	0
K00008	23.6751151
K00009	27.8152127
K00010	18.6903868
K00011	0
K00012	70.2617617
K00013	97.2350227
K00014	161.5066709
K00015	0
K00016	165.0513071
K00018	1.4784946
K00019	4.420748
K00020	3.5192578
K00021	3.0382596
K00023	0
K00024	72.753456
K00027	44.8085978
K00028	0
K00029	3.203405
K00030	0.8064516
K00031	100.8064513
K00032	0
K00033	100.0576034
K00034	5.6451613
K00035	0
K00036	103.8447109
K00038	3.0382596
K00039	0
K00040	4.8454078
K00041	0.0288018
K00042	0
K00043	0
K00045	9.1147787
K00046	41.016504
K00048	0
K00050	0.8064516
K00052	102.9806556
K00053	99.9999997
K00054	27.6497695
K00055	1.5191298
K00057	102.2679774
K00058	95.7085251
K00059	107.2985505
K00060	1.1808756
K00064	0
K00065	0.8352534
K00066	0
K00067	46.2872413
K00068	0.7200461
K00073	1.3824885
K00074	24.2846425
K00075	104.557389
K00076	0
K00077	119.2403009
K00082	0
K00086	0
K00087	0
K00088	202.5881465
K00090	0
K00091	0.8064516
K00094	0
K00096	0.7488479
K00097	4.5506912
K00098	44.0547636
K00099	70.8311004
K00100	10.6339085
K00101	19.6555834
K00102	0
K00103	0
K00104	5.2486336
K00105	0
K00106	0
K00108	80.1280676
K00111	86.4785391
K00112	0.374424
K00113	0.374424
K00114	0
K00116	131.2788015
K00117	0
K00118	0
K00119	0
K00121	5.3731438
K00122	20.7373271
K00123	34.5327402
K00124	3.0382596
K00126	0
K00127	0
K00128	116.0540132
K00129	0
K00130	63.4752437
K00131	0
K00132	0
K00133	100.8064513
K00134	197.2711922
K00135	167.1484831
K00137	0
K00138	0
K00140	14.0753938
K00141	0
K00145	95.1324882
K00146	4.5573893
K00147	70.1612901
K00148	1.5191298
K00150	0
K00151	3.0382596
K00152	0
K00153	18.2583592
K00154	0
K00155	0
K00156	67.993784
K00158	29.0610598
K00161	36.6212088
K00162	36.6212088
K00163	70.9677417
K00164	42.2730681
K00166	29.032258
K00167	29.032258
K00169	0
K00170	0
K00171	0
K00172	0
K00174	30.2419354
K00175	30.2419354
K00176	0
K00177	0
K00179	0
K00180	0
K00184	0
K00185	0
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0
K00201	0
K00202	0
K00207	0
K00208	34.6774192
K00209	0
K00210	0.9856631
K00211	0
K00214	0
K00215	100.31682
K00216	6.0765191
K00217	7.5956489
K00218	0
K00219	7.5956489
K00220	0
K00221	0.6912442
K00224	0
K00226	101.9511571
K00228	0
K00230	0.0288018
K00231	96.7165896
K00232	9.1147787
K00239	100.6496413
K00240	100.4032255
K00241	98.8840957
K00242	4.4354838
K00243	29.032258
K00244	2.764977
K00245	0
K00246	0
K00247	0
K00248	0.8064516
K00249	13.672168
K00252	44.7486871
K00253	0
K00254	0
K00255	0
K00256	0
K00257	22.8714916
K00258	0
K00259	85.7685401
K00260	33.9125703
K00261	3.8447112
K00262	68.6133585
K00263	3.5928625
K00265	46.2323169
K00266	46.1171095
K00270	0
K00271	0
K00273	0
K00274	0.374424
K00275	5.9834154
K00276	0
K00278	22.7300127
K00279	0
K00280	0.0288018
K00281	44.0896681
K00282	29.8387096
K00283	30.5299538
K00284	0
K00285	14.8517783
K00286	100.0288015
K00287	100.4393953
K00290	0
K00292	0
K00293	0
K00294	29.8387096
K00297	65.357485
K00298	0
K00299	85.2896258
K00301	7.5956489
K00302	0
K00303	0
K00304	0
K00305	0
K00309	0
K00311	4.4354838
K00313	0.3168203
K00314	0
K00315	0
K00316	0
K00317	11.751152
K00318	30.2131336
K00320	0
K00322	0.8064516
K00324	9.3960989
K00325	10.9152287
K00329	0
K00330	6.4516128
K00331	6.4516128
K00332	6.7684331
K00333	6.7972349
K00334	5.6451612
K00335	5.891577
K00336	5.6451612
K00337	6.4516128
K00338	6.7684331
K00339	6.4516128
K00340	6.4516128
K00341	6.4516128
K00342	7.2580644
K00343	6.4516128
K00344	15.9977494
K00346	4.4354838
K00347	4.4354838
K00348	4.4354838
K00349	4.4354838
K00350	4.4354838
K00351	4.4354838
K00353	0
K00354	0
K00355	0
K00356	0
K00358	5.8032365
K00359	2.9016183
K00360	0
K00362	31.3792733
K00363	32.2145268
K00364	28.3410138
K00365	0
K00366	0
K00367	0
K00368	50.9460697
K00370	53.1293536
K00371	54.5118421
K00372	0
K00373	54.540644
K00374	54.5118421
K00375	83.2460345
K00376	0.9856631
K00378	0.0288018
K00380	34.7884589
K00381	9.9654377
K00382	202.420024
K00383	70.6509215
K00384	133.6834205
K00385	0
K00386	0
K00387	0
K00389	14.4786196
K00390	30.0853486
K00392	20.6127424
K00394	0
K00395	0
K00397	0
K00404	5.2419354
K00405	5.2419354
K00406	2.2177419
K00407	2.2177419
K00410	0
K00411	4.4354838
K00412	5.2419354
K00413	4.4354838
K00423	0
K00425	86.5863785
K00426	87.968867
K00427	0
K00428	1.5456989
K00432	113.7401163
K00433	0
K00435	0
K00436	0
K00437	0
K00441	0
K00446	1.5191298
K00448	9.1147787
K00449	10.6339085
K00450	9.1147787
K00451	0.8064516
K00452	0
K00453	0
K00455	0
K00456	0
K00457	9.9212303
K00459	75.7006213
K00462	0
K00464	0
K00466	0
K00467	0
K00468	0
K00469	0
K00470	0
K00471	0
K00472	0
K00476	0
K00477	0
K00478	0
K00479	1.5191298
K00480	15.1912978
K00481	9.1147787
K00483	0
K00484	4.189068
K00485	4.5573893
K00486	0
K00491	29.032258
K00492	9.396099
K00493	0
K00494	0
K00495	0
K00496	3.0382596
K00499	0
K00500	0.8064516
K00504	0
K00505	1.5191298
K00507	0.8064516
K00508	51.6504125
K00510	83.8495336
K00514	0
K00517	4.5861912
K00518	0
K00520	18.0714821
K00523	1.7249104
K00524	0
K00525	103.3336456
K00526	158.7765985
K00527	78.8179186
K00528	84.1147784
K00529	0
K00530	3.0382596
K00531	0
K00532	0
K00533	0
K00534	0
K00535	0
K00537	15.4873539
K00538	0
K00539	0
K00540	52.6974004
K00543	0
K00547	34.4034668
K00548	55.610331
K00549	82.9151482
K00554	102.347015
K00555	0
K00556	0
K00557	1.9713261
K00558	39.9541845
K00559	0
K00560	100.5760366
K00561	12.4423963
K00563	65.7258063
K00564	0.4032258
K00566	99.3087555
K00567	86.9541043
K00568	7.4737434
K00569	0
K00570	0
K00571	23.4056281
K00573	5.9834154
