function.	GI_3
K00001	58.17
K00002	0.24
K00003	41.33
K00004	5.06
K00005	34.52
K00007	0
K00008	8.75
K00009	7.22
K00010	10.61
K00011	0
K00012	37.2
K00013	39.15
K00014	49.15
K00015	4.33
K00016	52.11
K00018	13.01
K00019	30.43
K00020	127.13
K00021	0
K00023	51.51
K00024	32.24
K00025	0
K00027	11
K00028	0
K00029	60.86
K00030	2.51
K00031	62.97
K00032	1.88
K00033	16.79
K00034	0
K00036	16.41
K00038	0
K00039	0
K00040	6.57
K00041	5.23
K00042	29.37
K00043	0.23
K00045	2.88
K00046	44.74
K00048	3.95
K00050	3.08
K00052	54.83
K00053	38.15
K00054	7.17
K00055	2.2
K00057	43.13
K00058	145.16
K00059	278.63
K00060	0.5
K00064	3.76
K00065	6.58
K00066	0
K00067	39.63
K00068	1.98
K00073	4.33
K00074	102.42
K00075	47.01
K00076	0.11
K00077	92.45
K00078	0
K00082	0.33
K00086	4.39
K00087	0.54
K00088	45.83
K00090	2.1
K00091	0.22
K00094	0
K00096	8.77
K00097	56.43
K00098	4.66
K00099	41.07
K00100	31.63
K00101	58.85
K00102	26.07
K00103	0
K00104	32.02
K00105	0.25
K00108	80.62
K00111	40.19
K00112	1.83
K00113	1.83
K00114	1.88
K00116	2.21
K00117	3.76
K00118	0
K00121	30.58
K00122	0.23
K00123	61.6
K00124	51.65
K00125	0
K00126	23.99
K00127	51.65
K00128	123.27
K00130	1.13
K00131	1.72
K00132	1.79
K00133	44.13
K00134	46.35
K00135	106.11
K00137	0
K00138	26.2
K00140	81.37
K00141	0
K00145	43.45
K00146	0
K00147	40.33
K00148	0
K00150	0
K00151	19.66
K00153	0
K00154	0
K00156	25.49
K00158	0.5
K00161	26.18
K00162	26.18
K00163	50.52
K00164	26.7
K00166	0
K00167	0
K00169	4.35
K00170	4.35
K00171	2.89
K00172	4.35
K00174	14.06
K00175	14.06
K00176	9.43
K00177	9.43
K00179	27.62
K00180	8.19
K00183	2.92
K00184	7.3
K00185	4.38
K00194	0.7
K00196	2.57
K00197	0.9
K00198	6.78
K00200	0
K00201	0
K00202	0
K00208	60.35
K00209	0.93
K00210	1.98
K00215	45.33
K00216	0
K00217	0
K00218	0
K00219	2.11
K00220	0
K00221	0
K00226	7.1
K00227	0
K00228	25.87
K00230	1.65
K00231	2.16
K00232	0
K00239	31.3
K00240	50.73
K00241	30.43
K00242	25.87
K00243	11.4
K00244	25
K00245	4.66
K00246	4.66
K00247	4.66
K00248	11.62
K00249	137.16
K00252	26.1
K00253	25.87
K00254	26.7
K00256	0
K00257	106.56
K00259	4.2
K00260	1.68
K00261	27.07
K00262	38.33
K00263	0.2
K00265	32.83
K00266	52.86
K00273	0
K00274	2.1
K00275	27.87
K00276	0
K00278	12.61
K00280	0
K00281	28.68
K00282	3.32
K00283	3.32
K00284	1.88
K00285	127.93
K00286	63.24
K00287	40.93
K00288	0
K00290	6.85
K00293	0
K00294	0.5
K00297	38.72
K00298	0.98
K00299	28.55
K00301	0
K00302	1.18
K00303	48.25
K00304	0.23
K00305	0.23
K00311	25.87
K00313	1.46
K00316	0
K00317	0
K00318	0.5
K00322	0
K00324	53.81
K00325	27.07
K00330	31.7
K00331	29.82
K00332	26.09
K00333	26.09
K00334	32.04
K00335	31.58
K00336	33.18
K00337	29.82
K00338	29.82
K00339	29.82
K00340	29.6
K00341	29.82
K00342	29.82
K00343	29.82
K00344	84.61
K00346	4.56
K00347	4.56
K00348	4.56
K00349	4.56
K00350	4.56
K00351	4.56
K00354	1.58
K00355	6.82
K00356	24.99
K00362	33.71
K00363	27.52
K00364	1
K00365	0
K00366	3.64
K00367	0
K00368	2.21
K00370	4.08
K00371	4.08
K00372	7.14
K00373	4.08
K00374	4.08
K00375	137.91
K00376	0
K00380	27.75
K00381	25.87
K00382	111.52
K00383	27.27
K00384	66.15
K00385	5.39
K00387	0
K00389	0.39
K00390	26.72
K00392	0.72
K00394	1.9
K00395	1.9
K00404	45.3
K00405	25.87
K00406	25.87
K00407	25.87
K00411	25.87
K00412	25.87
K00413	25.87
K00425	79.95
K00426	79.95
K00427	0
K00428	12.64
K00432	41.26
K00433	14.55
K00435	0
K00436	0
K00437	0
K00441	0
K00446	0
K00448	4.33
K00449	4.33
K00450	35.73
K00451	25.87
K00452	0
K00453	21.54
K00455	0.23
K00456	0
K00457	25.87
K00459	56.4
K00466	0
K00467	0
K00469	0
K00471	0
K00472	4.33
K00476	0
K00477	25.87
K00479	0
K00480	45.53
K00481	0
K00483	0
K00484	0
K00486	0
K00491	0
K00493	0
K00496	0
K00499	0
K00500	0
K00505	0
K00507	32.08
K00508	2.21
K00510	0.44
K00517	1.88
K00520	0
K00523	49.86
K00525	44.54
K00526	39.63
K00527	22.09
K00528	60.57
K00529	46.22
K00531	0.22
K00532	1.55
K00533	2.5
K00534	0
K00537	58.43
K00543	0
K00547	5.85
K00548	46.04
K00549	54.56
K00554	43.91
K00556	0
K00557	1.66
K00558	15.46
K00560	40.98
K00561	4.87
K00563	6.23
K00564	2.34
K00566	48.68
K00567	64.92
K00568	30.2
K00569	23.99
K00570	0
K00571	11.61
K00573	53.24
K00574	44.88
K00575	47.79
K00584	0
K00588	0.75
K00590	0
K00595	2.55
K00596	0
K00598	7.04
K00600	43.18
K00602	48.25
K00603	3.73
K00604	65.79
K00605	32.2
K00606	33.67
K00608	0
K00609	61.5
K00610	9.24
K00611	13.89
K00612	0.12
K00613	1.46
K00615	77.33
K00616	44.72
K00619	0
K00620	36.78
K00621	0
K00625	49.77
K00626	135.73
K00627	56.79
K00631	0.33
K00632	49.86
K00633	5.54
K00634	10.41
K00635	0
K00638	0.23
K00639	7.12
K00640	46.11
K00641	26.53
K00643	0
K00645	43.4
K00646	0
K00647	6.66
K00648	72.85
K00651	18.1
K00652	33.84
K00655	74.51
K00656	23.85
K00657	11.74
K00658	28.2
K00661	28.32
K00662	1.16
K00663	0
K00666	63.51
K00672	0
K00673	3.76
K00674	32.58
K00675	0
K00677	34.76
K00680	9.69
K00681	131.95
K00683	0
K00684	27.32
K00685	25.87
K00686	1.45
K00687	0.25
K00688	20.94
K00689	0
K00690	4.2
K00691	1.31
K00692	1.6
K00694	0.72
K00696	0
K00697	6.54
K00700	36.53
K00702	3.48
K00703	36.84
K00705	35.27
K00709	0
K00712	2.7
K00720	0
K00721	10.34
K00728	0.2
K00737	0
K00745	0
K00748	31.03
K00752	0.8
K00754	7.15
K00756	7.51
K00757	7.68
K00758	2.68
K00759	44.68
K00760	22.64
K00761	43.91
K00762	42.37
K00763	46.14
K00764	47.33
K00765	37.65
K00766	36.42
K00767	36.27
K00768	10.6
K00769	1.16
K00772	1.05
K00773	43.91
K00782	5.47
K00783	41.94
K00784	15.27
K00785	0.33
K00786	3.36
K00788	46.64
K00789	47.09
K00790	78.47
K00791	48.14
K00793	40.3
K00794	39.3
K00795	26.2
K00796	40.65
K00797	22.04
K00798	30.77
K00799	258.57
K00800	43.77
K00801	0
K00803	2.28
K00805	9.92
K00806	47.65
K00808	0
K00809	0
K00812	52.51
K00813	1.33
K00817	98.23
K00818	29.54
K00819	0.73
K00820	45.13
K00821	32.54
K00822	45.3
K00823	25.4
K00824	27.62
K00826	69.53
K00830	23.99
K00831	40.34
K00832	27.9
K00833	31.28
K00835	0
K00836	24.32
K00839	6.6
K00840	1.88
K00841	5.4
K00842	0
K00844	1.41
K00845	30.94
K00847	14.78
K00848	5.19
K00849	14.55
K00850	26.71
K00851	9.25
K00852	17.43
K00853	2.13
K00854	14.46
K00855	0
K00856	26.11
K00857	14.93
K00858	42.91
K00859	45.66
K00860	5.94
K00862	0.2
K00863	1.14
K00864	45.14
K00865	37.9
K00867	3.86
K00868	36.96
K00869	2.84
K00870	0
K00872	8.41
K00873	47.76
K00874	36.2
K00876	23.9
K00878	12.22
K00879	0.44
K00880	1.35
K00881	0
K00882	7.23
K00883	6.21
K00884	2.21
K00885	0.33
K00886	5.53
K00887	5.28
K00891	50.28
K00892	0
K00895	4.23
K00897	0.62
K00899	3.32
K00901	35.66
K00906	21.54
K00912	31.03
K00917	2.28
K00918	0
K00919	43.66
K00924	2.11
K00925	45.06
K00926	8.23
K00927	43.67
K00928	51.87
K00929	9.12
K00930	39.12
K00931	41.33
K00932	0
K00936	22.97
K00937	36.72
K00938	2.84
K00939	44.66
K00940	36.32
K00941	72.48
K00942	46.71
K00943	38.49
K00945	43.39
K00946	31.36
K00947	0
K00948	50.63
K00949	16.78
K00950	39.35
K00951	69.65
K00954	45.79
K00955	4.45
K00956	29.25
K00957	33.12
K00958	0
K00962	40.46
K00963	59.39
K00965	11.84
K00966	3.68
K00968	0.09
K00969	43.94
K00970	31.32
K00971	22.66
K00972	0.75
K00973	40.22
K00974	37.33
K00975	13.63
K00978	7.15
K00979	30.53
K00980	1.41
K00981	50.41
K00982	27.4
K00983	2.22
K00984	0.23
K00986	4.9
