function.	oral_8
K00001	56.3071202
K00002	0.0786667
K00003	81.9391931
K00004	1.7685498
K00005	74.0723719
K00007	0.1183364
K00008	0.6271764
K00009	27.3004095
K00010	4.9380182
K00011	0
K00012	70.7501469
K00013	29.3759866
K00014	116.4469297
K00015	0.0232876
K00016	128.3186892
K00018	2.9963726
K00019	22.6788225
K00020	3.1537536
K00021	0.0221348
K00023	0.2761183
K00024	12.6088965
K00027	40.0159231
K00028	6.6368509
K00029	10.1942433
K00030	0.1536037
K00031	40.2118725
K00032	0
K00033	57.9121726
K00034	2.2616398
K00035	0
K00036	51.7652522
K00038	0.782654
K00039	0.0107579
K00040	2.6630829
K00041	0.8549733
K00042	0.5307614
K00043	0.0587041
K00045	0.1192093
K00046	59.6051872
K00048	1.269245
K00050	0.0026578
K00052	60.722709
K00053	66.8650464
K00054	87.1920457
K00055	1.7251849
K00057	100.68407
K00058	56.3700231
K00059	190.8743558
K00060	0.1710991
K00064	0.0860628
K00065	1.8482023
K00066	0
K00067	75.4023213
K00068	10.8460618
K00073	3.194828
K00074	7.5806735
K00075	100.3984273
K00076	8.6929942
K00077	63.9387565
K00082	0
K00086	0.648494
K00087	0.0101883
K00088	102.6829231
K00090	0.1057645
K00091	2.2764338
K00094	0.165671
K00096	0.864915
K00097	8.4336297
K00098	0.5974946
K00099	12.7323067
K00100	13.5176585
K00101	3.0674307
K00102	0.3142981
K00103	0.0071719
K00104	10.0134587
K00105	35.6025495
K00108	0.9396306
K00111	5.7008469
K00112	1.6172359
K00113	1.5259572
K00114	0.0788909
K00116	9.8259428
K00117	0.0394455
K00118	0
K00119	0.2008133
K00121	7.331725
K00122	0.6941174
K00123	13.3839817
K00124	10.9173535
K00125	0.000443
K00126	0.1183364
K00127	8.8818025
K00128	2.5041719
K00130	1.8884066
K00131	50.4325137
K00132	0.0106313
K00133	84.7371481
K00134	104.1476645
K00135	39.3033012
K00137	0.0358595
K00138	0
K00140	2.9466979
K00141	0.1290943
K00145	30.4419795
K00146	0.1900981
K00147	94.7709122
K00148	0.1298468
K00150	0.000443
K00151	0.5382376
K00152	0
K00153	0.9608683
K00154	0.5454551
K00155	0.0788909
K00156	1.259731
K00158	37.4257829
K00161	88.6932506
K00162	90.0667074
K00163	3.7301068
K00164	2.642826
K00166	0.8615596
K00167	0.8611166
K00169	0.1509545
K00170	0.1474107
K00171	0.0603916
K00172	0.1500685
K00174	9.2139838
K00175	9.2420878
K00176	8.5680836
K00177	8.5914133
K00178	0
K00179	0.1726847
K00180	0.1717987
K00183	0.0039867
K00184	0.0137321
K00185	0.0088594
K00192	0.000443
K00193	0.000443
K00194	0.0110743
K00195	0.000443
K00196	0.0172759
K00197	0.0110743
K00198	1.1985306
K00200	0.0215157
K00201	0.0215157
K00202	0.0215157
K00203	0
K00207	0.003586
K00208	15.6944076
K00209	0.1151934
K00210	0.0278907
K00215	76.4139367
K00216	0.4293024
K00217	0.0674659
K00218	0.0143438
K00219	0.3933656
K00220	0
K00221	0
K00224	4.5973697
K00226	157.6449353
K00228	0.15061
K00230	1.0808032
K00231	5.7248043
K00232	0.4268839
K00239	8.7453115
K00240	8.7320951
K00241	4.1230077
K00242	1.0130455
K00243	86.8376359
K00244	49.670593
K00245	10.2716987
K00246	10.2219384
K00247	1.9462153
K00248	0.9586571
K00249	2.2115352
K00252	4.1790895
K00253	0.2220899
K00255	0.0215157
K00256	0.0394455
K00257	1.9731687
K00258	0
K00259	26.2634997
K00260	0.1304958
K00261	0.7129965
K00262	73.6472257
K00263	0.0266979
K00265	14.201292
K00266	18.4373318
K00270	0
K00271	0.0518768
K00274	0.4199431
K00275	2.4013021
K00276	0.1592163
K00278	6.4334183
K00280	0
K00281	1.4440202
K00282	0.6564807
K00283	0.6555947
K00284	0.0473767
K00285	2.1409151
K00286	97.4822419
K00287	93.8237376
K00290	19.8225858
K00292	0
K00293	0
K00294	0.476928
K00297	57.6609143
K00298	0.7839841
K00299	2.8720983
K00301	0.2342971
K00302	0.1102364
K00303	0.2267165
K00304	0.1039926
K00305	0.1075785
K00309	0.000443
K00311	0.3048059
K00313	0.1242146
K00315	0
K00316	1.0216377
K00317	13.2687252
K00318	0.3684952
K00320	0.0518768
K00322	0.1288552
K00324	3.7423193
K00325	3.0595729
K00329	0.0981496
K00330	9.3767086
K00331	9.204822
K00332	8.0799792
K00333	8.0254024
K00334	9.1557249
K00335	10.0819106
K00336	9.2640464
K00337	9.3794086
K00338	9.2752121
K00339	8.7603643
K00340	8.3045652
K00341	8.816713
K00342	9.4574136
K00343	9.3753797
K00344	1.8450218
K00346	2.2189867
K00347	2.2198726
K00348	2.2198726
K00349	2.2198726
K00350	2.2198726
K00351	2.2198726
K00353	0
K00354	0.5251627
K00355	18.2998497
K00356	13.6077598
K00358	7.1006526
K00359	24.1114753
K00362	1.0493834
K00363	0.9308853
K00364	75.1959649
K00365	0
K00366	0.0093024
K00367	0.0251016
K00368	1.0931801
K00370	1.7684156
K00371	1.7720015
K00372	0.063176
K00373	1.7720015
K00374	1.7011279
K00375	9.9983206
K00376	1.6203803
K00378	0.4691479
K00380	1.8620114
K00381	0.3926617
K00382	95.2826068
K00383	94.1494098
K00384	197.8119069
K00385	0.0181618
K00387	0
K00389	0.415782
K00390	1.0746342
K00392	0.6553101
K00394	0.0791441
K00395	0.079587
K00404	7.8958125
K00405	7.9209142
K00406	8.3367053
K00407	7.8254435
K00411	8.5245248
K00412	8.5222678
K00413	8.5209388
K00423	0.0107579
K00425	28.7624526
K00426	26.6898695
K00427	0.000443
K00428	15.0477869
K00432	74.069104
K00433	5.5450118
K00435	0.0713166
K00436	0.0071719
K00441	0.0017719
K00442	0
K00446	0.0554277
K00448	0.4933436
K00449	0.503968
K00450	0.1716274
K00451	0.4475268
K00452	0.0179298
K00453	0.1290943
K00455	0.3609154
K00456	0
K00457	0.4491168
K00459	10.1915402
K00462	0.0071719
K00466	0.0143438
K00467	0.3695801
K00469	0
K00470	0.0071719
K00471	0.0681331
K00472	0.0358595
K00476	0.0824769
K00477	0.1219223
K00478	0.0518768
K00479	0.2881771
K00480	0.1923071
K00481	0.1856689
K00483	1.0460752
K00484	0.7294187
K00485	0.1910895
K00486	0
K00491	0
K00492	0.1860692
K00493	0.0071719
K00495	0
