function.	air_10
K00001	22.4709222
K00002	4.9313193
K00003	84.6299392
K00004	30.4253387
K00005	55.479019
K00007	3.2064254
K00008	18.9294443
K00009	36.9131659
K00010	24.3886534
K00011	0.0006939
K00012	61.3187331
K00013	96.1786806
K00014	155.9803563
K00015	0.118891
K00016	118.2221132
K00018	6.3044284
K00019	7.8036971
K00020	11.2668111
K00021	1.9037361
K00023	2.4684381
K00024	62.7768826
K00027	53.7716358
K00028	0.1176467
K00029	30.0692548
K00030	0.0816352
K00031	99.3454589
K00032	0.1483775
K00033	98.5828944
K00034	4.0319259
K00035	0.1196774
K00036	100.8116201
K00038	2.2728875
K00039	2.6073875
K00040	26.9725118
K00041	7.1885501
K00042	24.9443004
K00043	0.0138788
K00045	5.8716612
K00046	41.3061696
K00048	13.5020166
K00050	3.924738
K00052	102.1514417
K00053	99.3615453
K00054	22.8574032
K00055	2.279281
K00057	101.5166492
K00058	87.83435
K00059	130.2900302
K00060	15.5393346
K00064	0.4284346
K00065	18.3736681
K00066	0.2138181
K00067	57.8462509
K00068	18.0462439
K00073	11.1898794
K00074	23.8633293
K00075	102.8046531
K00076	1.8860853
K00077	112.794026
K00082	0.0116195
K00086	0.6606322
K00087	1.9188587
K00088	163.9036179
K00090	15.6095519
K00091	0.2139848
K00094	11.9508911
K00096	0.9611427
K00097	49.9131561
K00098	38.6375967
K00099	74.7918331
K00100	12.3855671
K00101	42.6131292
K00102	1.1087604
K00103	0.0013879
K00104	6.4106125
K00105	0.6221871
K00106	0
K00108	59.2175301
K00111	90.3426082
K00112	15.4426433
K00113	15.4301524
K00114	0.9915702
K00116	114.5905382
K00117	14.1644283
K00118	0.0138468
K00119	1.1377006
K00121	34.1607264
K00122	16.0659721
K00123	55.8107978
K00124	17.9725458
K00126	0.3759256
K00127	16.0191998
K00128	89.73547
K00129	0
K00130	48.3804625
K00131	1.0016698
K00132	0
K00133	100.5562583
K00134	189.5325806
K00135	149.0012458
K00137	14.2933859
K00138	13.0224753
K00140	17.751013
K00141	0.2180537
K00145	95.1808234
K00146	12.7301895
K00147	77.483663
K00148	1.2376617
K00150	0.0101189
K00151	13.2836539
K00152	0.0071976
K00153	11.5059597
K00154	0.5760434
K00155	0.0302365
K00156	57.6604871
K00158	22.9009978
K00161	33.3002504
K00162	33.2947872
K00163	75.9426689
K00164	63.743791
K00166	23.0535961
K00167	23.0179077
K00169	0.0433019
K00170	0.0433019
K00171	0
K00172	0.0433019
K00174	22.833862
K00175	22.833862
K00176	0
K00177	0
K00179	0.1892794
K00180	0.1892794
K00184	0.0563481
K00185	0.0563481
K00194	0
K00196	0.0008134
K00197	0
K00198	0.0024401
K00200	0.0069394
K00201	0.0069394
K00202	0.0069394
K00207	0.0318245
K00208	57.4879586
K00209	0.1645351
K00210	4.0297012
K00211	0
K00214	0
K00215	99.6513816
K00216	18.7354705
K00217	4.7662796
K00218	0.0027758
K00219	19.4750086
K00220	0.2073496
K00221	0.5316384
K00224	0.0013879
K00226	102.3674917
K00228	15.6646152
K00230	15.0806376
K00231	64.5058
K00232	5.778242
K00239	99.7915597
K00240	98.9012557
K00241	97.8128478
K00242	34.0735668
K00243	24.1461107
K00244	19.5252667
K00245	15.0993029
K00246	15.1268108
K00247	15.1254229
K00248	0.6770553
K00249	14.7743714
K00252	32.6932055
K00253	1.1930624
K00254	0
K00255	0.0098413
K00256	0.0097152
K00257	24.0413956
K00258	0.0033309
K00259	62.454137
K00260	40.1214079
K00261	14.4178056
K00262	74.6741065
K00263	3.4020346
K00265	47.5878661
K00266	49.9630286
K00270	0
K00271	0
K00273	0.0056777
K00274	1.1764305
K00275	35.3227521
K00276	2.7204049
K00278	45.4505529
K00279	0
K00280	0.0267663
K00281	57.617946
K00282	22.8004141
K00283	23.3320524
K00284	0.0301171
K00285	43.0558514
K00286	100.5651175
K00287	100.9095917
K00290	0.3531391
K00292	0.0016655
K00293	0
K00294	23.0654601
K00297	72.4875206
K00298	0.0198341
K00299	64.0415801
K00301	4.8447419
K00302	0.5033883
K00303	0.6545423
K00304	0.5026943
