function.	GI_10
K00001	24.47
K00002	0
K00003	36.69
K00004	6.93
K00005	19.9
K00007	0
K00008	11.99
K00009	1.95
K00010	9.33
K00011	0
K00012	21.56
K00013	34.39
K00014	41.85
K00015	0.17
K00016	37.79
K00018	15.58
K00019	6.32
K00020	41.36
K00021	0
K00023	11.13
K00024	9.23
K00025	0
K00027	30.06
K00028	0
K00029	14.22
K00030	2.97
K00031	37.64
K00032	0
K00033	6.96
K00034	0
K00036	5.94
K00038	0
K00039	0
K00040	4.44
K00041	2.12
K00042	8.74
K00043	0
K00045	0.24
K00046	14.36
K00048	7.75
K00050	0.65
K00052	36.35
K00053	35.35
K00054	0.66
K00055	0.22
K00057	32.6
K00058	69.91
K00059	111.77
K00060	1.48
K00064	0
K00065	6.39
K00066	0.54
K00067	36.69
K00068	7.74
K00073	0
K00074	36.62
K00075	48.72
K00076	0.47
K00077	32.08
K00078	0
K00082	0
K00086	3.94
K00087	3.22
K00088	39.67
K00090	1.43
K00091	1.25
K00094	0
K00096	15.05
K00097	17.3
K00098	0.33
K00099	37.39
K00100	27.46
K00101	11.98
K00102	7.43
K00103	0
K00104	20.27
K00105	0
K00108	16.65
K00111	23.99
K00112	0.87
K00113	0.67
K00114	0
K00116	0
K00117	0.33
K00118	0
K00121	6.01
K00122	0
K00123	54.16
K00124	26.29
K00125	0
K00126	5.66
K00127	23.18
K00128	36.3
K00130	0.6
K00131	3.66
K00132	2.9
K00133	37.57
K00134	40.07
K00135	25.7
K00137	0
K00138	5.33
K00140	16.49
K00141	0
K00145	35.91
K00146	0
K00147	34.52
K00148	0
K00150	1.42
K00151	5.33
K00153	0
K00154	0
K00156	7.07
K00158	0
K00161	10.91
K00162	10.91
K00163	11.32
K00164	6.33
K00166	1.33
K00167	1.33
K00169	12.93
K00170	12.93
K00171	1.24
K00172	12.93
K00174	23.5
K00175	23.5
K00176	21.21
K00177	21.22
K00179	36.9
K00180	31.7
K00183	24.23
K00184	61.72
K00185	37.99
K00194	0.59
K00196	4.82
K00197	0.79
K00198	14.47
K00200	0
K00201	0
K00202	0
K00208	18.1
K00209	1.41
K00210	1.28
K00215	38.9
K00216	0
K00217	0
K00218	0
K00219	0.48
K00220	0
K00221	0
K00226	3.12
K00227	0
K00228	5.66
K00230	2.45
K00231	0.5
K00232	0
K00239	9.33
K00240	14.61
K00241	7.95
K00242	5.66
K00243	11.28
K00244	96.37
K00245	1.12
K00246	1.12
K00247	0
K00248	15.61
K00249	33.3
K00252	5.66
K00253	5.66
K00254	6.83
K00256	0
K00257	26.22
K00259	2.4
K00260	1.17
K00261	9.73
K00262	31.98
K00263	0.2
K00265	10.88
K00266	53.09
K00273	0
K00274	2.62
K00275	7.61
K00276	0
K00278	17.48
K00280	0
K00281	7.78
K00282	6.75
K00283	6.75
K00284	6.84
K00285	28.63
K00286	41.64
K00287	22.79
K00288	0
K00290	10.77
K00293	0.4
K00294	0.4
K00297	34.61
K00298	0.96
K00299	5.66
K00301	0
K00302	1.31
K00303	12.57
K00304	0
K00305	0
K00311	5.99
K00313	12.56
K00316	0
K00317	0
K00318	0
K00322	0
K00324	16.34
K00325	7.92
K00330	9.98
K00331	9.98
K00332	8.53
K00333	8.53
K00334	11.12
K00335	11.21
K00336	13.53
K00337	11.1
K00338	9.98
K00339	9.98
K00340	8.87
K00341	9.73
K00342	9.98
K00343	9.98
K00344	17.43
K00346	1.45
K00347	1.45
K00348	1.45
K00349	1.45
K00350	1.45
K00351	1.45
K00354	1.3
K00355	3.84
K00356	9.33
K00362	9.51
K00363	5.66
K00364	0.18
K00365	0
K00366	3.71
K00367	0
K00368	0
K00370	0.66
K00371	0.66
K00372	1.37
K00373	0.66
K00374	1.78
K00375	69.32
K00376	0.17
K00380	6.33
K00381	6.33
K00382	38.46
K00383	5.66
K00384	58.46
K00385	4.39
K00387	0
K00389	1.96
K00390	7.13
K00392	1.4
K00394	3.97
K00395	3.97
K00404	10.99
K00405	5.66
K00406	5.66
K00407	5.66
K00411	5.66
K00412	5.66
K00413	5.66
K00425	32.08
K00426	32.08
K00427	0
K00428	1.76
K00432	27.05
K00433	3.93
K00435	0
K00436	0
K00437	1.12
K00441	0
K00446	0
K00448	0
K00449	0
K00450	6.32
K00451	5.66
K00452	0
K00453	5.66
K00455	0.33
K00456	0
K00457	5.66
K00459	13.04
K00466	0
K00467	0
K00469	0
K00471	0
K00472	0
K00476	0
K00477	5.66
K00479	0
K00480	10.99
K00481	0
K00483	0
K00484	0
K00486	0
K00491	0
K00493	0
K00496	0
K00499	0
K00500	0
K00505	0
K00507	5.66
K00508	0
K00510	0.07
K00517	0
K00520	0
K00523	10.99
K00525	21.91
K00526	11.66
K00527	34.83
K00528	33.08
K00529	10.66
K00531	1.39
K00532	1.92
K00533	6.25
K00534	1.32
K00537	33.49
K00543	0
K00547	1.44
K00548	50.98
K00549	15.52
K00554	37.39
K00556	1.12
K00557	1.4
K00558	25.93
K00560	24.17
K00561	0.95
K00563	4.99
K00564	1.42
K00566	40.78
K00567	33.87
K00568	6.06
K00569	5.66
K00570	0
K00571	4.89
K00573	16.11
K00574	11.87
K00575	30.33
K00584	0.37
K00588	0.31
K00590	0.25
K00595	7.66
K00596	0
K00598	5.78
K00600	35.35
K00602	40.59
K00603	2.43
K00604	43.99
K00605	14.53
K00606	17.81
K00608	0
K00609	42.92
K00610	12.93
K00611	41.81
K00612	0.33
K00613	11.69
K00615	98.52
K00616	33.58
K00619	1.29
K00620	32.87
K00621	0
K00625	34.94
K00626	43.92
K00627	19.45
K00631	0
K00632	11.49
K00633	4.56
K00634	7.45
K00635	0
K00638	1.05
K00639	5.96
K00640	39.03
K00641	6.73
K00643	0
K00645	35.63
K00646	0
K00647	1.74
K00648	45.65
K00651	30.17
K00652	10.79
K00655	52.9
K00656	34.95
K00657	4.68
K00658	7.61
K00661	19.01
K00662	0.95
K00663	0
K00666	29.66
K00672	0
K00673	0
K00674	11.25
K00675	0.17
K00677	10.08
K00680	4.37
K00681	30.12
