function.	oral_18
K00001	17.9104801
K00002	0
K00003	53.5887963
K00004	1.8867925
K00005	23.6918889
K00007	0
K00008	1.6509434
K00009	13.8834857
K00010	6.3250429
K00011	0
K00012	49.9051743
K00013	52.8434513
K00014	90.7357967
K00015	0
K00016	62.4683917
K00018	16.0806176
K00019	7.3526552
K00020	3.7473795
K00021	0
K00023	0
K00024	43.6685473
K00027	19.0905359
K00028	2.1785645
K00029	42.8721177
K00030	0
K00031	50.5475149
K00032	0
K00033	47.7411984
K00034	0
K00035	0
K00036	49.3556703
K00038	0
K00039	0
K00040	4.9528302
K00041	1.6509434
K00042	0
K00043	0
K00045	1.6509434
K00046	22.6001752
K00048	3.3018868
K00050	1.6509434
K00052	63.9142105
K00053	68.3933533
K00054	26.1427739
K00055	0
K00057	97.4271017
K00058	68.4079419
K00059	128.4097793
K00060	1.6509434
K00064	0
K00065	3.3018868
K00066	0
K00067	42.7762112
K00068	6.22447
K00073	0
K00074	7.0584518
K00075	100.9648375
K00076	30.1886794
K00077	22.6901382
K00082	0
K00086	0
K00087	0
K00088	83.4905666
K00090	0
K00091	0.5446411
K00094	0
K00096	2.3949621
K00097	39.5440254
K00098	0
K00099	75.2358494
K00100	20.3261218
K00101	13.7221271
K00102	0
K00103	0
K00104	33.9622644
K00105	11.4374636
K00108	0
K00111	19.8113209
K00112	11.3207548
K00113	10.6346484
K00114	0
K00116	32.7615783
K00117	0
K00118	0
K00119	0
K00121	6.2391078
K00122	0
K00123	45.9619785
K00124	41.3379076
K00126	0
K00127	31.5608921
K00128	3.3018868
K00130	1.6509434
K00131	16.6115543
K00132	0
K00133	73.4365887
K00134	100.2358496
K00135	19.5098231
K00137	0
K00138	0
K00140	3.0231561
K00141	0
K00145	46.4627064
K00146	0
K00147	87.9201963
K00148	0
K00150	1.6509434
K00151	3.7735849
K00152	0
K00153	0
K00154	0
K00155	0
K00156	0
K00158	9.2588991
K00161	28.3383585
K00162	28.3383585
K00163	13.2075473
K00164	13.2075473
K00166	0
K00167	0
K00169	0
K00170	0
K00171	0
K00172	0
K00174	38.9150946
K00175	38.9150946
K00176	37.0283021
K00177	37.0283021
K00179	11.3207547
K00180	11.3207547
K00184	0
K00185	0
K00194	3.3018868
K00196	1.6509434
K00197	3.3018868
K00198	8.7264151
K00200	0
K00201	0
K00202	0
K00207	0
K00208	41.5094342
K00209	3.3018868
K00210	0.4192872
K00215	73.9787983
K00216	0
K00217	0
K00218	0
K00219	0
K00220	0
K00221	0
K00224	16.9811322
K00226	101.4272522
K00228	0
K00230	5.1457976
K00231	1.8867925
K00232	0
K00239	29.8218031
K00240	26.4150945
K00241	11.3207549
K00242	1.8867925
K00243	29.4446608
K00244	60.496057
K00245	41.5094342
K00246	41.5094342
K00247	11.3207548
K00248	7.0754719
K00249	0
K00252	0.8169617
K00253	0
K00255	0
K00256	0
K00257	3.5639414
K00258	0
K00259	11.3406483
K00260	3.6687632
K00261	3.5377359
K00262	48.7002885
K00263	0
K00265	19.4105764
K00266	62.3351047
K00270	0
K00274	0
K00275	10.6346485
K00276	0
K00278	7.2943009
K00280	0
K00281	3.6687632
K00282	6.6037736
K00283	6.6037736
K00284	0
K00285	5.5555556
K00286	86.2692529
K00287	45.5918113
K00290	26.3275629
K00292	0
K00294	1.4150944
K00297	54.7527407
K00298	0
K00299	0
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00309	0
K00311	1.8867925
K00313	1.8867925
K00315	0
K00316	3.7735849
K00317	4.357129
K00318	0
K00322	0
K00324	16.037736
K00325	16.0591768
K00329	0
K00330	32.0754719
K00331	32.0754719
K00332	28.301887
K00333	28.301887
K00334	38.4433964
K00335	42.3218031
K00336	40.3301889
K00337	32.0754719
K00338	32.0754719
K00339	30.1886794
K00340	28.301887
K00341	30.1886794
K00342	32.0754719
K00343	32.0754719
K00344	0
K00346	15.0943398
K00347	16.7452832
K00348	16.7452832
K00349	16.7452832
K00350	16.7452832
K00351	16.7452832
K00353	0
K00354	1.8867925
K00355	9.2929391
K00356	4.357129
K00358	21.8647034
K00359	19.145108
K00362	1.6509434
K00363	0
K00364	22.6026066
K00365	0
K00366	0
K00367	0
K00368	2.1536116
K00370	0
K00371	0
K00372	0
K00373	0
K00374	0
K00375	12.0992556
K00376	6.0796646
K00378	10.3773586
K00380	5.870021
K00381	1.8867925
K00382	54.0823774
K00383	38.0081699
K00384	160.5617062
K00385	1.6509434
K00387	0
K00389	0
K00390	8.5167716
K00392	0
K00394	0
K00395	0
K00404	30.1886794
K00405	30.1886794
K00406	31.1320756
K00407	29.2452832
K00411	32.0754719
K00412	32.0754719
K00413	32.0754719
K00423	0
K00425	42.618168
K00426	42.618168
