function.	air_27
K00001	121.96
K00002	0
K00003	212.59
K00004	52.15
K00005	74.59
K00007	0.14
K00008	152.51
K00009	78.14
K00010	29.51
K00011	0
K00012	82.79
K00013	175.71
K00014	292.7
K00015	9.48
K00016	312.95
K00018	32.97
K00019	24.29
K00020	131.38
K00021	8.91
K00023	7.2
K00024	108.71
K00025	0
K00027	204.15
K00028	3.55
K00029	64.73
K00030	11.14
K00031	188.61
K00032	0
K00033	178.22
K00034	10.54
K00035	0
K00036	175.92
K00038	6.76
K00039	5
K00040	25.87
K00041	30.63
K00042	16.79
K00043	0
K00045	20.03
K00046	72.39
K00048	13.33
K00050	44.46
K00052	193.76
K00053	184.55
K00054	92.92
K00055	7.42
K00057	215.82
K00058	228.66
K00059	506.73
K00060	41.9
K00064	1.77
K00065	17.5
K00066	1
K00067	112.18
K00068	16.21
K00073	5.98
K00074	159.78
K00075	209.21
K00076	1.32
K00077	237.7
K00078	0
K00082	15.22
K00086	4.2
K00087	8
K00088	277.69
K00090	10.92
K00091	5.66
K00094	0
K00096	18.18
K00097	30.83
K00098	16.78
K00099	119.16
K00100	87.68
K00101	43.17
K00102	45.72
K00104	93.26
K00105	16.15
K00106	0
K00108	125.9
K00111	189.32
K00112	0.75
K00113	0.75
K00114	8
K00116	170.76
K00117	8.72
K00118	0
K00121	18.98
K00122	51.07
K00123	115.34
K00124	11.9
K00126	6
K00127	7.42
K00128	293.24
K00130	136.14
K00131	39.3
K00132	13
K00133	216.23
K00134	336.32
K00135	219.51
K00137	0.83
K00138	71.82
K00140	36.89
K00141	0
K00145	167.32
K00146	6.27
K00147	137.93
K00148	2.33
K00150	0
K00151	43.27
K00153	19.26
K00154	10.66
K00156	36.3
K00158	81.79
K00161	176.25
K00162	176.25
K00163	84.53
K00164	129.69
K00166	108.52
K00167	108.52
K00169	3.33
K00170	3.33
K00171	3.33
K00172	3.33
K00174	94.79
K00175	100.79
K00176	13.66
K00177	13.66
K00179	4.55
K00180	4.55
K00184	0
K00185	0
K00194	3
K00196	14
K00197	3
K00198	40
K00200	0
K00201	0
K00202	0
K00208	144.96
K00209	7.28
K00210	2.58
K00214	0
K00215	185.49
K00216	8.86
K00217	9.72
K00218	0
K00219	24.16
K00220	5
K00221	0.21
K00226	91.13
K00227	0
K00228	8.92
K00230	8.76
K00231	131.36
K00232	10.16
K00239	153.69
K00240	153.36
K00241	153.36
K00242	53.57
K00243	120.77
K00244	51.53
K00245	0.42
K00246	0.42
K00247	0.42
K00248	72.72
K00249	114.03
K00252	156.56
K00253	11.33
K00254	87.82
K00255	10.72
K00256	0
K00257	250.13
K00259	196.84
K00260	76.41
K00261	86.53
K00262	110.01
K00263	43.91
K00265	151.71
K00266	210.6
K00270	0
K00271	0
K00273	7.41
K00274	54.39
K00275	63.27
K00276	27.66
K00278	60.05
K00280	0
K00281	79.07
K00282	82.11
K00283	82.11
K00284	13.47
K00285	36.14
K00286	225.65
K00287	184.65
K00288	0
K00290	56.68
K00293	0
K00294	142.97
K00297	126.02
K00298	12.17
K00299	140.45
K00301	6.49
K00302	11.73
K00303	17.66
K00304	6.33
K00305	6.33
K00311	14.33
K00313	2.5
K00314	0
K00315	5
K00316	0
K00317	0
K00318	101.56
K00320	0
K00322	6.92
K00324	28.85
K00325	22.19
K00326	0
K00329	0
K00330	64.98
K00331	64.98
K00332	52.72
K00333	52.72
K00334	75.35
K00335	80.57
K00336	75.24
K00337	64.98
K00338	64.98
K00339	64.98
K00340	61.01
K00341	65.18
K00342	64.98
K00343	64.98
K00344	97.11
K00346	6.83
K00347	7.16
K00348	7.16
K00349	7.16
K00350	7.16
K00351	7.16
K00354	19.73
K00355	13.18
K00356	45.32
K00360	0.33
K00362	81.41
K00363	68.88
K00364	86.1
K00365	54.89
K00366	15.2
K00367	0
K00368	22.18
K00370	69.28
K00371	71.19
K00372	18.65
K00373	25.18
K00374	70.19
K00375	227.02
K00376	2
K00380	81.6
K00381	29.4
K00382	389.97
K00383	57.35
K00384	454.83
K00385	21
K00387	0
K00389	16.76
K00390	88.89
K00392	57.78
K00394	9.14
K00395	9.14
K00404	9
K00405	8
K00406	8
K00407	8
K00410	0
K00411	8
K00412	8
K00413	8
K00423	0
K00425	128.47
K00426	133.64
K00427	5.58
K00428	41.87
K00432	211.82
K00433	29.08
K00435	0.66
K00436	4.5
K00441	0
K00446	46.25
K00448	11.35
K00449	18.76
K00450	7.7
K00451	1.2
K00452	0
K00453	42.85
K00455	1.25
K00456	0
K00457	12.29
K00459	116.43
K00462	0
K00464	0
K00466	0.33
K00467	0.33
K00471	0
K00472	0.2
K00476	0
K00477	1
K00479	11.74
K00480	12.35
K00481	11.1
K00483	40.91
K00484	1.42
K00486	0
K00491	93.56
K00493	8.99
K00496	22.07
K00499	0.06
K00500	0.2
K00504	0
K00505	0
K00507	12.66
K00508	30.67
K00510	34.55
K00514	0
K00517	7.2
K00518	0
K00520	6.11
K00523	3
K00525	265.08
K00526	226.08
K00527	145.29
K00528	160.16
K00529	16.88
K00531	4
K00532	6
K00533	1.14
K00534	5
K00537	159.87
K00543	0
K00544	2
K00547	95.64
K00548	126.48
K00549	142.01
K00554	208.84
K00556	40.54
K00557	52.81
K00558	95.4
K00560	192.34
K00561	8.69
K00563	76.77
K00564	131.89
K00566	220.9
K00567	167.4
K00568	55.59
K00569	1
K00570	5
K00571	112.99
K00573	15.99
K00574	141.99
K00575	62.32
K00577	0
K00584	0
K00587	0
K00588	6
K00590	2.45
K00594	0.33
K00595	29.09
K00596	0
K00598	41.65
K00600	207.5
K00602	221.42
K00603	9.83
K00604	219.15
K00605	164.48
K00606	154.93
K00608	0
K00609	208.67
K00610	27.87
K00611	259.59
K00612	26
K00613	0
K00615	358.43
K00616	210.01
K00619	44.05
K00620	162.96
K00621	0
K00624	0
K00625	122.84
K00626	450.95
K00627	226.46
K00631	7.09
K00632	99.93
K00633	5.02
K00634	42.58
K00635	6.33
K00638	17.53
K00639	107.93
K00640	182.26
K00641	167.52
K00643	5
K00645	180.91
K00646	0
K00647	15.89
K00648	224.08
K00651	50.44
