KO	GI_1
K00001	129.47
K00002	0
K00003	111.26
K00004	38.11
K00005	90.29
K00007	0.2
K00008	70.86
K00009	2.17
K00010	39.01
K00011	0
K00012	209.37
K00013	119.84
K00014	132.56
K00015	0.2
K00016	78.91
K00018	57.1
K00019	73.17
K00020	253.5
K00021	0
K00023	100.68
K00024	98.93
K00025	0
K00027	73.67
K00028	0
K00029	140.25
K00030	33.08
K00031	132.26
K00032	0
K00033	42.31
K00034	0.2
K00036	39.92
K00038	0
K00039	0
K00040	57.66
K00041	43.35
K00042	69.3
K00043	0.53
K00045	0
K00046	145.95
K00048	35.66
K00050	20.71
K00052	121.28
K00053	117.25
K00054	14.92
K00055	8.18
K00057	124.05
K00058	335.07
K00059	693.26
K00060	3.06
K00064	0
K00065	52.73
K00066	0.2
K00067	141.5
K00068	9.51
K00073	1.02
K00074	273.26
K00075	121.33
K00076	0.69
K00077	210.7
K00078	0
K00082	0
K00086	7.27
K00087	6.51
K00088	125.6
K00090	1.55
K00091	0.86
K00094	0.69
K00096	16.07
K00097	184.14
K00098	14.2
K00099	121.75
K00100	85.87
K00101	117.7
K00102	59.44
K00103	0
K00104	132.29
K00105	0
K00108	160.2
K00111	129.19
K00112	1.22
K00113	1.22
K00114	0
K00116	0.69
K00117	14.36
K00118	0
K00121	58.45
K00122	0.93
K00123	201.06
K00124	115.24
K00125	0
K00126	57.44
K00127	115.24
K00128	286.16
K00130	3.61
K00131	14.96
K00132	31.77
K00133	134.42
K00134	134.55
K00135	233.36
K00137	0.69
K00138	44.13
K00140	157.52
K00141	0.2
K00145	133.11
K00146	1.09
K00147	117.99
K00148	0.2
K00150	0
K00151	44.13
K00153	0
K00154	0.2
K00156	76.45
K00158	0
K00161	72.09
K00162	72.09
K00163	115.37
K00164	60.3
K00166	15.34
K00167	15.34
K00169	47.07
K00170	47.07
K00171	47.07
K00172	47.07
K00174	100.63
K00175	100.95
K00176	69.39
K00177	69.39
K00179	93.92
K00180	52.21
K00183	0
K00184	1
K00185	1
K00194	27.13
K00196	41.26
K00197	29.13
K00198	117.29
K00200	0
K00201	0
K00202	0
K00208	125.32
