function.	GI_0
K00001	44.3366092
K00002	0.1228501
K00003	107.2788696
K00004	0
K00005	11.0135134
K00007	0
K00008	5.5436118
K00009	0.982801
K00010	1.7199017
K00011	0
K00012	96.8058966
K00013	99.0171988
K00014	126.2285009
K00015	0
K00016	118.2555281
K00018	1.3513513
K00019	107.1683043
K00020	89.7911545
K00021	0
K00023	57.9545452
K00024	55.681818
K00027	46.1609336
K00028	0
K00029	150.6818177
K00030	2.3341523
K00031	103.6425059
K00032	0
K00033	0.7371007
K00034	6.590909
K00035	0
K00036	0.3685504
K00038	0
K00039	0
K00040	41.7874692
K00041	35.0737101
K00042	22.6781326
K00043	11.1547911
K00045	0
K00046	127.0700243
K00048	34.7051597
K00050	0
K00052	121.1117933
K00053	98.5257983
K00054	5.4545454
K00055	5.7002457
K00057	99.7542996
K00058	174.0110561
K00059	732.0331671
K00060	0
K00064	0
K00065	1.5970516
K00066	0
K00067	93.2125305
K00068	1.9656019
K00073	0
K00074	186.3513508
K00075	99.9999998
K00076	0.2457002
K00077	100.7371004
K00082	0
K00086	1.3513513
K00087	1.5970516
K00088	88.7592136
K00090	0
K00091	0.2457002
K00094	0
K00096	24.5700246
K00097	93.1203928
K00098	6.590909
K00099	99.9999998
K00100	7.1406634
K00101	123.4090905
K00102	33.9864864
K00103	0
K00104	58.753071
K00105	0
K00108	34.9999998
K00111	107.3095821
K00112	0
K00113	0
K00114	0
K00116	5.4545454
K00117	5.4545454
K00118	0
K00119	0
K00121	56.4189187
K00122	43.6363635
K00123	86.2100734
K00124	73.1818179
K00126	39.3181817
K00127	94.9999997
K00128	234.4932425
K00130	5.5773956
K00131	3.071253
K00132	1.8427518
K00133	100.6142504
K00134	101.8427516
K00135	228.1818174
K00137	0
K00138	0
K00140	150.8046678
K00141	5.4545454
K00145	110.2027025
K00146	1.1363636
K00147	98.6486485
K00148	0
K00150	0
K00151	22.9545454
K00152	0
K00153	0
K00154	0
K00155	0
K00156	33.8636362
K00158	0
K00161	35.9520883
K00162	35.9520883
K00163	112.4999996
K00164	55.681818
K00166	6.590909
K00167	6.590909
K00169	46.4373465
K00170	9.5055283
K00171	12.2235873
K00172	46.4373465
K00174	8.7530712
K00175	8.6302211
K00176	8.2616708
K00177	7.7702703
K00179	8.5380835
K00180	8.5380835
K00184	0.1228501
K00185	0.1228501
K00194	0.3685504
K00196	7.7702703
K00197	0.3685504
K00198	12.3157248
K00200	0
K00201	0
K00202	0
K00207	0
K00208	111.836609
K00209	1.1363636
K00210	0
K00215	108.2616706
K00216	0
K00217	5.4545454
K00218	0
