KO	GI_4
K00001	61.21
K00002	0
K00003	96.58
K00004	29.99
K00005	49.22
K00007	2
K00008	32.55
K00009	1.9
K00010	41.35
K00011	0
K00012	42.19
K00013	88.38
K00014	115.88
K00015	2
K00016	115.44
K00018	40.25
K00019	14.16
K00020	66.94
K00021	0
K00023	16.33
K00024	26.46
K00025	0
K00027	51.24
K00028	0
K00029	38.9
K00030	12.91
K00031	83
K00032	0
K00033	63.03
K00034	0.35
K00036	46.55
K00038	0
K00039	0
K00040	19.96
K00041	7.71
K00042	22.46
K00043	0
K00045	0
K00046	28.48
K00048	28.63
K00050	4.4
K00052	90.77
K00053	112.26
K00054	4.41
K00055	2.18
K00057	77.7
K00058	145.34
K00059	226.27
K00060	14.84
K00064	0
K00065	22.44
K00066	0
K00067	55.13
K00068	17.46
K00073	0
K00074	76.31
K00075	81.56
K00076	0
K00077	82.5
K00078	0
K00082	0.5
K00086	11.5
K00087	1.86
K00088	119.9
K00090	2.55
K00091	0.55
K00094	0
K00096	55.9
K00097	46.25
K00098	3.33
K00099	93.14
K00100	80.96
K00101	19.66
K00102	15.63
K00103	0
K00104	63.71
K00105	0
K00108	27.16
K00111	48.34
K00112	0.4
K00113	0
K00114	0
K00116	2
K00117	3.33
K00118	0
K00121	11.33
K00122	0
K00123	46.83
K00124	28.21
K00125	0
K00126	12.83
K00127	24.3
K00128	106.34
K00130	8.59
K00131	6.36
K00132	5.98
K00133	94.66
K00134	99.92
K00135	40.42
K00137	0
K00138	7.5
K00140	29.66
K00141	0
K00145	91.62
K00146	0
K00147	90.64
K00148	2
K00150	2.85
K00151	5.5
K00153	0
K00154	2
K00156	23.17
K00158	0.99
K00161	48.29
K00162	48.29
K00163	19.66
K00164	25.17
K00166	17.67
K00167	17.67
K00169	9.85
K00170	9.85
K00171	9.5
K00172	9.85
K00174	28.63
K00175	28.63
K00176	24.61
K00177	24.73
K00179	28.63
K00180	21.73
K00183	1.63
K00184	20.76
K00185	18.71
K00194	3.18
K00196	15.79
K00197	4.18
K00198	39.76
K00200	0
K00201	0
K00202	0
K00208	49.8
K00209	1.32
K00210	0
K00215	99.46
K00216	0
K00217	0
K00218	0
K00219	2.87
K00220	0
K00221	0
K00226	29.88
K00227	0
K00228	10.83
K00230	3.32
K00231	0
K00232	0
K00239	50.59
K00240	55.7
K00241	25.67
K00242	10.83
K00243	21.9
K00244	13.57
K00245	1.69
K00246	1.4
K00247	0
K00248	40.48
K00249	51.65
K00252	10.83
K00253	10.83
K00254	25.67
K00256	0
K00257	52.63
K00259	3.47
K00260	3.94
K00261	27.83
K00262	68.62
K00263	3
K00265	52.55
K00266	115.99
K00273	0
K00274	6.95
K00275	27.17
K00276	0
K00278	79.93
K00280	0
K00281	25.67
K00282	20.39
K00283	20.39
K00284	9.07
K00285	54.15
K00286	98.03
K00287	88.26
K00288	0
K00290	43.31
K00293	0
K00294	0
K00297	74.62
K00298	1.82
K00299	11.58
K00301	0
K00302	3.94
K00303	13
K00304	2
K00305	2
K00311	10.83
K00313	3.11
K00316	0
K00317	2
K00318	0
K00322	0
K00324	69.92
K00325	34.96
K00330	26.22
K00331	26.22
K00332	25.72
K00333	25.72
K00334	39.67
K00335	38.9
K00336	50.13
K00337	27.62
K00338	26.22
K00339	26.22
K00340	25.67
K00341	26.22
K00342	26.22
K00343	26.22
K00344	30.89
K00346	0.5
K00347	0.5
K00348	0.5
K00349	0.5
K00350	0.5
K00351	0.5
K00354	0.67
K00355	29.18
K00356	23.83
K00362	27.83
K00363	10.83
K00364	1.08
K00365	0
K00366	12.09
K00367	0
K00368	0
K00370	3.33
K00371	3.33
K00372	13.6
K00373	3.33
K00374	4.73
K00375	83.33
K00376	0
K00380	23.17
K00381	25.17
K00382	112.62
K00383	10.83
K00384	199.18
K00385	23.16
K00387	0
K00389	2.55
K00390	30.07
K00392	0.55
K00394	9.34
K00395	9.34
K00404	14.33
K00405	8.83
K00406	8.83
K00407	8.83
K00411	10.83
K00412	10.83
K00413	10.83
K00425	45.08
K00426	45.08
K00427	0
K00428	19.67
K00432	31.1
K00433	10.03
K00435	0
K00436	0
K00437	1.4
K00441	0
K00446	0
K00448	2
K00449	2
K00450	12.16
K00451	10.83
K00452	0
K00453	10.83
K00455	0
K00456	0
K00457	12.83
K00459	34.98
K00466	0
K00467	0
K00469	0
K00471	0
K00472	2
K00476	0
K00477	10.83
K00479	2
K00480	17.66
K00481	2
K00483	0
K00484	0
K00486	0
K00491	0
K00493	0
K00496	0
K00499	0
K00500	2
K00505	0
K00507	18.83
K00508	0
K00510	1
K00517	2
K00520	0
K00523	16.33
K00525	92.83
K00526	47.42
K00527	95.61
K00528	101.09
K00529	13
K00531	0.55
K00532	6.55
K00533	5.12
K00534	1.8
K00537	72.94
K00543	0
K00547	8.7
K00548	81.11
K00549	50.16
K00554	95.22
K00556	1.9
K00557	1.37
K00558	72.14
K00560	83.76
K00561	2.08
K00563	22.93
K00564	5.93
K00566	73.91
K00567	75.84
K00568	14.33
K00569	10.83
K00570	0
K00571	17.36
K00573	38.06
K00574	49.93
K00575	93.38
K00584	1
K00588	0.82
K00590	1
K00595	5.22
K00596	0
K00598	46.9
K00600	71.1
K00602	100.75
K00603	5.24
K00604	107.12
K00605	47.06
K00606	44.24
K00608	0
K00609	101.76
K00610	45.6
K00611	86.27
K00612	5.33
K00613	0.64
K00615	219.35
K00616	77.32
K00619	1.4
K00620	87.53
K00621	0
K00625	61.64
K00626	90.39
K00627	52.57
K00631	0
K00632	19.66
K00633	35.27
K00634	16.83
K00635	0
K00638	1.4
K00639	35.15
K00640	72.72
K00641	27.67
K00643	0
K00645	69.26
K00646	0
K00647	6.83
K00648	90.79
K00651	65.03
K00652	28.62
K00655	127.32
K00656	106.9
K00657	8.34
K00658	25.17
K00661	100.13
K00662	6.09
K00663	0
K00666	36.42
K00672	0
K00673	0
K00674	52.16
K00675	0
K00677	27.4
K00680	8.39
K00681	53.34
K00683	14.34
K00684	34.21
K00685	10.83
K00686	16.55
K00687	0
K00688	109.77
K00689	0
K00690	44.96
K00691	0.55
K00692	2.2
K00694	0
K00696	0
K00697	5
K00700	93.29
K00702	34.5
K00703	66.28
K00705	91.27
K00709	0
K00712	0
K00720	0
K00721	34.67
K00728	1
K00737	0
K00745	0
K00748	27.4
K00752	4.59
K00754	30.26
K00756	40.24
K00757	15.02
K00758	2.05
K00759	78.18
K00760	100.08
K00761	80.88
K00762	108.32
K00763	78.98
K00764	109.7
K00765	88.03
K00766	69.69
K00767	86.48
K00768	36.14
K00769	1.4
K00772	3.33
K00773	94.89
K00782	2.8
K00783	95.62
K00784	41.95
K00785	0
K00786	10.2
K00788	84.9
K00789	121.39
K00790	155.25
K00791	95.22
K00793	49.53
K00794	51.53
K00795	10.83
K00796	86.94
K00797	58.74
K00798	26.29
K00799	108.3
K00800	93.74
K00801	14.34
K00803	1
K00805	50.95
K00806	111.06
K00808	0
K00809	0
K00812	57.28
K00813	0
K00817	135.77
K00818	64.46
K00819	2
K00820	74.38
K00821	52.16
K00822	18.33
K00823	16.42
K00824	16.97
K00826	117.55
K00830	11.23
K00831	64
K00832	12.49
K00833	39.54
K00835	14.34
K00836	10.83
K00839	0
K00840	0
K00841	4.59
K00842	1
K00844	2.85
K00845	125.73
K00847	60.73
K00848	19.02
K00849	69.36
K00850	154.83
K00851	20.09
K00852	42.43
K00853	16.86
K00854	73.72
K00855	0
K00856	12.23
K00857	19.39
K00858	93.22
K00859	93.82
K00860	15.95
K00862	1
K00863	2.86
K00864	89.39
K00865	71.78
K00867	0.33
K00868	55.38
K00869	1.08
K00870	0
K00872	44.66
K00873	110.33
K00874	64.37
K00876	57.06
K00878	83.09
K00879	15.34
K00880	8.65
K00881	0
K00882	40.17
K00883	2
K00884	0
K00885	0
K00886	24.13
K00887	16.75
K00891	71.07
K00892	0
K00895	0
K00897	7.65
K00899	8
K00901	47.74
K00906	10.83
K00912	27.4
K00917	10.45
K00918	0.5
K00919	94.89
K00924	7.77
K00925	76.97
K00926	16.56
K00927	95.22
K00928	139.93
K00929	16.33
K00930	88.29
K00931	90.97
K00932	0
K00936	98.87
K00937	58.63
K00938	1.08
K00939	95.22
K00940	42.14
K00941	117.57
K00942	75.79
K00943	91.76
K00945	75.75
K00946	27.9
K00947	0
K00948	146.13
K00949	67.82
K00950	45.4
K00951	89.88
K00954	95.22
K00955	17.55
K00956	18.77
K00957	50.11
K00958	1.4
K00962	94.89
K00963	114.82
K00965	76.95
K00966	36.07
K00968	14.34
K00969	95.72
K00970	58.93
K00971	67.88
K00972	0
K00973	72.33
K00974	60.32
K00975	99.23
K00978	9.9
K00979	28.8
K00980	0.33
K00981	110.22
K00982	34.96
K00983	2.97
K00984	0
K00986	7.47
K00988	0
K00989	71.51
K00990	36.36
K00991	117.31
K00992	10.83
K00993	0
K00995	101.94
K00996	0.33
K00997	86.58
K00998	0
K01000	95.72
K01002	1.75
K01003	0
K01004	0
K01006	59.2
K01007	24.86
K01008	26.46
K01011	17.78
K01012	86.39
K01023	0
K01026	15.8
K01027	0
K01028	19.66
K01029	22.02
K01031	22.99
K01032	22.99
K01034	4.89
K01035	4.89
K01039	10.33
K01040	10.33
K01042	15.13
K01046	20.81
K01048	40.49
K01051	19
K01053	12.16
K01055	21.66
K01056	95.22
K01057	25.53
K01058	2
K01060	27.18
K01061	30.49
K01066	12.12
K01067	0
K01069	10.83
K01070	10.83
K01071	6.33
K01073	0
K01075	8.83
K01077	64.46
K01078	0
K01079	36.12
K01081	36.46
K01082	16.5
K01083	0
K01085	0
K01086	0
K01087	3
K01089	0.5
K01090	89.4
K01091	202.99
K01092	75.7
K01093	0
K01095	12.23
K01096	0
K01101	0.33
K01104	156.36
K01113	4
K01114	33.81
K01117	0
K01118	28.83
K01119	19.92
K01120	0
K01121	0
K01126	65.83
K01129	94.19
K01130	16.84
K01133	2.55
K01134	14.34
K01135	14.34
K01136	0
K01137	0
K01138	2.5
K01139	3.33
K01141	2
K01142	100.47
