KO	oral_15
K00001	10.87
K00002	2.53
K00003	327.71
K00004	78.79
K00005	167.07
K00007	0
K00008	19.4
K00009	34.92
K00010	28.41
K00011	0
K00012	78.45
K00013	194.84
K00014	396.68
K00015	0
K00016	237.16
K00018	133.88
K00019	9.65
K00020	127.25
K00021	0
K00023	0
K00024	136.16
K00025	3.75
K00027	124.46
K00028	2.5
K00029	200.68
K00030	3.8
K00031	335.76
K00032	0
K00033	284.76
K00034	5.8
K00036	295.05
K00038	0
K00039	0
K00040	1.5
K00041	2.65
K00042	5.03
K00043	0
K00045	7.54
K00046	14.01
K00048	21.4
K00050	4
K00052	340.7
K00053	341.48
K00054	199.97
K00055	0
K00057	391.32
K00058	339.72
K00059	684.95
K00060	2.03
K00064	4.99
K00065	8.16
K00066	0
K00067	280.44
K00068	27.87
K00073	36
K00074	37.39
K00075	388.82
K00076	14.73
K00077	201.08
K00078	0
K00082	0.25
K00086	0
K00087	0.03
K00088	397.86
K00090	0
K00091	4.68
K00094	0.45
K00096	0
K00097	188.26
K00098	1.25
K00099	191.6
K00100	36.21
K00101	120.03
K00102	0
K00103	0
K00104	68.03
K00105	148.26
K00108	0.25
K00111	57.91
K00112	11.98
K00113	11.98
K00114	0
K00116	149.48
K00117	4.22
K00118	0.47
K00121	101.62
K00122	0
K00123	214.1
K00124	98.12
K00125	0
K00126	0
K00127	97.59
K00128	32.67
K00130	4.23
K00131	166.64
K00132	0
K00133	387.14
K00134	488.24
K00135	137
K00137	0
K00138	5.97
K00140	23.4
K00141	0
K00145	193.33
K00146	0
K00147	348.04
K00148	0
K00150	1
K00151	3.03
K00153	0.17
K00154	0
K00156	18.46
K00158	2.72
K00161	204.22
K00162	204.22
K00163	113.15
K00164	142.23
K00166	1
K00167	1
K00169	1.03
K00170	1.03
K00171	1.03
K00172	1.03
K00174	82.46
K00175	82.46
K00176	76.49
K00177	76.49
K00179	12.9
K00180	12.07
K00183	0
K00184	32.08
K00185	32.41
K00194	5.63
K00196	4.63
K00197	5.63
K00198	15.53
K00200	0
K00201	0
K00202	0
K00208	190.01
K00209	36.95
K00210	74.04
K00215	398.24
K00216	0
K00217	0
K00218	0
K00219	1.67
K00220	0
K00221	0
K00226	188.99
K00227	0.17
K00228	10.04
K00230	46.57
K00231	21.07
K00232	2.17
K00239	172.16
K00240	175.55
K00241	169.58
K00242	77.79
K00243	193.38
K00244	247.86
K00245	92
K00246	91.8
K00247	31.43
K00248	14.19
K00249	0
K00252	18.49
K00253	0
K00254	249.63
K00256	0
K00257	101.57
K00259	55.98
K00260	83.8
K00261	26.38
K00262	305.74
K00263	3.45
K00265	72.62
K00266	99.31
K00273	0
K00274	1.7
K00275	138.12
K00276	0
K00278	96.75
K00280	0
K00281	110.38
K00282	30.53
K00283	30.53
K00284	4.44
K00285	84.8
K00286	371.65
K00287	324.92
K00288	0.47
K00290	208.77
K00293	0
K00294	31.28
K00297	343.91
K00298	2.12
K00299	3.82
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00311	77.79
K00313	2.41
K00316	4.14
K00317	0
K00318	33.29
K00322	0
K00324	129.28
K00325	119.5
K00330	152.52
K00331	152.52
K00332	149.99
K00333	149.99
K00334	113.33
K00335	153.67
K00336	170.66
K00337	152.52
K00338	152.52
K00339	152.52
K00340	152.52
K00341	152.52
K00342	152.52
K00343	152.52
K00344	4.17
K00346	127.53
K00347	131.14
K00348	131
K00349	131
K00350	131
K00351	131
K00354	7.61
K00355	144.76
K00356	1.25
K00362	1.89
K00363	1.89
K00364	170.31
K00365	0
K00366	3.8
K00367	1.89
K00368	94.96
K00370	7.53
K00371	7.53
K00372	6.5
K00373	7.53
K00374	7.53
K00375	50.71
K00376	13.04
K00380	134.38
K00381	82.35
K00382	522.8
K00383	220.27
K00384	672.51
K00385	4.05
K00387	0
K00389	2.66
K00390	103.11
K00392	7.21
K00394	1
K00395	1
K00404	132.72
K00405	124.02
K00406	154.71
K00407	126.21
K00411	135.07
K00412	135.07
K00413	134.74
K00425	122.85
K00426	122.71
K00427	5.31
K00428	163.82
K00432	277.62
K00433	7.3
K00435	0.03
K00436	0.97
K00437	0
K00441	0
K00446	1.2
K00448	0.17
K00449	1.18
K00450	1.17
K00451	14.06
K00452	6.09
K00453	6.09
K00455	3.03
K00456	0.17
K00457	14.23
K00459	148.48
K00466	0
K00467	0
K00469	0
K00471	0
K00472	0
K00476	0.17
K00477	0.2
K00479	0
K00480	0.17
K00481	0.17
K00483	3.03
K00484	104.3
K00486	6.09
K00491	0
K00493	0
K00496	0.53
K00499	0
K00500	6.58
K00505	0.67
K00507	1.19
K00508	13.79
K00510	0.92
K00517	2.35
K00520	0.17
K00523	78.04
K00525	444.96
K00526	417.5
K00527	253.32
K00528	182.82
K00529	0.68
K00531	0.33
K00532	4.8
K00533	1
K00534	1
K00537	443.19
K00543	0
K00547	151.45
K00548	74.97
K00549	391.19
K00554	391.82
K00556	30.28
K00557	170.84
K00558	941.28
K00560	317.25
K00561	139.46
K00563	166.18
K00564	204.34
K00566	453.99
K00567	397
K00568	104.55
K00569	2.01
K00570	0
K00571	419.87
K00573	171.52
K00574	62.63
K00575	80.24
K00584	0
K00588	13
K00590	0
K00595	5.42
K00596	0
K00598	3.76
K00600	396.05
K00602	399.37
K00603	9.18
K00604	437.9
K00605	135.11
K00606	148.43
K00608	6.81
K00609	352.49
