function.	air_4
K00001	434.4
K00002	1
K00003	498.04
K00004	114.69
K00005	98.31
K00007	0
K00008	455.39
K00009	292.01
K00010	286.74
K00011	0
K00012	194.43
K00013	361.98
K00014	737.01
K00015	69.75
K00016	763.5
K00018	69.7
K00019	66.77
K00020	189.75
K00021	0.99
K00023	14.1
K00024	278.94
K00025	0
K00027	414
K00028	22.02
K00029	118.58
K00030	7
K00031	461.21
K00032	1.2
K00033	516.53
K00034	40.18
K00035	9.49
K00036	521.99
K00038	60.39
K00039	0
K00040	86.86
K00041	16.71
K00042	20.42
K00043	0
K00045	65.82
K00046	77.56
K00048	6.19
K00050	7.6
K00052	459.03
K00053	460.17
K00054	352.45
K00055	68.23
K00057	571.88
K00058	535.49
K00059	1304.67
K00060	3.72
K00064	10.97
K00065	30.94
K00066	1.2
K00067	160.48
K00068	19.58
K00073	8.29
K00074	185.24
K00075	573.71
K00076	0
K00077	739.21
K00078	3
K00082	7.23
K00086	2.4
K00087	14.43
K00088	757.1
K00090	16.52
K00091	18.12
K00094	1.82
K00096	14.67
K00097	80.01
K00098	10.2
K00099	217.78
K00100	115.62
K00101	217.05
K00102	0.41
K00104	17.8
K00105	56.47
K00106	0
K00108	292.4
K00111	471.6
K00112	66.57
K00113	66.57
K00114	6.21
K00116	691.81
K00117	32.5
K00118	6.51
K00121	62.53
K00122	236.14
K00123	423.06
K00124	80.51
K00126	4.91
K00127	72.73
K00128	881.01
K00130	355.94
K00131	65.53
K00132	2.05
K00133	568.75
K00134	948.24
K00135	422.66
K00137	1.65
K00138	113.64
K00140	128.17
K00141	5.51
K00145	403.51
K00146	71.07
K00147	252.5
K00148	2.69
K00150	1
K00151	9.16
K00153	75.03
K00154	28.18
K00156	101.28
K00158	308.25
K00161	467.75
K00162	468.75
K00163	190.44
K00164	433.88
K00166	262.45
K00167	262.45
K00169	6.67
K00170	0.67
K00171	0.67
K00172	6.67
K00174	297.72
K00175	297.72
K00176	17.53
K00177	20.53
K00179	18.25
K00180	21.25
K00184	11.58
K00185	7.08
K00194	4.67
K00196	7.69
K00197	4.67
K00198	15.08
K00200	4.7
K00201	4.7
K00202	4.7
K00208	393.99
K00209	9.21
K00210	11.64
K00214	0
K00215	557.85
K00216	10.06
K00217	123.31
K00218	0
K00219	32.03
K00220	9.7
K00221	0.25
K00226	374.26
K00227	0
K00228	29.27
K00230	21.62
K00231	357.42
K00232	5.67
K00239	414.49
K00240	412.76
K00241	411.54
K00242	37.91
K00243	377.47
K00244	186.4
K00245	61.82
K00246	61.82
K00247	61.82
K00248	32.54
K00249	63.93
K00252	301.62
K00253	20.45
K00254	197.78
K00255	25.98
K00256	0
K00257	310.4
K00259	597.9
K00260	282.84
K00261	24.69
K00262	240.6
K00263	30.27
K00265	365.74
K00266	399.84
K00270	0
K00271	0
K00273	0.99
K00274	18.23
K00275	107.85
K00276	8
K00278	83.01
K00280	0
K00281	64.41
K00282	268.88
K00283	268.88
K00284	8.45
K00285	131.08
K00286	531.53
K00287	572.28
K00288	0
K00290	34.44
K00293	0
K00294	270.4
K00297	228.04
K00298	6.61
K00299	307.51
K00301	63.67
K00302	8.9
K00303	7.45
K00304	6.6
K00305	6.6
K00311	37.41
K00313	10.41
K00314	0
K00315	0.01
K00316	1.02
K00317	0
K00318	265.54
K00320	0.01
K00322	13.45
K00324	143.09
K00325	114.08
K00326	0
K00329	0
K00330	53.31
K00331	52.31
K00332	37.86
