function.	GI_9
K00001	9.6308589
K00002	0.8789642
K00003	115.0305587
K00004	0.0825101
K00005	62.7940415
K00007	0
K00008	38.4751214
K00009	18.9309945
K00010	16.4719009
K00011	0
K00012	44.4602891
K00013	69.173238
K00014	82.9190389
K00015	0.1013065
K00016	117.863031
K00018	13.103104
K00019	6.0546711
K00020	34.6381263
K00021	0.015344
K00023	2.5961148
K00024	7.5141343
K00027	104.1634368
K00028	0.0397229
K00029	7.9468241
K00030	22.0045836
K00031	53.148416
K00032	0
K00033	22.7256598
K00034	4.5279149
K00035	0
K00036	8.6163968
K00038	1.886104
K00039	0
K00040	23.3795748
K00041	14.3661913
K00042	16.9690636
K00043	2.2530451
K00045	0
K00046	46.3008658
K00048	29.8242147
K00050	0.6826288
K00052	66.9490278
K00053	60.0299331
K00054	1.3636366
K00055	2.1252333
K00057	96.9387286
K00058	150.2108487
K00059	173.046318
K00060	0.2051313
K00064	0.1677191
K00065	12.1097703
K00066	0.0044137
K00067	69.7576595
K00068	23.823784
K00073	18.6261846
K00074	87.1802159
K00075	131.3841431
K00076	1.7579285
K00077	67.6176468
K00082	0
K00086	9.7654995
K00087	11.5694598
K00088	101.7062773
K00090	0.3396441
K00091	1.8085817
K00094	0.0044137
K00096	16.5594509
K00097	48.6230469
K00098	0.2437223
K00099	99.0096386
K00100	65.4141141
K00101	5.3663043
K00102	2.7250139
K00103	0.0044137
K00104	31.6373687
K00105	0.220683
K00108	1.6432939
K00111	70.4813585
K00112	0.1020464
K00113	0.1020464
K00114	0
K00116	0.9587352
K00117	0.2437223
K00118	0
K00119	0
K00121	8.3503796
K00122	2.1075148
K00123	26.5793855
K00124	4.5394934
K00125	0.007672
K00126	1.7060561
K00127	9.2324714
K00128	41.3590772
K00130	1.6200454
K00131	23.2205063
K00132	14.3244125
K00133	94.9531958
K00134	114.7903128
K00135	11.4016122
K00137	0
K00138	0
K00140	17.230835
K00141	0.2437223
K00145	63.9461661
K00146	0.0341539
K00147	76.5075446
K00148	0.0683079
K00150	1.7432702
K00151	1.06411
K00152	0
K00153	0
K00154	0.0088273
K00155	0.0044137
K00156	2.478001
K00158	1.2619049
K00161	19.0201328
K00162	19.0487177
K00163	4.874446
K00164	3.061652
K00166	1.0776963
K00167	1.0656107
K00169	51.8174721
K00170	38.4661983
K00171	41.4450152
K00172	49.955747
K00174	52.329573
K00175	51.463642
K00176	45.3412937
K00177	41.8298504
K00178	0.0044137
K00179	43.1788087
K00180	41.8709979
K00183	7.4545722
K00184	13.4325037
K00185	11.5061445
K00192	0.007672
K00193	0.007672
K00194	3.0625513
K00195	0.007672
K00196	36.5508232
K00197	3.0625513
K00198	66.2774591
K00200	0.0044137
K00201	0.0044137
K00202	0.0044137
K00203	0.0044137
K00207	0
K00208	27.8613026
K00209	0.007672
K00210	0.5855666
K00215	118.9536936
K00216	0.2780606
K00217	0.2437223
K00218	0
K00219	6.289473
K00220	0
K00221	0.0044137
K00224	0
K00226	105.210531
K00228	2.437223
K00230	9.8270613
K00231	1.8298435
K00232	0
K00239	13.4378234
K00240	11.929235
K00241	4.5597607
K00242	2.4646526
K00243	38.7343877
K00244	40.0073269
K00245	2.1296186
K00246	0.2864959
K00247	0.2437223
K00248	38.1816357
K00249	4.841424
K00252	3.8598105
K00253	1.7060561
K00255	0
K00256	0
K00257	12.2896945
K00258	0
K00259	5.4400415
K00260	11.9796868
K00261	13.7501686
K00262	84.6761153
K00263	0.6172893
K00265	8.3382337
K00266	136.4453974
K00270	0.0397229
K00271	0
K00274	18.8666084
K00275	3.2179784
K00276	0.0088273
K00278	73.0706934
K00280	0
K00281	3.803545
K00282	19.0650082
K00283	18.1827857
K00284	8.1329456
K00285	12.5745171
K00286	92.1256979
K00287	83.9094354
K00290	9.4907569
K00292	0
K00293	0
K00294	1.7819827
K00297	46.5278736
K00298	7.9283328
K00299	2.200386
K00301	0.0473949
K00302	2.8970272
K00303	4.6036793
K00304	1.7060561
K00305	1.7060561
K00309	0.8789642
K00311	2.6809453
K00313	13.4609839
K00315	0
K00316	0
K00317	0.1500644
K00318	0.8648697
K00320	0
K00322	0
K00324	9.2536602
K00325	5.7339527
K00329	1.0243871
K00330	5.11706
K00331	4.9395258
K00332	3.7442214
K00333	3.763979
K00334	71.4318835
K00335	81.5500965
K00336	93.070028
K00337	5.114957
K00338	5.0984577
K00339	5.0951994
K00340	4.2074079
K00341	5.1105434
K00342	5.1040268
K00343	5.1028714
K00344	3.5234974
K00346	1.366322
K00347	1.6076454
K00348	1.6076454
K00349	1.6076454
K00350	1.6076454
K00351	1.6076454
K00353	0
K00354	0
K00355	4.836009
K00356	2.1403395
K00358	1.3569926
K00359	5.8671668
K00362	4.8007227
K00363	0.8439801
K00364	3.8329946
K00365	0.0353093
K00366	14.4911839
K00367	0
K00368	0.1087843
K00370	1.0556514
K00371	1.0512377
K00372	4.8636402
K00373	1.0644787
K00374	1.067737
K00375	48.0674575
K00376	0.2941678
K00378	101.4335444
K00380	2.8741753
K00381	2.9545922
K00382	49.4930321
K00383	4.1516651
K00384	188.6095414
K00385	29.3462504
K00387	0
K00389	2.4775924
K00390	24.4432553
K00392	2.0169065
K00394	10.1075212
K00395	10.1107795
K00404	1.2262835
K00405	2.2011727
K00406	1.7137281
K00407	2.1935007
K00411	2.437223
K00412	2.4602389
K00413	2.437223
K00423	0
K00425	15.3194623
K00426	15.4363205
K00427	0.007672
K00428	1.0321497
K00432	57.8869923
K00433	14.200155
K00435	0.0044137
K00436	0
K00441	0.0351016
K00442	0
K00446	0.3097195
K00448	0.2437223
K00449	0.2437223
K00450	2.6953538
K00451	2.5872874
K00452	0.0397229
K00453	2.631424
K00455	1.0299561
K00456	0
K00457	2.5828738
K00459	5.2165851
K00462	0
K00466	0
K00467	0.013241
K00469	0
K00470	0.2437223
K00471	0
K00472	0.1765464
K00476	0
K00477	1.2186115
K00478	0
K00479	0.013241
K00480	3.4253532
K00481	0.0220683
K00483	0.3396441
K00484	0
K00485	0.2437223
K00486	0
K00491	0.5826031
K00492	0.0662049
K00493	0
K00495	0
K00496	0
K00499	0
K00500	0.1544781
K00505	0.0088273
K00507	2.437223
K00508	0
K00510	4.5316447
K00511	0
K00517	0.5659195
K00518	0
K00519	0.0044137
K00520	0.1245301
K00523	1.961864
K00525	63.9572153
K00526	30.3996855
K00527	108.4343463
K00528	103.9393191
K00529	3.6558345
K00530	0
K00531	4.4916923
K00532	14.9504894
K00533	2.421955
K00534	0
K00537	20.0457744
K00538	1.7579285
K00539	0
K00540	11.5685078
K00543	0
K00545	0
K00547	15.6736429
K00548	85.1549054
K00549	10.3028356
K00554	99.9407267
K00556	0.0662049
K00557	0.9716511
K00558	115.7100735
K00559	0.0044137
K00560	82.6970703
K00561	0.1565811
K00563	9.7047114
K00564	12.4898812
K00566	110.588918
K00567	85.7416718
K00568	2.4416367
K00569	2.437223
K00570	0.0044137
K00571	1.9048688
K00573	6.696061
K00574	32.3965164
K00575	141.9672672
K00584	0.0964774
K00588	0.8966189
K00590	0.0044137
K00595	12.7016135
K00596	0.0604418
K00598	2.6664751
K00599	114.9698194
K00600	70.0191471
K00602	104.29023
K00603	5.6600205
K00604	121.9245196
K00605	39.7410684
K00606	61.5147959
K00607	0
K00608	0
K00609	100.654812
K00610	31.2943268
K00611	88.6826766
K00612	1.1315139
K00613	6.7577548
K00614	0.0926869
K00615	305.9611532
K00616	89.1817004
K00619	0.4050182
K00620	63.722526
K00622	0
K00624	0
K00625	95.7806762
