function.	GI_5
K00001	38.76
K00002	0.12
K00003	34.28
K00004	9.28
K00005	18.92
K00007	0
K00008	6.93
K00009	0.71
K00010	8.99
K00011	0
K00012	31.12
K00013	37.54
K00014	50.72
K00015	0
K00016	33.18
K00018	16.07
K00019	26
K00020	102.16
K00021	0
K00023	35.99
K00024	24.34
K00025	0
K00027	14.22
K00028	0
K00029	43
K00030	0.88
K00031	53.52
K00032	0
K00033	14.52
K00034	0
K00036	14.5
K00038	0
K00039	0
K00040	15.41
K00041	0.6
K00042	24.16
K00043	0
K00045	0
K00046	32.3
K00048	4.55
K00050	1.5
K00052	49.53
K00053	37.53
K00054	6.67
K00055	0
K00057	29.56
K00058	105.55
K00059	217.47
K00060	2.17
K00064	0
K00065	9.54
K00066	0
K00067	31.54
K00068	10.1
K00073	4
K00074	70.22
K00075	37.18
K00076	1.61
K00077	64.74
K00078	0
K00082	0
K00086	1.48
K00087	0.41
K00088	39.21
K00090	0.67
K00091	0.67
K00094	0
K00096	26.58
K00097	40
K00098	6.67
K00099	37.85
K00100	22.05
K00101	46.66
K00102	19.33
K00103	0
K00104	23.64
K00105	0
K00108	51.32
K00111	26.05
K00112	0
K00113	0
K00114	0
K00116	0
K00117	2.67
K00118	0
K00121	19.47
K00122	0
K00123	35.35
K00124	34.66
K00125	0
K00126	19.33
K00127	34.66
K00128	96.89
K00130	4.52
K00131	1.27
K00132	0.41
K00133	37.87
K00134	38.06
K00135	90.66
K00137	0
K00138	12.66
K00140	51.32
K00141	0
K00145	44.87
K00146	0
K00147	36.14
K00148	0
K00150	0
K00151	12.66
K00153	0
K00154	0
K00156	24.67
K00158	0
K00161	24.99
K00162	24.99
K00163	38.66
K00164	21.5
K00166	3.34
K00167	3.34
K00169	0.12
K00170	0.12
K00171	0.12
K00172	0.12
K00174	16.69
K00175	16.71
K00176	13
K00177	13
K00179	25.4
K00180	12.74
K00183	0
K00184	0.67
K00185	0.67
K00194	0
K00196	1.63
K00197	0
K00198	12
K00200	0
K00201	0
K00202	0
K00208	48.66
K00209	0.92
K00210	2.17
K00215	38.2
K00216	0
K00217	0
K00218	0
K00219	0
K00220	0
K00221	0
K00226	5.67
K00227	0
K00228	19.33
K00230	2.38
K00231	0.67
K00232	0
K00239	23.67
K00240	36.33
K00241	23.67
K00242	19.33
K00243	7.65
K00244	6.73
K00245	4
K00246	4
K00247	4
K00248	7.36
K00249	101.31
K00252	19.33
K00253	19.33
K00254	22.17
K00256	0
K00257	77.23
K00259	2.17
K00260	0.21
K00261	27.66
K00262	29.19
K00263	0
K00265	22.17
K00266	47.1
K00273	0
K00274	1.09
K00275	22.17
K00276	0
K00278	21.1
K00280	0
K00281	23.67
K00282	8.54
K00283	8.54
K00284	4.74
K00285	100.65
K00286	50.53
K00287	37.64
K00288	0
K00290	12.28
K00293	0
K00294	1.5
K00297	37.08
K00298	0.21
K00299	15.33
K00301	0
K00302	0
K00303	37.32
K00304	0
K00305	0
K00311	19.33
K00313	0
K00316	0
K00317	0
K00318	1.5
K00322	0
K00324	39.66
K00325	19.58
K00330	21.36
K00331	21.36
K00332	20.69
K00333	20.69
K00334	24.42
K00335	21.56
K00336	22.25
K00337	21.36
K00338	21.36
K00339	21.36
K00340	20.67
K00341	21.36
K00342	21.36
K00343	21.36
K00344	65.99
K00346	3.67
K00347	3.67
K00348	3.67
K00349	3.67
K00350	3.67
K00351	3.67
K00354	0.71
K00355	8.7
K00356	27.66
K00362	31.68
K00363	19.33
K00364	0
K00365	0
K00366	2.06
K00367	0
K00368	0
K00370	2.67
K00371	2.67
K00372	7.3
K00373	2.67
K00374	2.67
K00375	110.51
K00376	0
K00380	16
K00381	20
K00382	91.45
K00383	15.33
K00384	58.54
K00385	1.67
K00387	0
K00389	1.34
K00390	20.12
K00392	0.67
K00394	1.21
K00395	1.21
K00404	31.99
K00405	19.33
K00406	19.33
K00407	19.33
K00411	19.33
K00412	19.33
K00413	19.33
K00425	58.33
K00426	58.33
K00427	0
K00428	12.68
K00432	27.15
K00433	5.26
K00435	0
K00436	0
K00437	0
K00441	0
K00446	0
K00448	4
K00449	4
K00450	26
K00451	19.33
K00452	0
K00453	15.33
K00455	0
K00456	0
K00457	19.33
K00459	49.34
K00466	0
K00467	0
K00469	0
K00471	0
K00472	4
K00476	0
K00477	19.33
K00479	0
K00480	38.66
K00481	0
K00483	0
K00484	0
K00486	0
K00491	0
K00493	0
K00496	0
K00499	0
K00500	0
K00505	0
K00507	19.33
K00508	0
K00510	0.11
K00517	4
K00520	0
K00523	35.99
K00525	34.54
K00526	21.06
K00527	22.05
K00528	58.07
K00529	33.32
K00531	0.67
K00532	1.02
K00533	3.75
K00534	0
K00537	48.64
K00543	0
K00547	0.68
K00548	37.99
K00549	33.43
K00554	37.85
K00556	1.5
K00557	0.67
K00558	14.67
K00560	37.49
K00561	1.5
K00563	9.24
K00564	0.12
K00566	40.9
K00567	44.02
K00568	23.33
K00569	19.33
K00570	0
K00571	4.45
K00573	48.49
K00574	20.88
K00575	54.99
K00584	0
K00588	0
K00590	0
K00595	4.54
K00596	4
K00598	13
K00600	37.85
K00602	39.73
K00603	2.17
K00604	50.71
K00605	32.21
K00606	29.21
K00608	0
K00609	50.51
K00610	9.04
K00611	16.89
K00612	6.67
K00613	0
K00615	104.96
K00616	26.5
K00619	0
K00620	33.86
K00621	0
K00625	35.85
K00626	106.19
K00627	51.04
K00631	0
K00632	34.66
K00633	2.51
K00634	5.4
K00635	0
K00638	0.21
K00639	9.35
K00640	39.32
K00641	21.5
K00643	0
K00645	42.35
K00646	0
K00647	6.67
K00648	58.29
K00651	17.16
K00652	25.01
K00655	62.7
K00656	15.78
K00657	4.35
K00658	22.17
K00661	11.6
K00662	0.52
K00663	0
K00666	50.87
K00672	0
K00673	0
K00674	22.56
K00675	0
K00677	24.34
K00680	1.42
K00681	104.65
K00683	0.67
K00684	21.21
K00685	19.33
K00686	9.21
K00687	0
K00688	34.01
K00689	0
K00690	13.45
K00691	1.34
K00692	2.68
K00694	0
K00696	0
K00697	4
K00700	37.83
K00702	20.9
K00703	49.42
K00705	27.54
K00709	0
K00712	0
K00720	0
K00721	15.55
K00728	0
K00737	0
K00745	0
K00748	23.67
K00752	0.5
K00754	1.22
K00756	13.89
K00757	4.93
K00758	0.67
K00759	36.56
K00760	19.58
K00761	37.18
K00762	50.06
K00763	35.68
K00764	47.31
K00765	37.54
K00766	34.91
K00767	36.98
K00768	8.23
K00769	1.5
K00772	0
K00773	37.85
K00782	0.67
K00783	37.85
K00784	19.14
K00785	0
K00786	0.83
K00788	34.05
K00789	47.66
K00790	73.51
K00791	40.02
K00793	29.52
K00794	29.52
K00795	19.33
K00796	33.9
K00797	25.52
K00798	23.67
K00799	189.3
K00800	37.85
K00801	0.67
K00803	0
K00805	21.49
K00806	40.92
K00808	0
K00809	0
K00812	38.45
K00813	0
K00817	86.56
K00818	25.33
K00819	1.5
K00820	35.68
K00821	34.36
K00822	31.99
K00823	19.83
K00824	20.54
K00826	54.83
K00830	19.33
K00831	35.99
K00832	19.33
K00833	25.13
K00835	0.67
K00836	19.33
K00839	0
K00840	0
K00841	0
K00842	0
K00844	0.79
K00845	30.75
K00847	9.3
K00848	10.63
K00849	18.11
K00850	51.15
K00851	4
K00852	2.68
K00853	10.03
K00854	18.62
K00855	0
K00856	19.45
K00857	7.65
K00858	37.85
K00859	37.85
K00860	9.67
K00862	0
K00863	0.52
K00864	50.17
K00865	33.26
K00867	1.5
K00868	17.31
K00869	0
K00870	0
K00872	1.87
K00873	40.89
K00874	42.77
K00876	22.66
K00878	16.56
K00879	0.78
K00880	0
K00881	0
K00882	14.06
K00883	4
K00884	0
K00885	0
K00886	4
K00887	8.45
K00891	45.72
K00892	0
K00895	2.17
K00897	0
K00899	0.33
K00901	31.68
K00906	15.33
K00912	23.67
K00917	0.72
K00918	0
K00919	37.85
K00924	0.7
K00925	38.62
K00926	4.29
K00927	37.73
K00928	41.02
K00929	5.67
K00930	38.2
K00931	36.14
K00932	0
K00936	25.75
K00937	29.7
K00938	0
K00939	39.35
K00940	25.19
K00941	64.22
K00942	38.52
K00943	31.27
K00945	41.6
K00946	25.17
K00947	0
K00948	48.19
K00949	16.35
K00950	34.5
K00951	53.51
K00954	37.85
K00955	9.12
K00956	21.21
K00957	31
K00958	0
K00962	37.85
K00963	48.84
K00965	14.56
K00966	9.67
K00968	0.92
K00969	38.1
K00970	24.34
K00971	21.13
K00972	3.75
K00973	29.49
K00974	33.51
K00975	27.94
K00978	9.12
K00979	22.17
K00980	0.25
K00981	46.85
K00982	19.33
K00983	0.87
K00984	0
K00986	6.25
K00988	0
K00989	29.43
K00990	19.33
K00991	46.43
K00992	19.33
K00993	0
K00995	35.88
K00996	0
K00997	30.43
K00998	0
K01000	38.1
K01002	0
K01003	0
K01004	0
K01006	18.4
K01007	19.88
K01008	21.04
K01011	30.74
K01012	45.1
K01023	0
K01026	1.67
K01027	0
K01028	34.66
K01029	34.88
K01031	41.33
K01032	41.33
K01034	1.34
K01035	1.34
K01039	19.33
K01040	19.33
K01042	16.98
K01046	1.73
K01048	5.34
K01051	8.45
K01053	43.5
K01055	34.66
K01056	37.85
K01057	6.17
K01058	0
K01060	9.56
K01061	53.99
K01066	18.92
K01067	0
K01069	19.33
K01070	19.33
K01071	0.02
K01073	0
K01075	15.33
K01077	16.84
K01078	0
K01079	25.5
K01081	22.37
K01082	10.5
K01083	0
K01085	0
K01086	0
K01087	4
K01089	2.17
K01090	14.18
K01091	111.11
K01092	44.62
K01093	0
K01095	19.33
K01096	0
K01101	0
K01104	46.65
K01113	4
K01114	38.42
K01117	0
K01118	40.57
K01119	3.26
K01120	0
K01121	0
K01126	32.56
K01129	36.47
K01130	14.01
K01133	8.67
K01134	0.67
K01135	0.67
K01136	0
K01137	0
K01138	0.11
K01139	2.67
K01141	0
K01142	54.18
K01144	3.67
K01146	0
K01147	19.33
K01150	0
K01151	18.27
K01153	42.55
K01154	48.08
K01155	0.67
K01156	9.22
K01158	0
K01159	32.37
K01160	0
K01163	11.86
K01165	0
K01166	0
K01167	0
K01169	0
K01173	17.52
K01174	1.46
K01175	0
K01176	3.6
K01178	0
K01179	36.47
K01181	19.19
K01182	9.88
K01183	1.83
K01184	0
K01185	4.63
K01186	7.51
K01187	24.41
K01188	0
K01190	62.54
K01191	9.53
K01192	3.67
K01193	6.07
K01194	0
K01195	8.44
K01197	3.39
K01198	8.74
K01200	3.97
