KO	oral_18
K00001	32.14
K00002	1.01
K00003	176.99
K00004	14.94
K00005	105.2
K00007	2
K00008	46.56
K00009	21.14
K00010	14.6
K00011	0
K00012	111
K00013	111.27
K00014	230.88
K00015	0
K00016	164.93
K00018	73.51
K00019	15.84
K00020	63.88
K00021	0
K00023	5
K00024	111.23
K00025	0
K00027	88.45
K00028	7.5
K00029	112.91
K00030	7.81
K00031	150.33
K00032	0
K00033	120.57
K00034	10.72
K00036	114.92
K00038	0
K00039	0
K00040	5.98
K00041	2.74
K00042	6.81
K00043	1
K00045	3.36
K00046	26.59
K00048	11.37
K00050	2
K00052	161.92
K00053	167.69
K00054	107.45
K00055	1
K00057	252.27
K00058	241.1
K00059	468.74
K00060	3.25
K00064	3.67
K00065	4.11
K00066	0
K00067	142.14
K00068	19.52
K00073	10
K00074	67.14
K00075	247.55
K00076	15.62
K00077	145.3
K00078	0
K00082	0
K00086	5.97
K00087	0.03
K00088	258.05
K00090	2
K00091	10.5
K00094	1
K00096	6.21
K00097	132.47
K00098	5.79
K00099	141.1
K00100	68.91
K00101	27.31
K00102	5
K00103	0
K00104	76.48
K00105	77.38
K00108	7
K00111	73.15
K00112	21.92
K00113	21.92
K00114	1
K00116	87.05
K00117	1.53
K00118	0.47
K00121	30.36
K00122	1
K00123	171.78
K00124	83.01
K00125	0
K00126	2
K00127	84.01
K00128	82.51
K00130	35.91
K00131	71.75
K00132	0
K00133	220.37
K00134	306.27
K00135	68.83
K00137	1
K00138	9.33
K00140	10.25
K00141	4
K00145	117.55
K00146	7
K00147	187.23
K00148	2
K00150	2
K00151	6
K00153	0.79
K00154	2
K00156	12.26
K00158	24.81
K00161	111.89
K00162	111.89
K00163	32.34
K00164	43.15
K00166	2
K00167	2
K00169	0.93
K00170	0.79
K00171	0
K00172	0.93
K00174	90.12
K00175	90.12
K00176	78.52
K00177	78.52
K00179	8.79
K00180	8.79
K00183	0
K00184	14.35
K00185	14.35
K00194	2.81
K00196	0.81
K00197	2.81
K00198	8.12
K00200	0
K00201	0
K00202	0
K00208	100.49
K00209	53.69
K00210	5.21
K00215	219.92
K00216	0
K00217	1
K00218	2
K00219	6.36
K00220	0
K00221	0
K00226	91.9
K00227	0
K00228	8.62
K00230	10.95
K00231	27.83
K00232	1.96
K00239	100.49
K00240	105.34
K00241	103.11
K00242	7.21
K00243	113.72
K00244	186.27
K00245	78.01
K00246	78.01
K00247	15.67
K00248	25.59
K00249	11.03
K00252	34.45
K00253	2
K00254	104.37
K00256	1
K00257	36.7
K00259	49.03
K00260	42.27
K00261	42.75
K00262	145.87
K00263	3.15
K00265	68.91
K00266	125.68
K00273	0
K00274	2.49
K00275	43.32
K00276	0
K00278	32.32
K00280	1
K00281	32.18
K00282	44.28
K00283	44.28
K00284	6.83
K00285	25.38
K00286	202.32
K00287	155.33
K00288	0.47
K00290	124.17
K00293	0
K00294	19
K00297	157.26
K00298	6.11
K00299	14.55
K00301	2
K00302	2
K00303	3.14
K00304	2
K00305	2
K00311	13.21
K00313	6.54
K00316	6.66
K00317	0
K00318	15.66
K00322	0
K00324	100.43
K00325	63.78
K00330	89.66
K00331	89.87
K00332	79.55
K00333	79.55
K00334	46.73
K00335	96.59
K00336	124.4
K00337	88.87
K00338	89.87
K00339	88.87
K00340	88.87
K00341	88.87
K00342	89.87
K00343	88.87
K00344	13.78
K00346	35.78
K00347	38.39
K00348	37.92
K00349	37.39
K00350	37.39
K00351	37.39
K00354	17.79
K00355	56.26
K00356	6.75
K00362	6.47
K00363	6.86
K00364	91.71
K00365	0
K00366	4.95
K00367	3.33
K00368	12.99
K00370	8.79
K00371	8.79
K00372	1.72
K00373	8.79
K00374	8.79
K00375	53.97
K00376	16.7
K00380	29.02
K00381	14.02
K00382	223.41
K00383	126.05
K00384	453.42
K00385	6.43
K00387	0
K00389	3.65
K00390	17.49
K00392	11.37
K00394	1
K00395	1
K00404	67.95
K00405	59.32
K00406	84.41
K00407	65.58
K00411	69.55
K00412	69.55
K00413	69.55
K00425	114.57
K00426	113.57
K00427	7.13
K00428	177.01
K00432	140.82
K00433	11.89
K00435	0.68
K00436	0.79
K00437	0
K00441	0
K00446	3
K00448	2
