function.	oral_13
K00001	25.9061127
K00002	0.412088
K00003	87.4886467
K00004	2.3383406
K00005	34.9818898
K00007	0
K00008	0.9644492
K00009	11.8241614
K00010	3.8648615
K00011	0
K00012	61.8197109
K00013	65.9227946
K00014	109.5854769
K00015	0.0859094
K00016	94.6128931
K00018	8.4810319
K00019	10.1990163
K00020	2.3589593
K00021	0.1667522
K00023	0
K00024	59.4413939
K00027	23.8182126
K00028	2.8836138
K00029	50.0016312
K00030	0.6000639
K00031	66.3724879
K00032	0
K00033	30.7840615
K00034	0.7684754
K00035	0
K00036	31.1938087
K00038	0.9974759
K00039	0
K00040	2.8206396
K00041	1.0164405
K00042	0.5800985
K00043	0.03428
K00045	0.6469408
K00046	29.3900681
K00048	0.5064236
K00050	0.1742255
K00052	77.1143676
K00053	82.8079573
K00054	38.1206059
K00055	0.7690688
K00057	96.2155322
K00058	80.671952
K00059	165.0429466
K00060	1.545929
K00064	0
K00065	0.9414075
K00066	0
K00067	40.8251702
K00068	4.5764642
K00073	0.9042394
K00074	7.4981254
K00075	100.5098754
K00076	50.6041914
K00077	32.654936
K00082	0
K00086	0.2900869
K00087	0.0336941
K00088	109.022934
K00090	0.2460084
K00091	1.1936769
K00094	0
K00096	0.5650625
K00097	48.082983
K00098	2.6870826
K00099	61.134562
K00100	19.8019138
K00101	6.9079613
K00102	0.2855581
K00103	0
K00104	55.4161036
K00105	15.3619662
K00108	3.2440121
K00111	10.425626
K00112	3.4244455
K00113	3.3402237
K00114	0.0010673
K00116	55.4557234
K00117	0.1152713
K00118	0
K00119	0
K00121	6.1120941
K00122	0.8086489
K00123	62.8043771
K00124	55.2128375
K00125	0.001465
K00126	0
K00127	50.9867701
K00128	4.1798737
K00130	3.6636248
K00131	22.7071995
K00132	0.4407433
K00133	88.0470844
K00134	107.085009
K00135	33.24345
K00137	0
K00138	0
K00140	3.4686058
K00141	0
K00145	60.2853999
K00146	0.2471984
K00147	88.9796416
K00148	0.0848411
K00150	0.0815145
K00151	0.6079559
K00152	0
K00153	1.7471399
K00154	0.4300617
K00155	0
K00156	4.7027254
K00158	15.6003513
K00161	40.6552771
K00162	41.0023133
K00163	7.5993682
K00164	5.1656485
K00166	0.7239574
K00167	0.5090271
K00169	0.5819235
K00170	0.3567384
K00171	0.1959278
K00172	0.5789936
K00174	52.5299215
K00175	52.6054715
K00176	51.0578054
K00177	51.1458703
K00178	0
K00179	0.9326765
K00180	0.9297465
K00183	0.6535808
K00184	3.6444403
K00185	2.747781
K00192	0.001465
K00193	0.001465
K00194	0.6620776
K00195	0.001465
K00196	0.7818485
K00197	0.6620776
K00198	8.637574
K00200	0
K00201	0
K00202	0
K00203	0
K00207	0
K00208	52.1131459
K00209	0.161564
K00210	0.189747
K00215	88.2717978
K00216	0.403069
K00217	0.4095557
K00218	0
K00219	1.1689275
K00220	0
K00221	0
K00224	28.0613609
K00226	124.0103333
K00228	0.2572258
K00230	1.0259049
K00231	5.7022971
K00232	1.0476154
K00239	47.9271903
K00240	47.6905855
K00241	21.8678988
K00242	1.6751175
K00243	39.1019232
K00244	68.8357228
K00245	51.2283056
K00246	51.4411013
K00247	1.2907541
K00248	1.8690026
K00249	3.2675189
K00252	3.5592175
K00253	0.1508489
K00255	0
K00256	0
K00257	6.4499721
K00258	0
K00259	16.0227771
K00260	1.7468027
K00261	4.0295708
K00262	51.6163122
K00263	0.6391312
K00265	25.5208266
K00266	48.8051953
K00270	0
K00271	0.0754245
K00274	0.7905001
K00275	3.8500282
K00276	0.2262734
K00278	6.4868098
K00280	0
K00281	4.537105
K00282	1.6051929
K00283	1.602263
K00284	0.4498637
K00285	8.1394338
K00286	89.9731055
K00287	48.4998054
K00290	41.0802434
K00292	0
K00293	0
K00294	2.3215828
K00297	63.068772
K00298	0.4637131
K00299	4.6970099
K00301	0.637294
K00302	0.0087898
K00303	0.1971417
K00304	0
K00305	0
K00309	0.001465
K00311	0.8538616
K00313	3.5835609
K00315	0
K00316	6.235858
K00317	5.7407579
K00318	2.0963977
K00320	0.0754245
K00322	0.1508489
K00324	5.1821419
K00325	4.6585236
K00329	0.2178603
K00330	54.7165397
K00331	54.3095323
K00332	47.9433767
K00333	47.9861535
K00334	52.5384865
K00335	58.6561153
K00336	55.4638152
K00337	54.7136098
K00338	54.5612959
K00339	51.441902
K00340	48.3979324
K00341	51.4402068
K00342	54.4972144
K00343	54.7121448
K00344	2.2292054
K00346	3.3514067
K00347	3.4343861
K00348	3.4343861
K00349	3.4343861
K00350	3.4343861
K00351	3.4343861
K00353	0
K00354	3.117929
K00355	8.1293942
K00356	6.065962
K00358	27.1891733
K00359	11.767294
K00362	0.9661886
K00363	0.7221055
K00364	32.2425774
K00365	0
K00366	0.1140156
K00367	0.0292448
K00368	3.829382
K00370	3.1285032
K00371	3.1285032
K00372	0.0355022
K00373	3.1285032
K00374	3.1034984
K00375	9.0908051
K00376	10.0800102
K00378	2.3995815
K00380	8.6446369
K00381	0.8538616
K00382	56.9252377
K00383	43.9925234
K00384	192.5270691
K00385	0.2852693
K00387	0
K00389	1.2355039
K00390	4.5236512
K00392	1.8692076
K00394	0.4299026
K00395	0.4313676
K00404	47.9085974
K00405	47.9096647
K00406	51.2519458
K00407	47.2385588
K00411	50.8026305
K00412	50.8070254
K00413	50.8026305
K00423	0
K00425	59.1292634
K00426	58.6452076
K00427	0.001465
K00428	85.793104
K00432	38.5158639
K00433	2.6382881
K00435	0.0264697
K00436	0
K00441	0.091246
K00442	0
K00446	0.1688878
K00448	0.9440135
K00449	1.0259247
K00450	0.6023935
K00451	0.8794775
K00452	0.2561585
K00453	0.2561585
K00455	0.2163953
K00456	0
K00457	0.9938221
K00459	55.3660563
K00462	0
K00466	0
K00467	0.3056825
K00469	0.0281774
K00470	0
K00471	0
K00472	0
K00476	0
K00477	0.0010673
K00478	0.0754245
K00479	0.3081845
K00480	0.8191114
K00481	0.4914668
K00483	0.7449353
K00484	1.104112
K00485	0.6427791
K00486	0.2561585
K00491	0
K00492	0.2457334
K00493	0
K00495	0
K00496	0.9579136
K00499	0
K00500	0.4741778
