function.	GI_1
K00001	80.04
K00002	0
K00003	53.15
K00004	6.29
K00005	40.9
K00007	0.2
K00008	12.67
K00009	1.16
K00010	8.63
K00011	0
K00012	80.41
K00013	58.35
K00014	62.91
K00015	0.2
K00016	40.1
K00018	12.33
K00019	57.92
K00020	190.76
K00021	0
K00023	71.52
K00024	55.24
K00025	0
K00027	12.66
K00028	0
K00029	94.37
K00030	5.12
K00031	83.34
K00032	0
K00033	10.88
K00034	0.2
K00036	10.69
K00038	0
K00039	0
K00040	20.63
K00041	8.47
K00042	45.93
K00043	0.53
K00045	0
K00046	82.52
K00048	7.13
K00050	4.25
K00052	60.21
K00053	58.09
K00054	14.14
K00055	0.94
K00057	58.97
K00058	196.32
K00059	425.12
K00060	2.65
K00064	0
K00065	8.61
K00066	0.14
K00067	65.61
K00068	3.34
K00073	0.61
K00074	166.76
K00075	58.18
K00076	0.28
K00077	117.08
K00078	0
K00082	0
K00086	2.29
K00087	1.05
K00088	60.96
K00090	1.14
K00091	0.86
K00094	0.28
K00096	6.15
K00097	100.27
K00098	14.14
K00099	58.71
K00100	29.14
K00101	86.79
K00102	43.26
K00103	0
K00104	56.94
K00105	0
K00108	116.05
K00111	56.84
K00112	0.67
K00113	0.67
K00114	0
K00116	0.28
K00117	13.95
K00118	0
K00121	43.46
K00122	0.93
K00123	97.97
K00124	85.67
K00125	0
K00126	42.86
K00127	85.67
K00128	205.01
K00130	2.32
K00131	3.14
K00132	3.99
K00133	60.27
K00134	60.53
K00135	174.63
K00137	0.28
K00138	29.14
K00140	114.45
K00141	0.2
K00145	73.28
K00146	0.68
K00147	58.14
K00148	0.2
K00150	0
K00151	29.14
K00153	0
K00154	0.2
K00156	48.42
K00158	0
K00161	36.4
K00162	36.4
K00163	85.8
K00164	45.31
K00166	14.67
K00167	14.67
K00169	6.16
K00170	6.16
K00171	6.16
K00172	6.16
K00174	22.28
K00175	22.3
K00176	13.94
K00177	13.94
K00179	40.01
K00180	12.21
K00183	0
K00184	1
K00185	1
K00194	3.46
K00196	6.55
K00197	3.86
K00198	18.07
K00200	0
K00201	0
K00202	0
K00208	80.11
K00209	1.96
K00210	6.09
K00215	63.71
K00216	0.28
K00217	0.33
K00218	0
K00219	1.01
K00220	0
K00221	0
K00226	9.48
