function.	air_12
K00001	231.75
K00002	0
K00003	260.53
K00004	33.4
K00005	32.94
K00007	0.5
K00008	166.05
K00009	94.26
K00010	440.1
K00011	0
K00012	157.98
K00013	230.47
K00014	527.46
K00015	13.94
K00016	377.02
K00018	8.84
K00019	116.49
K00020	81.15
K00021	0
K00023	3.51
K00024	198.69
K00025	0
K00027	221.78
K00028	0.79
K00029	33.8
K00030	1
K00031	255.55
K00032	0.2
K00033	272.44
K00034	12.53
K00035	2
K00036	273.14
K00038	10.79
K00039	1.01
K00040	17.5
K00041	7
K00042	6.2
K00043	0
K00045	107.82
K00046	36.91
K00048	1.42
K00050	4.7
K00052	264.04
K00053	263.19
K00054	109.18
K00055	10.45
K00057	279.24
K00058	282.54
K00059	682.22
K00060	1
K00064	3
K00065	9.51
K00066	1.21
K00067	29.57
K00068	0.58
K00073	0.01
K00074	48.4
K00075	278.69
K00076	0
K00077	366.1
K00078	0
K00082	20.13
K00086	0
K00087	0
K00088	554.65
K00090	2.7
K00091	5.5
K00094	2.17
K00096	4.06
K00097	16.64
K00098	26.4
K00099	170.01
K00100	30.22
K00101	142.55
K00102	8.5
K00104	7.7
K00105	5.16
K00106	0
K00108	139.56
K00111	267.97
K00112	16.01
K00113	16.01
K00114	8.97
K00116	367.12
K00117	5.88
K00118	0
K00121	16.08
K00122	91.45
K00123	155.91
K00124	26.28
K00126	2.7
K00127	19.64
K00128	334.34
K00130	242.24
K00131	5.28
K00132	0
K00133	280.69
K00134	519.87
K00135	430.13
K00137	0.4
K00138	136.6
K00140	217.32
K00141	0.51
K00145	249.42
K00146	13.35
K00147	167.41
K00148	0.2
K00150	0
K00151	8
K00153	114.17
K00154	4.7
K00156	143.07
K00158	109.93
K00161	151.26
K00162	151.26
K00163	167.34
K00164	235.57
K00166	100.48
K00167	100.48
K00169	2.44
K00170	1.94
K00171	1.94
K00172	3.44
K00174	117.61
K00175	117.61
K00176	5.67
K00177	5.67
K00179	6.68
K00180	6.68
K00184	3.49
K00185	3.49
K00194	0
K00196	0.44
K00197	0
K00198	0.5
K00200	0
K00201	0
K00202	0
K00208	139.52
K00209	0
K00210	1.17
K00214	0
K00215	277.98
K00216	1.55
K00217	23.9
K00218	0
K00219	7.25
K00220	3.5
K00221	2.97
K00226	116.6
K00227	0
K00228	5.7
K00230	0.87
K00231	247.15
K00232	6.05
K00239	256.35
K00240	258.33
K00241	256.35
K00242	4.2
K00243	113.05
K00244	40.09
K00245	15.43
K00246	15.43
K00247	15.43
K00248	8.69
K00249	32.34
K00252	196.75
K00253	4.2
K00254	165.06
K00255	2
K00256	1.49
K00257	114.01
K00259	237.77
K00260	102.6
K00261	4.49
K00262	165.88
K00263	9.2
K00265	225.14
K00266	231.07
K00270	0
K00271	0
K00273	0
K00274	10.19
K00275	22.8
K00276	2.99
K00278	21.49
K00280	0
K00281	38.52
K00282	106.77
K00283	105.77
K00284	1.06
K00285	125.54
K00286	268.05
K00287	277.69
K00288	0
K00290	8.83
K00293	0
K00294	103.27
K00297	165.41
K00298	0
K00299	236.1
K00301	11.64
K00302	1.19
K00303	4.39
K00304	0.2
K00305	0.2
K00311	4.2
K00313	5
K00314	0
K00315	0
K00316	0
K00317	0
K00318	103.27
K00320	0
K00322	1.22
K00324	30.33
K00325	25.18
K00326	0
K00329	0
K00330	13.37
K00331	13.37
K00332	8
K00333	9.98
K00334	9.7
K00335	9.7
K00336	9.7
K00337	13.37
K00338	13.37
K00339	13.37
