function.	oral_15
K00001	4.22
K00002	1.85
K00003	198.59
K00004	99.66
K00005	41.22
K00007	0
K00008	6.18
K00009	9.84
K00010	9.33
K00011	0
K00012	46.73
K00013	170.35
K00014	231.71
K00015	0
K00016	83.44
K00018	130.92
K00019	5.32
K00020	112.86
K00021	0
K00023	0
K00024	87.11
K00025	3.75
K00027	115.01
K00028	1
K00029	180.25
K00030	0.96
K00031	212.92
K00032	0
K00033	157.22
K00034	1.7
K00036	155.48
K00038	0
K00039	0
K00040	0.7
K00041	1.23
K00042	2.2
K00043	0
K00045	2.9
K00046	6.85
K00048	5.23
K00050	4
K00052	209.49
K00053	208.56
K00054	65.67
K00055	0
K00057	232.9
K00058	152.09
K00059	350.62
K00060	1.01
K00064	6.33
K00065	4.73
K00066	0
K00067	175.7
K00068	7.33
K00073	6.08
K00074	19.79
K00075	231.9
K00076	14.29
K00077	59.04
K00078	0
K00082	0.33
K00086	0
K00087	0.03
K00088	236.77
K00090	0
K00091	2
K00094	0.33
K00096	0
K00097	172.42
K00098	1
K00099	167.48
K00100	19.63
K00101	120.17
K00102	0
K00103	0
K00104	48.93
K00105	38.9
K00108	0.33
K00111	26.56
K00112	6.22
K00113	6.22
K00114	0
K00116	153.32
K00117	4.22
K00118	0.47
K00121	107.58
K00122	0
K00123	127.21
K00124	61.09
K00125	0
K00126	0
K00127	60.87
K00128	22.71
K00130	2.41
K00131	49.4
K00132	0
K00133	230.62
K00134	342.86
K00135	132.14
K00137	0
K00138	2.95
K00140	6.21
K00141	0
K00145	169.45
K00146	0
K00147	207.93
K00148	0
K00150	1
K00151	1.04
K00153	0.17
K00154	0
K00156	13.83
K00158	1.92
K00161	67.09
K00162	67.09
K00163	113.38
K00164	135.68
K00166	0.25
K00167	0.25
K00169	0.82
K00170	0.82
K00171	0.82
K00172	0.82
K00174	55.07
K00175	55.07
K00176	52.58
K00177	52.58
K00179	6.32
K00180	5.7
K00183	0
K00184	23.21
K00185	23.7
K00194	2.58
K00196	1.58
K00197	2.58
K00198	6.55
K00200	0
K00201	0
K00202	0
K00208	174.8
K00209	13.11
K00210	97.5
K00215	233.77
K00216	0
K00217	0
