function.	oral_7
K00001	35.99
K00002	0
K00003	179.71
K00004	6.88
K00005	180.41
K00007	0
K00008	5.28
K00009	18.49
K00010	9.65
K00011	0
K00012	51.94
K00013	55.86
K00014	250.5
K00015	0.2
K00016	236.88
K00018	23.86
K00019	8.33
K00020	45.56
K00021	0
K00023	0.2
K00024	54.34
K00025	0
K00027	62.92
K00028	6.89
K00029	55.12
K00030	0.25
K00031	122.05
K00032	0
K00033	217.39
K00034	2.74
K00036	243.49
K00038	0
K00039	0
K00040	1.01
K00041	0.5
K00042	0.24
K00043	0
K00045	1
K00046	29.47
K00048	8.68
K00050	0.2
K00052	173.68
K00053	175.41
K00054	181.17
K00055	0
K00057	236.34
K00058	218.61
K00059	432.42
K00060	0
K00064	0.5
K00065	0.17
K00066	0
K00067	154.06
K00068	11.25
K00073	35.05
K00074	15.03
K00075	234.27
K00076	0
K00077	170.01
K00078	0
K00082	0
K00086	1.74
K00087	0
K00088	237.6
K00090	0.17
K00091	0.83
K00094	2.16
K00096	0
K00097	11.73
K00098	1.21
K00099	53.27
K00100	13.8
K00101	52.43
K00102	0
K00103	0
K00104	1.64
K00105	141.21
K00108	0.17
K00111	57.2
K00112	42.34
K00113	42.34
K00114	0.2
K00116	30.36
K00117	0
K00118	0
K00121	49.91
K00122	0.2
K00123	98.81
K00124	47.43
K00125	0
K00126	0.2
K00127	47.6
K00128	8.49
K00130	1.17
K00131	132.86
K00132	0.6
K00133	232.47
K00134	250.14
K00135	33.14
K00137	0
K00138	0.57
K00140	7.98
K00141	0
K00145	45.24
K00146	0
K00147	231.2
K00148	0
K00150	0
K00151	1.38
K00153	1
K00154	0
K00156	0.65
K00158	22.98
K00161	184.33
K00162	184.53
K00163	55.39
K00164	54.83
K00166	0.42
K00167	0.42
K00169	0
K00170	0
K00171	0
K00172	0
K00174	0.67
K00175	0.67
K00176	0.5
K00177	0.5
K00179	0.25
K00180	0.25
K00183	0
K00184	2.13
K00185	2.05
K00194	0.25
K00196	0.25
K00197	0.25
K00198	0.5
K00200	0.2
K00201	0.2
K00202	0.2
K00208	55.69
K00209	34.72
K00210	1.2
K00215	224.28
K00216	1
K00217	0
K00218	0
K00219	0.33
K00220	0.2
K00221	0
K00226	150.86
K00227	0
K00228	1.18
K00230	36.23
K00231	36.41
K00232	0
K00239	6.3
K00240	6.3
K00241	6.3
K00242	2.2
K00243	181.09
K00244	175.19
K00245	49.53
K00246	49.53
K00247	49.53
K00248	1.03
K00249	0.53
K00252	5.45
K00253	0
K00254	54.66
K00256	0
K00257	1.98
K00259	62.04
K00260	1.59
K00261	1.25
K00262	228.73
K00263	0.32
K00265	3.33
K00266	4.24
K00273	0
K00274	0.2
K00275	50.79
K00276	0
K00278	2.48
K00280	0
K00281	5.13
K00282	34.49
K00283	34.49
K00284	0.66
K00285	2.02
K00286	237.51
K00287	234.15
K00288	0
K00290	110.68
K00293	0
K00294	2.1
K00297	177.66
K00298	5.42
K00299	4.2
K00301	0
K00302	0.4
K00303	0.4
K00304	0.4
K00305	0.4
K00311	1.2
K00313	0
K00316	0
K00317	0
K00318	2.1
K00322	0
K00324	50.93
K00325	50.73
K00330	3.22
K00331	3.22
K00332	3.22
K00333	3.22
K00334	3.47
K00335	3.47
K00336	3.47
K00337	3.22
K00338	3.22
K00339	3.22
K00340	3.22
K00341	3.22
K00342	3.22
K00343	3.22
K00344	5.37
K00346	51.44
K00347	52.77
K00348	51.44
K00349	51.44
K00350	51.44
K00351	51.44
K00354	1.74
K00355	119.71
K00356	1.8
K00362	1.7
K00363	1.5
K00364	176.75
K00365	0
K00366	0.45
K00367	0.33
K00368	5.93
K00370	2.17
K00371	2.17
K00372	0.57
K00373	2.17
K00374	2.17
K00375	36.58
K00376	0.62
K00380	9.6
K00381	2.14
K00382	246.42
K00383	265.01
K00384	420.27
K00385	0.25
K00387	0.2
K00389	0
K00390	4.05
K00392	1.66
K00394	0
K00395	0
K00404	1.2
K00405	1.2
K00406	2.8
K00407	1
K00411	1.2
K00412	1.2
K00413	1
K00425	67.86
K00426	66.53
K00427	0
K00428	35.85
K00432	170.27
K00433	11.38
K00435	0
K00436	0
K00437	0
K00441	0
K00446	0
K00448	0
K00449	0
K00450	0
K00451	1.68
K00452	0.98
K00453	0.98
K00455	1.38
K00456	0
K00457	1.68
K00459	2.02
K00466	0
K00467	0
K00469	0
K00471	0
K00472	0
K00476	2.5
K00477	0
K00479	0.2
K00480	0.2
K00481	0
K00483	3.18
K00484	35.51
K00486	0.98
K00491	0.17
K00493	0
K00496	0
K00499	0
K00500	1.18
K00505	0
K00507	0.53
K00508	0.98
K00510	1
K00517	1.73
K00520	1.87
K00523	1
K00525	285.36
K00526	250.83
K00527	244.67
K00528	5.11
K00529	0.2
K00531	0
K00532	0.25
K00533	0
K00534	0
K00537	342.02
K00543	0
K00547	127.94
K00548	22.12
K00549	263
K00554	234.27
K00556	2.39
K00557	52.33
K00558	433.67
K00560	243.23
K00561	103.9
K00563	171.32
K00564	228.92
K00566	234.27
K00567	231.6
K00568	36.03
K00569	0.33
K00570	0.4
K00571	312.43
K00573	3.5
K00574	15.3
K00575	2.89
K00584	0
K00588	0.25
K00590	0.13
K00595	0.32
K00596	0
K00598	0
K00600	233.84
K00602	232.52
K00603	3.35
K00604	233.39
K00605	40.37
K00606	6.26
K00608	0
K00609	184.54
K00610	1
K00611	236.58
K00612	0.2
K00613	1.2
K00615	493.44
K00616	89.36
K00619	1
K00620	9.75
K00621	0
