KO	GI_2
K00001	216.66
K00002	0
K00003	179.92
K00004	43.67
K00005	184.78
K00007	0
K00008	65.62
K00009	0.11
K00010	97.74
K00011	0
K00012	173.26
K00013	149.91
K00014	235.37
K00015	0
K00016	208.02
K00018	66.96
K00019	120
K00020	372.22
K00021	0
K00023	166
K00024	106.26
K00025	0
K00027	91.94
K00028	0
K00029	215.63
K00030	29.63
K00031	220.13
K00032	0
K00033	14.84
K00034	0
K00036	14.84
K00038	0
K00039	0
K00040	13.59
K00041	18.83
K00042	122.11
K00043	0
K00045	0
K00046	184.26
K00048	71.46
K00050	2.88
K00052	152.27
K00053	152.27
K00054	37
K00055	9
K00057	188.01
K00058	428.64
K00059	1102.83
K00060	0
K00064	0
K00065	22.83
K00066	0.6
K00067	167.09
K00068	32.31
K00073	0
K00074	462.43
K00075	188.27
K00076	21.36
K00077	315.67
K00078	0
K00082	0
K00086	39.22
K00087	31.76
K00088	193.26
K00090	0.11
K00091	0.11
K00094	0
K00096	19.59
K00097	235.14
K00098	0
K00099	188.27
K00100	140.03
K00101	240
K00102	84
K00103	0
K00104	183.25
K00105	0
K00108	249
K00111	222.67
K00112	0.6
K00113	0.6
K00114	0
K00116	0
K00117	0
K00118	0
K00121	83.07
K00122	0
K00123	240.75
K00124	168
K00125	0
K00126	83
K00127	167
K00128	475.8
K00130	0.63
K00131	62.25
K00132	42.64
K00133	206.27
K00134	212.91
K00135	332.22
K00137	0
K00138	83
K00140	212
K00141	0
K00145	189.38
K00146	0
K00147	173.63
K00148	0
K00150	0
K00151	83
K00153	0
K00154	0
K00156	93.88
K00158	0
K00161	62.85
K00162	62.85
K00163	166
K00164	83
K00166	37
K00167	37
K00169	14.76
K00170	14.76
K00171	14.76
K00172	14.76
K00174	64.1
K00175	64.1
K00176	42.47
K00177	42.47
K00179	108.19
K00180	62.19
K00183	0
K00184	2
K00185	2
K00194	10.88
K00196	58.69
K00197	10.88
K00198	79.71
K00200	0
K00201	0
K00202	0
K00208	179.96
K00209	30.47
K00210	10.1
K00215	223.79
K00216	0
K00217	0
K00218	0
K00219	0
K00220	0
K00221	0
K00226	12.11
K00227	0
K00228	83
K00230	16.63
K00231	3.5
K00232	0
K00239	94.63
K00240	140.63
K00241	94.63
K00242	83
K00243	102.94
K00244	8.59
K00245	1
K00246	1
K00247	0
K00248	177.91
K00249	461
K00252	83
K00253	83
K00254	92.5
K00256	0
K00257	401.99
K00259	14.01
K00260	16.52
K00261	83.33
K00262	183.86
K00263	0
K00265	105
K00266	348.23
K00273	0
K00274	43.22
K00275	93.1
K00276	0
K00278	110.13
K00280	0
K00281	100.48
K00282	27
K00283	27
K00284	40.32
K00285	452
K00286	277.34
K00287	161.75
K00288	0
K00290	31.28
K00293	0
K00294	1.38
K00297	153.21
K00298	14.64
K00299	83
K00301	0
K00302	0
K00303	167.88
K00304	0
K00305	0
K00311	120
K00313	0
K00316	0
K00317	0
K00318	1.38
K00322	0
K00324	166
K00325	83
K00330	94.36
K00331	94.36
K00332	84.11
K00333	84.11
K00334	158.29
K00335	158.29
K00336	187.45
K00337	94.36
K00338	94.36
K00339	94.36
K00340	94.25
K00341	99.36
K00342	94.36
K00343	94.36
K00344	249
K00346	11.63
K00347	11.63
K00348	11.63
K00349	11.63
K00350	11.63
K00351	11.63
K00354	0.11
K00355	0.4
K00356	83.33
K00362	94.21
K00363	83
K00364	0
K00365	0
K00366	48.99
K00367	0
K00368	0
K00370	37
K00371	37
K00372	31.06
K00373	37
K00374	37
K00375	533.21
K00376	0
K00380	83
K00381	83
K00382	456
K00383	84
K00384	335.87
K00385	90.69
K00387	0
K00389	3.61
K00390	85
K00392	10.99
K00394	13.69
K00395	13.69
K00404	166
K00405	83
K00406	83
K00407	83
K00411	83
K00412	83
K00413	83
K00425	261.63
K00426	261.63
K00427	0
K00428	13.88
K00432	163.17
K00433	44.82
K00435	0
K00436	0
K00437	1
K00441	0
K00446	0
K00448	0
K00449	0
K00450	120
K00451	83
K00452	0
K00453	83
K00455	37
K00456	0
K00457	83
K00459	167
K00466	0
K00467	0
K00469	0
K00471	0
K00472	0
K00476	0
K00477	83
K00479	0
K00480	129
K00481	0
K00483	0
K00484	0
K00486	0
K00491	0
K00493	0
K00496	0
K00499	0
K00500	0
K00505	0
K00507	83
K00508	0
K00510	21.36
K00517	0
K00520	0
K00523	166
K00525	173.27
K00526	140.32
K00527	163.14
K00528	346.2
K00529	166
K00531	0.11
K00532	64.19
K00533	31
K00534	0
K00537	230.8
K00543	0
K00547	0.77
K00548	202.91
K00549	166.74
K00554	188.27
K00556	1
K00557	0.11
K00558	98.01
K00560	155.81
K00561	0.39
K00563	1.03
K00564	1
K00566	225.14
K00567	266.44
K00568	83
K00569	83
K00570	0
K00571	14.74
K00573	167.33
K00574	165.81
K00575	175.16
K00584	0
K00588	0
K00590	0
K00595	28.48
K00596	0
K00598	37.44
K00600	190.15
K00602	208.58
K00603	24.24
K00604	267.65
K00605	130.48
K00606	140.08
K00608	0
K00609	271.27
K00610	81.58
K00611	94.34
K00612	0
K00613	0
K00615	484.66
K00616	203.46
K00619	1
K00620	131.64
K00621	0
K00625	189.49
K00626	562.1
K00627	220.07
K00631	0
K00632	166
K00633	7.63
K00634	82.68
K00635	0
K00638	14.64
K00639	19.86
K00640	204.63
K00641	83
K00643	0
K00645	188.27
K00646	0
K00647	37
K00648	333.27
K00651	74.02
K00652	110.25
K00655	371.65
K00656	252.41
K00657	91.01
K00658	93.88
K00661	156.64
K00662	0.63
K00663	0
K00666	231.12
K00672	0
K00673	0
K00674	151.81
K00675	9
K00677	113.26
K00680	20.91
K00681	452
K00683	0
K00684	94.81
K00685	83
K00686	24.08
K00687	0
K00688	179.62
K00689	0
K00690	40.57
K00691	4.21
K00692	0.44
K00694	0
K00696	0
K00697	1
K00700	196.01
K00702	24.16
K00703	196.96
K00705	172.82
K00709	0.6
K00712	0
K00720	0
K00721	64.02
K00728	0
K00737	0.5
K00745	0
K00748	95.63
K00752	0.63
K00754	119.8
K00756	92.07
K00757	60.57
K00758	1.11
K00759	200.64
K00760	173.97
K00761	179.27
K00762	210.1
K00763	195.14
K00764	220.87
K00765	149.91
K00766	135.15
K00767	176.66
K00768	75.15
K00769	1.6
K00772	1
K00773	188.27
K00782	11.88
K00783	188.27
K00784	128.32
K00785	0
K00786	10.18
K00788	236.62
K00789	179.82
K00790	336.62
K00791	199.9
K00793	187.44
K00794	187.44
K00795	83
K00796	148.65
K00797	161.44
K00798	114.51
K00799	830
K00800	189.27
K00801	0
K00803	0
K00805	93.47
K00806	266.3
K00808	0
K00809	0
K00812	289.59
K00813	0
K00817	344.68
K00818	100.72
K00819	1.38
K00820	192.89
K00821	140.38
K00822	166
K00823	83.63
K00824	83.81
K00826	303.08
K00830	83
K00831	130.04
K00832	83
K00833	104.92
K00835	0
K00836	83
K00839	0
K00840	0
K00841	0
K00842	0.5
K00844	10.88
K00845	169.8
K00847	124.17
K00848	48.82
K00849	60.63
K00850	232.35
K00851	0
K00852	82.58
K00853	35.45
K00854	66.88
K00855	0
K00856	84.12
K00857	93.94
K00858	188.27
K00859	178.27
K00860	24.8
K00862	0
K00863	53
K00864	177.68
K00865	172.39
K00867	0
K00868	152.2
K00869	0
K00870	0
K00872	47.45
K00873	265.85
K00874	155.7
K00876	205.11
K00878	107.28
K00879	21.36
K00880	9
K00881	0
K00882	101.64
K00883	37
K00884	0
K00885	0
K00886	0
K00887	0.33
K00891	212.27
K00892	0
K00895	11.63
K00897	0
K00899	16.52
K00901	157.77
K00906	83
K00912	95.63
K00917	18.82
K00918	0
K00919	179.27
K00924	17.63
K00925	209.63
K00926	93.62
K00927	188.27
K00928	272.83
K00929	107.88
K00930	152.38
K00931	173.63
K00932	0
K00936	263.66
K00937	131.62
K00938	0
K00939	188.27
K00940	139.17
K00941	285.24
K00942	188.38
K00943	132.67
K00945	210.27
K00946	95.63
K00947	0
K00948	254.46
K00949	104.12
K00950	125.11
K00951	288.9
K00954	188.27
K00955	12.32
K00956	95.29
K00957	110.5
K00958	1
K00962	188.27
K00963	235.64
K00965	49.11
K00966	1.44
K00968	1.38
K00969	179.27
K00970	110.62
K00971	130.73
K00972	22.5
K00973	203.99
K00974	187.64
K00975	157
K00978	42.24
K00979	95.63
K00980	1.88
K00981	198.1
K00982	83
K00983	25.45
K00984	0.5
K00986	5.3
K00988	0
K00989	133.8
K00990	84
K00991	189.87
K00992	83
K00993	0
K00995	241.53
K00996	0
K00997	153.14
K00998	0
K01000	194.27
K01002	0
K01003	0
K01004	0
K01006	113.27
K01007	113.52
K01008	139.81
K01011	168.16
K01012	270.05
K01023	0
K01026	67.95
K01027	0
K01028	129
K01029	146
K01031	203
K01032	203
K01034	50.7
K01035	50.7
K01039	83
K01040	83
K01042	130.88
K01046	92.13
K01048	79.12
K01051	21.13
K01053	120
K01055	166
K01056	188.27
K01057	12.63
K01058	1.53
K01060	23.95
K01061	249
K01066	107.11
K01067	0
K01069	83
K01070	83
K01071	9
K01073	0
K01075	83
K01077	18.68
K01078	0
K01079	132.63
K01081	110.37
K01082	21.81
K01083	0
K01085	0
K01086	0
K01087	0
K01089	11.63
K01090	101.91
K01091	483.08
K01092	178.63
K01093	0
K01095	90.6
K01096	0
K01101	0
K01104	274.52
K01113	0
K01114	212.21
K01117	0
K01118	235.41
K01119	98.62
K01120	0
K01121	0
K01126	283.29
K01129	188.27
K01130	82.76
K01133	44.31
K01134	0
K01135	0
K01136	0
K01137	0
K01138	27.36
K01139	0
K01141	0
K01142	271.27
K01144	11.63
K01146	0
K01147	84
K01150	0
K01151	104.77
K01153	199.87
K01154	232.05
K01155	11.1
K01156	58.25
K01158	0
K01159	98.84
K01160	0
K01163	59.07
K01165	0
K01166	0
K01167	0
K01169	0
K01173	108.65
K01174	0.22
K01175	0
K01176	30.66
K01178	0
K01179	60.33
K01181	6.8
K01182	59.65
K01183	131.37
K01184	0
K01185	54.3
K01186	79.96
K01187	199.92
K01188	0
K01190	260.32
K01191	98.79
K01192	9.5
K01193	60.64
K01194	0
K01195	21.84
K01197	117.98
K01198	0.33
K01200	143.26
K01201	36.18
K01205	31.04
K01206	97.69
K01207	152.43
K01208	0
K01209	79.69
K01210	0
K01212	6
K01215	0
K01216	0
K01218	12.19
K01219	0
K01220	0.07
K01222	51.76
K01223	108.15
K01224	75.76
K01226	61.34
K01227	0
K01232	75.31
K01233	0
K01235	0.83
K01236	84
K01239	38.98
K01241	94.63
K01243	206.52
K01246	104.59
K01247	92.33
K01250	0
K01251	102.21
K01252	0
K01253	0
K01255	104.36
K01256	87.88
K01258	124.96
K01259	107.28
K01261	0
K01262	342.39
K01263	0
K01264	0
K01265	326.25
K01266	83
K01267	95.43
K01269	0
K01270	151.22
K01271	88.34
K01273	69.64
K01274	0
K01277	11.63
K01278	24.49
K01281	0
K01283	0
K01284	36.64
K01286	194.95
K01295	129
K01297	245.13
K01299	0.11
K01301	0
K01303	0
K01304	39.11
K01305	63.82
K01308	38.71
K01318	0
K01322	0.39
K01338	331.31
K01342	0
K01347	0
K01354	0
K01355	0
K01356	219.65
K01358	244.27
K01361	21.36
K01372	13.01
K01387	53.12
K01390	0
K01392	0
K01399	0
K01400	0
K01401	0
K01406	0
K01407	0
K01409	190.15
K01414	83
K01415	0
K01417	0
K01419	85.88
K01420	254.05
K01421	162.23
K01424	207.77
K01425	68.99
K01426	461
K01427	0
K01428	1.63
K01429	1
K01430	1.74
K01432	83
K01433	90.75
K01434	83
K01436	36.21
K01438	216.51
K01439	142.81
K01440	0
K01442	179.81
K01443	136.07
K01444	0
K01446	0
K01447	50
K01448	511.59
K01449	128.06
K01451	456.24
K01452	0
K01453	0
K01455	83
K01457	37
K01458	83
K01460	0
K01461	83
K01462	426.45
K01464	51.24
K01465	271.27
K01466	37.63
K01467	0.11
K01468	111.36
K01469	83
K01470	39.83
K01471	0
K01473	221
K01474	221
K01476	95.87
K01477	0
K01478	52.52
K01479	129
K01480	171.39
K01482	0
K01483	37
K01484	0
K01485	109.99
K01486	68.31
K01487	12.12
K01488	133.2
K01489	105.9
K01491	188.27
K01492	9.5
K01493	96.27
K01494	111.19
K01495	101.65
K01496	112.9
K01497	0
K01499	0.12
K01501	175
K01502	37
K01505	0
K01507	83.33
K01512	154.79
K01515	216.25
K01518	0
K01520	207.64
K01521	0
K01523	111.57
K01524	164.49
K01525	83
K01531	146.99
K01533	35.73
K01534	206.23
K01535	0
K01537	256.29
K01545	0
K01546	133.85
K01547	133.85
K01548	133.85
K01551	36.17
K01555	83
K01556	83
K01560	37.07
K01561	129
K01563	0
K01567	77.59
K01568	0
K01569	15.64
K01571	27.09
K01572	58.65
K01573	11.48
K01574	17.18
K01575	0
K01576	0
K01577	0
K01578	83
K01579	138.2
K01580	130.74
K01581	0
K01582	23.57
K01583	2.33
K01584	83
K01585	22.13
K01586	243.38
K01588	188.27
K01589	84.88
K01590	25.86
K01591	188.27
K01593	0
K01594	0
K01595	104.36
K01596	84.33
K01597	0
K01598	0
K01599	181.01
K01601	83
K01602	0
K01607	262.86
K01608	0
K01609	135.15
K01610	43.2
K01611	81.02
K01613	164.51
K01615	0
K01616	0
