function.	oral_16
K00001	42.799547
K00002	0.0089246
K00003	81.8543555
K00004	7.608848
K00005	38.9395776
K00007	11.761331
K00008	10.8401861
K00009	20.0109716
K00010	24.2292112
K00011	0.0089246
K00012	78.2177177
K00013	52.1999278
K00014	140.893059
K00015	2.1457258
K00016	82.5155931
K00018	14.4767237
K00019	41.3843361
K00020	43.9899279
K00021	0
K00023	27.8357876
K00024	44.6178035
K00027	20.146996
K00028	3.5440732
K00029	61.3759801
K00030	0.6610569
K00031	60.858276
K00032	0.0089246
K00033	75.3432941
K00034	3.9204437
K00035	0.0089246
K00036	71.6204993
K00038	2.8252693
K00039	1.0862498
K00040	5.7130108
K00041	5.2113214
K00042	21.0097533
K00043	5.686237
K00045	0.3531587
K00046	46.0084092
K00048	7.2289156
K00050	0.4462293
K00052	71.936443
K00053	78.2268879
K00054	52.3675982
K00055	2.1278766
K00057	98.0010951
K00058	89.7102685
K00059	263.2261974
K00060	11.6810098
K00064	8.9488111
K00065	6.3925543
K00066	0.0089246
K00067	68.095159
K00068	12.4208172
K00073	0
K00074	42.9831647
K00075	97.2804347
K00076	18.032766
K00077	93.1322736
K00082	0
K00086	0
K00087	0.0267738
K00088	104.621661
K00090	10.9109453
K00091	11.5164766
K00094	0.2008032
K00096	0.4519337
K00097	45.6033657
K00098	3.6119079
K00099	49.3797411
K00100	25.8106788
K00101	30.8185991
K00102	15.9316631
K00103	0.7063173
K00104	43.5752532
K00105	25.8352999
K00108	30.9874418
K00111	24.7019826
K00112	9.2369479
K00113	8.5432641
K00114	5.5204947
K00116	28.4899482
K00117	3.9739912
K00118	0.0089246
K00119	20.0356983
K00121	26.5603713
K00122	3.2944476
K00123	57.6964423
K00124	47.7184641
K00126	11.9041244
K00127	42.4946539
K00128	74.1951933
K00130	30.4245554
K00131	27.0235581
K00132	0
K00133	90.9844942
K00134	107.2913875
K00135	68.2833509
K00137	3.5405113
K00138	0
K00140	40.7527657
K00141	12.8029579
K00145	54.7996116
K00146	15.6014534
K00147	93.2641175
K00148	11.6899343
K00150	0.0356983
K00151	11.178683
K00152	0.0178492
K00153	0.4016064
K00154	14.3583859
K00155	7.8230382
K00156	21.1888825
K00158	22.2912267
K00161	66.958595
K00162	66.6054364
K00163	41.990183
K00164	32.1909862
K00166	14.7255689
