function.	GI_0
K00001	121.5
K00002	0
K00003	125.26
K00004	14.03
K00005	64.09
K00007	0
K00008	13.68
K00009	1.31
K00010	10.96
K00011	0
K00012	109.58
K00013	120.52
K00014	133.19
K00015	0.17
K00016	84.26
K00018	22.01
K00019	77.31
K00020	300.8
K00021	0
K00023	107.01
K00024	96.15
K00025	0
K00027	30.1
K00028	0
K00029	159.56
K00030	4.7
K00031	161.52
K00032	0
K00033	42.86
K00034	0
K00036	41.79
K00038	0
K00039	0
K00040	22.92
K00041	2.67
K00042	64.52
K00043	0.65
K00045	0
K00046	172.53
K00048	9.07
K00050	1.13
K00052	119.54
K00053	119.5
K00054	15.33
K00055	0
K00057	116.93
K00058	347.16
K00059	687.28
K00060	0
K00064	0
K00065	40.68
K00066	0
K00067	114.01
K00068	13.2
K00073	0.33
K00074	246.16
K00075	95.13
K00076	0
K00077	204.74
K00078	0
K00082	0.5
K00086	3.49
K00087	4.76
K00088	125.49
K00090	0.55
K00091	0.55
K00094	0
K00096	26.84
K00097	161.66
K00098	15.33
K00099	123.63
K00100	33.3
K00101	123.99
K00102	63.26
K00103	0
K00104	109.5
K00105	0
K00108	169.31
K00111	86.14
K00112	1.63
K00113	0.83
K00114	0
K00116	31.17
K00117	14
K00118	0
K00121	61.8
K00122	0.65
K00123	135.33
K00124	128.33
K00125	0
K00126	61.33
K00127	125.6
K00128	310.61
K00130	2.12
K00131	5.59
K00132	5.01
K00133	123.63
K00134	128.79
K00135	249.39
K00137	0
K00138	47
K00140	168.66
K00141	0
K00145	133.79
K00146	0
K00147	117.31
K00148	0
K00150	0
K00151	47
K00153	0
K00154	0
K00156	62.36
K00158	0
K00161	89.13
K00162	89.13
K00163	123.33
K00164	93
K00166	15
K00167	15
K00169	2.86
K00170	2.86
K00171	0.42
K00172	2.86
K00174	53.68
K00175	53.68
K00176	19.1
K00177	19.1
K00179	61.24
K00180	15.09
K00183	5.22
K00184	46.48
K00185	41.26
K00194	0.17
K00196	7.64
K00197	0.17
K00198	19.43
K00200	0
K00201	0
K00202	0
K00208	151.45
K00209	31.55
K00210	0.2
K00215	127.49
K00216	0
K00217	0
K00218	0
K00219	0.82
K00220	31
K00221	0
K00226	35.3
K00227	0
K00228	92.33
K00230	4.41
K00231	31
K00232	0
K00239	96.89
K00240	142.75
K00241	95.29
K00242	61.67
K00243	49.15
K00244	39.32
K00245	1.79
K00246	1.79
K00247	0.66
K00248	21.33
K00249	352.33
K00252	61.98
K00253	61.33
K00254	93.7
K00256	0
K00257	294.85
K00259	33.75
K00260	4.11
K00261	99.67
K00262	80.9
K00263	0
K00265	64.52
K00266	148.2
K00273	0
K00274	6.69
K00275	93.2
K00276	0
K00278	73.66
K00280	0
K00281	94.07
K00282	13.75
K00283	13.75
K00284	42.04
