function.	oral_16
K00001	67.07
K00002	5.33
K00003	364.87
K00004	58.54
K00005	196.95
K00007	43.7
K00008	97
K00009	43.05
K00010	95.79
K00011	0.25
K00012	200.33
K00013	223.54
K00014	504.39
K00015	3.99
K00016	288.52
K00018	79.93
K00019	137.54
K00020	224.19
K00021	1
K00023	95.72
K00024	197.42
K00025	0
K00027	83.28
K00028	6.51
K00029	260.5
K00030	5.01
K00031	309.96
K00032	0
K00033	311.38
K00034	15.8
K00036	311.22
K00038	0.02
K00039	2.03
K00040	35.73
K00041	12.08
K00042	64.06
K00043	32.24
K00045	11.92
K00046	67.55
K00048	31.05
K00050	5.61
K00052	345.35
K00053	377.41
K00054	207.95
K00055	7.45
K00057	421.759999999999
K00058	468.68
K00059	1006.22
K00060	45.46
K00064	22.3
K00065	39.79
K00066	0
K00067	291.55
K00068	38.52
K00073	9.34
K00074	102.35
K00075	411.559999999999
K00076	43.71
K00077	375.86
K00078	0
K00082	0.33
K00086	5.97
K00087	0.2
K00088	459.71
K00090	47.27
K00091	53.65
K00094	1.33
K00096	0.7
K00097	201.74
K00098	12.93
K00099	212.19
K00100	176.08
K00101	131.32
K00102	113.81
K00103	0
K00104	202.67
K00105	168.22
K00108	114.95
K00111	98.57
K00112	28.22
K00113	28.22
K00114	8.44
K00116	140.25
K00117	5.15
K00118	0.48
K00121	105.59
K00122	14.56
K00123	398.26
K00124	213.56
K00125	0
K00126	44.45
K00127	213.7
K00128	274
K00130	133.83
K00131	144.31
K00132	0.2
K00133	416.779999999999
K00134	499.81
K00135	192.93
K00137	31.16
K00138	52.83
K00140	149.68
K00141	54.15
K00145	220.8
K00146	102.53
K00147	386.34
K00148	42.95
K00150	0
K00151	44.39
K00153	1.67
K00154	41.82
K00156	94.1
K00158	54.02
K00161	240.75
K00162	240.5
K00163	153.92
K00164	125.26
K00166	56.01
K00167	56.01
K00169	1.12
K00170	1.12
K00171	1.12
K00172	1.12
K00174	111.3
K00175	111.3
K00176	103.89
K00177	103.91
K00179	13.4
K00180	12.28
K00183	0
K00184	15.86
K00185	19.68
K00194	2.93
K00196	2.93
K00197	3.13
K00198	9.03
K00200	1.9
K00201	1.9
K00202	1.9
K00208	231.16
K00209	61.54
K00210	26.25
K00215	416.11
K00216	1.67
K00217	6.2
K00218	12.71
K00219	86.41
K00220	0
K00221	0
K00226	183.34
K00227	0
K00228	52.68
K00230	25.97
K00231	51.21
K00232	2.36
K00239	174.53
K00240	215.81
K00241	179.64
K00242	74.12
K00243	214.93
K00244	371.39
K00245	120.31
K00246	120.31
K00247	30.39
K00248	14.94
K00249	239.82
K00252	83.48
K00253	46.39
K00254	213.1
K00256	6.66
K00257	284.25
K00259	134.14
K00260	29.07
K00261	67.96
K00262	294.36
K00263	5.17
K00265	124.98
K00266	172.89
K00273	0
K00274	2.5
K00275	118.6
K00276	0
K00278	91.21
K00280	0
K00281	96.06
K00282	16.62
K00283	16.62
K00284	45.23
K00285	235.55
K00286	420.64
K00287	324.26
K00288	0.33
K00290	222.9
K00293	0
K00294	22.78
K00297	353.32
K00298	7.35
K00299	96.01
K00301	12.4
K00302	42.95
K00303	61.6
K00304	42.95
K00305	42.95
K00311	116.38
K00313	3.75
K00316	10.16
K00317	0.67
K00318	20
K00322	0
K00324	145.56
K00325	105.52
K00330	183.24
K00331	213.81
K00332	168.3
K00333	168.3
K00334	117.9
K00335	179.38
K00336	184.13
K00337	183.24
K00338	183.24
K00339	183.24
K00340	183.24
K00341	183.24
K00342	193.13
K00343	183.24
K00344	182.83
