function.	GI_12
K00001	3.99
K00002	0
K00003	27.25
K00004	11.26
K00005	13.67
K00007	0
K00008	8.17
K00009	2.78
K00010	12.13
K00011	0
K00012	8.5
K00013	27.07
K00014	37.65
K00015	0
K00016	29.68
K00018	13.78
K00019	0
K00020	12.25
K00021	0
K00023	0
K00024	3.43
K00025	0
K00027	27.44
K00028	0
K00029	3.4
K00030	3.07
K00031	25.02
K00032	0
K00033	11.68
K00034	0
K00036	10.96
K00038	0
K00039	0
K00040	9.92
K00041	3.62
K00042	4.13
K00043	0
K00045	0
K00046	5.86
K00048	2.67
K00050	0.67
K00052	26.35
K00053	26.35
K00054	0.29
K00055	0.22
K00057	20.96
K00058	41.9
K00059	40.18
K00060	2.28
K00064	0
K00065	12.43
K00066	0
K00067	21.1
K00068	13.1
K00073	1.28
K00074	10.54
K00075	37.51
K00076	1.34
K00077	12.87
K00078	0
K00082	0
K00086	2.68
K00087	2.36
K00088	29.8
K00090	2.27
K00091	0.67
K00094	1.28
K00096	27.81
K00097	6.97
K00098	0.14
K00099	27.72
K00100	24.44
K00101	1.28
K00102	0.67
K00103	0
K00104	13.57
K00105	0
K00108	1.14
K00111	16.23
K00112	2.03
K00113	2.03
K00114	0
K00116	1.14
K00117	1.28
K00118	0
K00121	2.06
K00122	0
K00123	40.99
K00124	12.94
K00125	0
K00126	0
K00127	12.27
K00128	12.33
K00130	2.95
K00131	2.92
K00132	1.36
K00133	28.37
K00134	31.48
K00135	3.26
K00137	1.28
K00138	1.28
K00140	0.5
K00141	0
K00145	27.02
K00146	0.28
K00147	26.84
K00148	0
K00150	0
K00151	0.28
K00153	0
K00154	0
K00156	2.48
K00158	0.5
K00161	11.34
K00162	11.34
K00163	1.78
K00164	3.78
K00166	1
K00167	1
K00169	7.04
K00170	7.04
K00171	0.22
K00172	7.04
K00174	25.53
K00175	25.65
K00176	23.46
K00177	23.48
K00179	30.36
K00180	30.36
K00183	24.14
K00184	46.96
K00185	29.8
K00194	0.72
K00196	5.28
K00197	0.72
K00198	17.02
K00200	0
K00201	0
K00202	0
K00208	11.9
K00209	1.3
K00210	0.2
K00215	29.51
K00216	1.28
K00217	0
K00218	0
K00219	2.28
K00220	0
K00221	0
K00226	2.39
K00227	0
K00228	1.28
K00230	2.87
K00231	0.5
K00232	0
K00239	8.23
K00240	4.73
K00241	4.23
K00242	1.28
K00243	5.27
K00244	85.04
K00245	1.95
K00246	1.95
K00247	1.28
K00248	10.22
K00249	0.14
K00252	0
K00253	0
K00254	2.98
K00256	0
K00257	1.22
K00259	1.66
K00260	0.94
K00261	8.14
K00262	17.5
K00263	0
K00265	4.97
