function.	GI_2
K00001	97.44
K00002	0
K00003	59.04
K00004	5.58
K00005	56.14
K00007	0
K00008	11.93
K00009	0.11
K00010	12.08
K00011	0
K00012	67.77
K00013	57.82
K00014	76.09
K00015	0
K00016	62.94
K00018	14.23
K00019	55.33
K00020	176.92
K00021	0
K00023	86
K00024	50.62
K00025	0
K00027	14.96
K00028	0
K00029	102.47
K00030	3.62
K00031	98.75
K00032	0
K00033	4.71
K00034	0
K00036	4.71
K00038	0
K00039	0
K00040	2.06
K00041	3.74
K00042	47.48
K00043	0
K00045	0
K00046	91.44
K00048	13.33
K00050	0.57
K00052	57.69
K00053	57.69
K00054	12.33
K00055	1
K00057	61.63
K00058	182.47
K00059	472.69
K00060	0
K00064	0
K00065	3.32
K00066	0.43
K00067	61.51
K00068	4.09
K00073	0
K00074	190.07
K00075	61.89
K00076	2.37
K00077	134.9
K00078	0
K00082	0
K00086	4.59
K00087	3.54
K00088	64.03
K00090	0.11
K00091	0.11
K00094	0
K00096	3.78
K00097	105.39
K00098	0
K00099	61.89
K00100	27.47
K00101	110.66
K00102	43.33
K00103	0
K00104	55.76
K00105	0
K00108	129
K00111	63.35
K00112	0.43
K00113	0.43
K00114	0
K00116	0
K00117	0
K00118	0
K00121	43.07
K00122	0
K00123	103.98
K00124	86.66
K00125	0
K00126	43
K00127	86.33
K00128	223.38
K00130	0.4
K00131	7.15
K00132	4.78
K00133	63.89
K00134	65.05
K00135	172.22
K00137	0
K00138	43
K00140	116.67
K00141	0
K00145	70.13
K00146	0
K00147	60.06
K00148	0
K00150	0
K00151	43
K00153	0
K00154	0
K00156	46.23
K00158	0
K00161	33.07
K00162	33.07
K00163	86
K00164	43
K00166	12.33
K00167	12.33
K00169	2.48
K00170	2.48
K00171	2.48
K00172	2.48
K00174	13.86
K00175	13.86
K00176	8.72
K00177	8.72
K00179	49.31
K00180	18.64
K00183	0
K00184	0.66
K00185	0.66
K00194	1.24
K00196	7.85
K00197	1.24
K00198	10.8
K00200	0
K00201	0
K00202	0
K00208	90.97
K00209	3.48
K00210	3.46
K00215	66.46
K00216	0
K00217	0
K00218	0
K00219	0
K00220	0
K00221	0
