KO	oral_17
K00001	97.36
K00002	0
K00003	245.89
K00004	17.1
K00005	252.72
K00007	1.2
K00008	21.1
K00009	48.61
K00010	11.37
K00011	0
K00012	85.61
K00013	58.05
K00014	281.83
K00015	0.2
K00016	363.85
K00018	14.26
K00019	36.26
K00020	73.55
K00021	0
K00023	3.4
K00024	35.06
K00025	0
K00027	129.58
K00028	30.46
K00029	32.6
K00030	0.01
K00031	140.66
K00032	0
K00033	230.8
K00034	10.78
K00036	241.44
K00038	0
K00039	0
K00040	12.03
K00041	2.17
K00042	2.4
K00043	0
K00045	3
K00046	60.42
K00048	12.57
K00050	0
K00052	157.53
K00053	159.28
K00054	243.41
K00055	1
K00057	282.76
K00058	263.17
K00059	583.03
K00060	1.2
K00064	2
K00065	2
K00066	0
K00067	212.69
K00068	27.68
K00073	40
K00074	36.71
K00075	272.82
K00076	2.61
K00077	246.85
K00078	0
K00082	0
K00086	9.95
K00087	0
K00088	280.51
K00090	1.37
K00091	9.4
K00094	3.05
K00096	1
K00097	22.04
K00098	1.45
K00099	30.41
K00100	44.07
K00101	18.12
K00102	2.2
K00103	0
K00104	11.14
K00105	179.62
K00108	5.8
K00111	46.15
K00112	12.72
K00113	12.72
K00114	1
K00116	13.48
K00117	0
K00118	0
K00121	70.08
K00122	1.4
K00123	53.66
K00124	23.68
K00125	0
K00126	1.2
K00127	23.68
K00128	34.46
K00130	10
K00131	166.54
K00132	1.5
K00133	272.48
K00134	345.62
K00135	81.52
K00137	0
K00138	1.4
K00140	10.37
K00141	3.2
K00145	58.87
K00146	5.4
K00147	266.89
K00148	1.2
K00150	0
K00151	1.52
K00153	0
K00154	1.2
K00156	3.1
K00158	53.52
K00161	255.62
K00162	257.12
K00163	28.12
K00164	21.92
K00166	1
K00167	1
K00169	0
K00170	0
K00171	0
K00172	0
K00174	6.98
K00175	6.98
K00176	5.98
K00177	5.98
K00179	0
K00180	0
K00183	0
K00184	1
K00185	1
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0
K00201	0
K00202	0
K00208	36.23
K00209	52.78
K00210	0.25
K00215	268.83
K00216	0
K00217	1
K00218	2
K00219	3.2
K00220	0
K00221	0
K00226	196.33
K00227	0
K00228	2.2
K00230	6.42
K00231	54.28
K00232	0
K00239	15.77
K00240	15.86
K00241	14.66
K00242	1.45
K00243	245.7
K00244	209.37
K00245	21.95
K00246	21.95
K00247	15.97
K00248	1
K00249	4.6
K00252	14.67
K00253	1.2
K00254	28.1
K00256	1
K00257	3.58
K00259	73.42
K00260	0.58
K00261	3.53
K00262	248.36
K00263	0
K00265	33.74
K00266	38.12
K00273	0
K00274	1
K00275	18.58
K00276	0
K00278	10.2
K00280	0
