KO	oral_6
K00001	11.35
K00002	0
K00003	187.05
K00004	14.56
K00005	187.84
K00007	0
K00008	11.42
K00009	13.74
K00010	6.31
K00011	0
K00012	87.43
K00013	36.17
K00014	230.27
K00015	0
K00016	256.55
K00018	32.41
K00019	1.82
K00020	83.12
K00021	0
K00023	0
K00024	40.08
K00025	1
K00027	85.3
K00028	1
K00029	49.63
K00030	0.37
K00031	124.52
K00032	0
K00033	213.04
K00034	7.66
K00036	260.48
K00038	0
K00039	0
K00040	1
K00041	2.07
K00042	0.37
K00043	0
K00045	2.57
K00046	9.55
K00048	10.64
K00050	0
K00052	132.78
K00053	134.19
K00054	177.38
K00055	1
K00057	229.19
K00058	212.26
K00059	438.97
K00060	0
K00064	1
K00065	0
K00066	0
K00067	142.5
K00068	10.07
K00073	61
K00074	31.19
K00075	224.22
K00076	1.31
K00077	189.67
K00078	0
K00082	0.25
K00086	5.97
K00087	0
K00088	226.72
K00090	0
K00091	2.05
K00094	1
K00096	0
K00097	36.62
K00098	1.05
K00099	46.84
K00100	9.22
K00101	33.1
K00102	0
K00103	0
K00104	4.66
K00105	111.79
K00108	0.25
K00111	29.07
K00112	16.78
K00113	16.78
K00114	0
K00116	26.83
K00117	2.14
K00118	0
K00121	85.21
K00122	0
K00123	47.46
K00124	22.11
K00125	0
K00126	0
K00127	22.61
K00128	17.84
K00130	0.25
K00131	101.86
K00132	0
K00133	223.72
K00134	274.82
K00135	34.21
K00137	0
K00138	5.07
K00140	5.31
K00141	0
K00145	41.19
K00146	0
K00147	204.7
K00148	0
K00150	0
K00151	0.8
K00153	0
K00154	0
K00156	2.56
K00158	15.3
K00161	178.8
K00162	178.8
K00163	35.09
K00164	37.14
K00166	0
K00167	0
K00169	0
K00170	0
K00171	0
K00172	0
K00174	24.53
K00175	24.53
K00176	13.73
K00177	13.73
K00179	9.62
K00180	9.62
K00183	0
K00184	4.3
K00185	4.3
K00194	0.37
K00196	0.37
K00197	0.37
K00198	1.24
K00200	0
K00201	0
K00202	0
K00208	41.29
K00209	66.01
K00210	9.31
K00215	223.31
K00216	0
K00217	0
K00218	0
K00219	2.32
K00220	0
K00221	0
K00226	121.16
K00227	0
K00228	5.24
K00230	9.83
K00231	75.33
K00232	2.07
K00239	31.85
K00240	30.85
K00241	30.85
K00242	11.56
K00243	186.69
K00244	132.6
K00245	22.28
K00246	22.28
K00247	20.28
K00248	11.69
K00249	1.07
K00252	7.24
K00253	0.25
K00254	39.4
K00256	0
K00257	23.55
K00259	74.64
K00260	11.07
K00261	3.38
K00262	208.59
K00263	1.92
K00265	7.37
K00266	20.19
K00273	0
K00274	2.57
K00275	43.02
K00276	0
K00278	23.93
K00280	0
K00281	26.6
K00282	65.96
K00283	65.96
K00284	1.57
K00285	13.63
K00286	210.36
K00287	221.6
K00288	0
K00290	108.9
K00293	0
K00294	13.05
K00297	133.64
K00298	6.09
K00299	7.09
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00311	11.56
K00313	0
K00316	1
K00317	0
K00318	4.3
K00322	1.25
K00324	49.57
K00325	40.08
K00330	17.98
K00331	17.98
K00332	15.73
K00333	15.73
K00334	15.85
K00335	17.85
K00336	18.24
K00337	17.98
K00338	17.98
K00339	17.98
K00340	17.98
K00341	17.98
K00342	17.98
K00343	17.98
K00344	3.64
K00346	44.21
K00347	45.21
K00348	45.28
K00349	44.21
K00350	44.21
K00351	44.21
K00354	4.97
K00355	103.28
K00356	0.25
K00362	0
K00363	1.07
K00364	172.03
K00365	0
K00366	0.37
K00367	0
K00368	14.78
K00370	2.75
K00371	3.75
K00372	0
K00373	3.75
K00374	2.75
K00375	18.68
K00376	5.97
K00380	15.68
K00381	13.93
K00382	255.15
K00383	265.05
K00384	415.7
K00385	0.37
K00387	0
K00389	0.5
K00390	13.91
K00392	2.07
K00394	0.5
K00395	0.5
K00404	13.98
K00405	13.98
K00406	16.86
K00407	13.56
K00411	13.56
K00412	13.56
K00413	13.56
K00425	45.4
K00426	44.4
K00427	1
K00428	30.32
K00432	181.86
K00433	3.37
K00435	0
K00436	0
K00437	0
K00441	0
K00446	0
K00448	0
K00449	0
K00450	1
K00451	3.99
K00452	2.99
K00453	2.99
K00455	0.8
K00456	0
K00457	4.24
K00459	16.63
K00466	0
K00467	0
K00469	1.07
K00471	0
K00472	0
K00476	0.17
K00477	0
K00479	0
K00480	0
K00481	0
K00483	1.3
K00484	23.96
K00486	2.99
K00491	0
K00493	0
K00496	0
K00499	0
K00500	3.99
K00505	0
K00507	2.75
K00508	5.06
K00510	0.25
K00517	1
K00520	4.97
K00523	10.31
K00525	298.67
K00526	219.6
K00527	216.38
K00528	35.12
K00529	0
K00531	0
K00532	0.37
K00533	0.5
