reactions	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00001	879.93	999.58	1996.04	1412.95	502.93	701.92	1553.67	6800.81	1116.83	1242.8	1380.35	1306	1676.67	1014.5	2066.07	1468	483.93	1399.3	612.58	1237.88	1923.42	1429.04	2668.2	804.4	1304.85	1833.17	1385.58	1758.65	2327.16	1913.65	1706.17	1562.6	808.85	954.83	2535.5	1965.95	913.86	2221.65	1290.97	1184.53	2177.45	1792.18	802.95	1771.07	1076	2023.15	1615.83	2217.83	1405.47	3696.09	1953.07	1044.53	1522.83	1179.51	503.03	1981.7	736.63	1793.91	504.08	1218.3	1685.3	5561.6	1064.5	776	1723.43	1349.66	1445.99	1859.4	1889.1	2417.63	841.63	1723.48	861.33	1087.62	2109.3	814	1169.8	1249.73	837.5	1785.32	1400.5	2251.53	1735.78	490.3	1926.38	1070.36	1314.27
K00003	5910.68	3659.54	3257.11	7158.12	4706.25	6443.49	5546.97	7179.62	4131.6	3379.6	4391.55	4925.04	3566.09	5785.95	5917.5	3023.96	2480.86	6069.63	3302.29	2814.25	4340.82	4083.12	5237.24	4915.81	3048.88	5672.97	7114.13	5428.28	5742.32	6059.13	5066.37	7489.03	2075.52	2622.73	4698.08	7630.18	3721.76	5267.33	5167.87	6617.08	4774.57	5945.65	6070.5	4913.77	6071.92	5449.68	5952.73	6498.49	7632.67	7479.89	5827.42	5308.7	4432.3	8058.99	2705.33	4272.17	1904.08	4720.16	5757.98	3570.05	6148.85	8647.13	6068.17	6862.67	5969.7	6781.99	5615.52	6204.87	5098.12	5716.35	4798.63	4457.03	4950.17	6375.2	7831.98	7793.43	3501.82	3411.66	2656.92	6921.42	7818.45	5899.44	7144.55	3809.66	6062.66	5768.83	3273.53
K00004	0	0	0	16.45	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	25.67	0	0	3	4	0	0	0	0	0	0	0	0	0	71.83	0	3	0	0	0	0	0	0	0	1	1	1	0	0	1	0	9	0	0	0	6.33	0	0	0	2	0	0	1	0	0	0	0	4	0	0	0.25	0	0	0	0	1	128	8	0	0	0	0	0	0	17
K00005	7	88	1104.33	269.45	908.5	1103	256	299	1702	431	259	192.75	521.5	379.5	50	55	955.83	1167	62	514.75	365	329.67	452.59	10	32	134.25	502	540	214.42	11.25	1561	123	846	457	72.5	59.5	1485.83	204.33	197.25	40	92	371.5	10.5	71	103	193.25	280	95	243.75	344.5	127.5	180.25	646.75	110.83	73	681.75	120.5	1205.58	794	366.5	807	24	209.5	1037.5	72.5	47	70.5	62.5	296	10.75	178.3	104.25	310.5	171	621.25	106	167	48.5	237	97	165	38	203	70	56.25	458	263.83
K00006	4425.44	4021.87	3508.82	6903.12	4686.18	5415.83	5512.47	7182.69	4246.6	3450.73	3561.48	4177.71	3592.42	5499.95	4682.9	3041.96	3955.8	6090.43	4570.96	2828.38	4276.49	4083.32	5251.27	4915.21	3035.81	5664.64	6702.8	5468.68	5245.99	5882.53	4755.37	7321.63	2703.12	2610.73	3878.74	7106.05	3767.96	5292.73	4895.59	6228.28	4909.94	5949.58	5871.03	4934.18	6126.59	5062.41	5817.73	6552.49	7535.63	5607.89	5808.82	5222.23	4624.63	3541.92	1980.53	4317.37	1839.38	4918.82	5748.98	3606.85	5710.98	4105.73	5969.83	6911.34	5297.13	6459	5099.59	6189.6	4291.39	3107.15	4550.63	3980.09	4954.51	6403.4	7861.78	7793.43	3536.45	3278.39	2446.75	5727.15	7364.12	5910.97	6462.67	3818.79	5440.46	5795.35	3298.13
K00007	0	0	0	16.45	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67	0	0	0	4	0	0	0	0	0	0	0	0	0	71.83	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	6.33	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.25	0	0	0	0	0	128	0	0	0	0	0	0	0	0
K00008	279.33	266.83	70.5	39.33	135.83	58	104	299.33	35.33	195	13	70	101	18	96.67	54	39	71	124.33	208.33	39.67	17	56.17	97.5	232.5	31.67	21.33	4	73.33	414.5	5	121	17	40.33	99.33	68	88	23.83	141.67	70	73	37.17	106.67	168.67	67	49.67	49	45.5	143	57.5	161.67	22	381	62.33	230.33	7	145.33	282.66	25.33	17	117.5	11	120.67	58.67	83.33	63.33	34.67	177.17	281	86.83	309.33	90.33	115	228.5	366	27	95	47.83	24.5	232.67	3	18	67	27	35.5	67.5	30.67
K00009	3	13	113	23.45	27	11	83	108	64	116	125	13.5	154.5	0.5	10	28.75	1.5	28	44	2.75	312.67	302	116.92	3	3	76.25	77.5	24	85.25	10.25	6	63	6	455	13.5	8.5	100.16	84	200.25	2	10	17.83	8.5	6	69	6.25	7.5	18.25	127.83	322.5	13.5	33.58	109.75	77.5	36	48.25	2.5	512.58	20	10.5	592	16	21.83	11.5	61.5	23	53.5	12.5	44	11.75	310.5	99.25	16.5	3	183.25	0	26	41	147	40	3	5	45	19.5	22.25	10.33	242.5
K00010	177	102	136.38	121.82	141.5	172	439.75	282.38	171	241	601	258	285	240	124.75	74.62	122.75	170.75	139.75	162.25	316.5	42	428.67	197.25	245.88	311.25	197	553.25	261	219.25	215	197	87.62	25	87.63	387	423.71	342.62	163	306	273.62	238.5	829	93.75	78	83.5	310	62.75	299	345.25	90	261.5	213.25	39	187.75	589	46.75	255.33	479	323.5	774.25	226	371	135	106	251.75	592	325.25	323	50.75	164.8	409.75	873.25	81.5	587.75	787	186.12	150	196.25	185.25	94.25	302	614	84.25	861.25	383.75	121.75
K00011	937.18	1111.91	1997.37	1676.2	1376.85	1814.92	1660.67	6802.31	2489.08	1377.05	1463.35	1424.92	1698.67	1417.25	2148.82	1519.49	1386.09	2077.3	672.57	1408.38	1933.92	1491.96	2720.54	864.23	1311.1	1902.67	1740.08	2277.73	2500.08	1961.48	2705.67	1574.93	1634.6	1082.83	2569.25	2019.7	2333.86	2386.81	1379.97	1242.28	2238.45	2199.93	817.7	1895.82	1296.42	2236.15	1773.08	2286.17	1432.47	3847.09	2014.07	1221.28	1819.58	1189.84	547.53	2001.37	866.63	1976.66	1287.66	1486.05	1923.55	5566.68	1202.75	1711.67	1736.43	1416.24	1500.82	1999.32	1893.1	2463.3	852.63	1871.98	1042.67	1224.45	2229.3	914.58	1187.05	1346.73	921	1804.32	1534	2283.87	1826.12	564.64	2146.21	1549.36	1338.6
K00012	4165.34	2073.04	2930.45	6307.29	4449.91	5045.66	4305.8	5517.96	3792.6	2125.43	2097.38	3572.04	2041.25	4436.95	4152.5	1044.22	2982.04	5151.63	3843.72	1953.33	2964.49	3549.95	3849.15	4301.48	2392.71	2955.39	5792.8	3142.95	4872.82	5401.05	2237.37	7126.7	1685.52	2162.23	4071.07	6577.35	3244.43	3351	3466.79	5472.25	3872.74	3404.65	5460	3259.78	5045.92	4515.26	5101.9	3564.57	6800.66	6036.55	5058.92	4319.45	3398.05	3457.16	1290.33	2388.75	1367.08	3746.07	4892.98	1355.05	3587.68	7820.3	4976	6234.92	5173.03	5685.67	4289.19	5914.03	3311.29	3943.1	3728.13	4082.94	3898.09	5583.2	6771.07	6393.1	1749.15	2649.82	813.25	4930.08	5765.62	2689.6	6300.55	1517.65	4844.75	4691.49	2766.2
K00013	5139.84	2347.04	2551.45	5915.54	1818.41	5191.16	4637.3	6153.96	2846.1	2931.93	3487.38	3309.54	2601.75	4857.45	4402	1568.97	1750.04	5428.63	2259.72	2297.58	3869.49	2986.45	3605.4	4325.98	2780.46	3562.14	5663.8	4243.45	4915.57	5220.3	3424.87	6745.7	1574.52	2091.73	3914.57	6686.85	3112.93	3704.5	3532.04	5621.25	4096.74	3886.65	5608.5	2953.78	4350.42	4793.01	4594.4	4113.32	7090.16	5228.55	4842.92	4713.7	3223.3	7365.66	2345.83	3720	1601.58	4137.82	4978.23	2028.05	4711.18	7203.3	4748.5	4405.17	4324.53	5391.17	3714.94	5395.03	3231.79	4974.18	3854.63	3340.44	4399.34	5421.45	6480.82	6081.6	2439.15	2529.82	1224.75	5763.58	7124.62	4329.6	6625.55	1451.15	5228.5	4187.49	3092.7
K00014	5971.34	4008.54	3259.45	7335.79	4717.91	6494.83	5535.47	7118.29	4268.6	3423.93	4439.88	4942.04	3582.42	5790.95	5918.5	3007.97	2501.87	6021.63	3317.97	2843.58	4310.16	4086.12	5171.9	4943.48	3053.21	5700.64	7112.8	5451.95	5783.65	6066.8	5919.37	7469.7	2737.52	2659.73	4705.74	7629.85	3816.76	5250.67	5198.54	6632.08	4856.49	5927.98	6081.83	4935.78	6075.92	5470.01	5941.73	6491.82	7620.66	7628.89	5830.42	5282.03	4433.3	8069.99	2701.33	4222.5	1908.08	4773.82	5747.65	3556.05	6218.18	8651.8	6137.83	6907.67	5979.03	6816.33	5655.86	6176.53	5115.79	5724.35	4810.63	4544.69	4953.17	6387.87	7843.32	7780.1	3508.15	3474.99	2654.25	6962.75	7823.12	5893.1	7141.88	3808.65	6050.33	5818.15	3288.2
K00015	201	82	141.88	90.7	190.5	66	295.75	102.63	172	80	356.25	173	428.5	176	33.75	69.62	375.75	98.75	80.75	114.25	121.25	305	281.92	188.25	229.88	285.5	195.75	170.25	275	214.25	154	76	42.87	450	77.63	340.25	307.88	86.62	283	214	226.62	78.25	835	60.75	76	97.5	231	467.75	76	293.25	80	86.75	222	5.75	265.75	583.25	27.25	196.33	429	788.5	77.25	178	35	97	90	215.75	336	306.25	8	136	246.5	466.75	370	52.5	385	779	700.12	109.5	64.25	105.25	51.25	85	454	1667.75	745.25	317.75	321.25
K00016	2142.1	1816.58	1648.87	1363.78	429.27	1427.42	1338.67	1807.23	859.5	1125.8	2266.6	1368.67	1526.67	1198.5	2337.4	1813.49	655.09	1005.3	812.74	1338.05	1445.5	752.54	1651.29	340.73	589.35	2821.75	1458	2088.98	974	832.98	3372.5	575.93	950.6	980	1399.67	1030.7	572.86	1809.98	1716.3	1781.03	1122.45	2278.93	610.28	481.9	1060.17	857.15	760.83	2374.67	1077.97	3958.59	774.4	1081.78	1344.58	5029.26	1252.7	2010.62	619.3	1697.08	1002.75	1488.8	2482.3	4840.93	1252.33	501.17	1522.6	1096.16	1906.15	303.07	2625.1	3363.55	1276.5	1058.65	1093.67	743.45	1034.05	1394.33	1059.3	551.57	2073.5	2062.32	2014	3143.87	1687.12	741.14	1815.71	998.36	781.43
K00018	201	82	141.88	90.7	190.5	66	295.75	102.63	172	80	356.25	173	428.5	176	33.75	69.62	375.75	98.75	80.75	114.25	121.25	305	281.92	188.25	229.88	285.5	195.75	170.25	275	214.25	154	76	42.87	450	77.63	340.25	307.88	86.62	283	214	226.62	78.25	835	60.75	76	97.5	231	467.75	76	293.25	80	86.75	222	5.75	265.75	583.25	27.25	196.33	429	788.5	77.25	178	35	97	90	215.75	336	306.25	8	136	246.5	466.75	370	52.5	385	779	700.12	109.5	64.25	105.25	51.25	85	454	1667.75	745.25	317.75	321.25
K00019	0	0	0	3.33	4	0	0	9	0	0	4	9	84	0	0	0	0	0	0	0	3	0	17.67	0	0	0	59	0	0.5	0	0	0	1	0	4	0	9	2	5	3	2	4	0	2	2	2	1	0	2	1	0	0	1	0	0	1	4	6.33	0	9	5	0	0	0	6	5	0	4	0	1	0	0	0	5	1	0	1	1	0	1	0	0	0	2	0	0	0
K00020	222	495	1055	459.12	269	310	1220	5323.25	324	641.5	612.75	765	648	732	114	718	160	887	342.5	813	1431.75	1234.67	1449.42	382	924	1558.75	423.25	774	2131.5	1351	890.5	1263	486.25	557.5	1335.5	1711.25	599.83	1509	615	323	1597.25	999.08	413	335	496.5	1823.83	819	1485	911	538	1518	322.25	660.25	499.25	248	1234.25	437.5	1239.83	93	548	908	248.5	366	413.33	369	389.5	398	1428.33	404	496.25	500.3	943	167.25	321	1544.92	600	569	792	478	209	888	1357	685	364.5	389	482	1008.5
K00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00022	222	495	1055	459.12	269	310	1220	5323.25	324	641.5	612.75	765	648	732	114	718	160	887	342.5	813	1431.75	1234.67	1449.42	382	924	1558.75	423.25	774	2131.5	1351	890.5	1263	486.25	557.5	1335.5	1711.25	599.83	1509	615	323	1597.25	999.08	413	335	496.5	1823.83	819	1485	911	538	1518	322.25	660.25	499.25	248	1234.25	437.5	1239.83	93	548	908	248.5	366	413.33	369	389.5	398	1428.33	404	496.25	500.3	943	167.25	321	1544.92	600	569	792	478	209	888	1357	685	364.5	389	482	1008.5
K00024	4033.34	2031.79	1693.45	6296.87	5093.91	5853.41	3288.3	536.46	4413.6	2033.43	1925.38	2835.29	1877.25	4698.95	4075	569.97	4137.87	5491.13	3803.72	1277.33	2423.49	2874.28	2465.15	4029.48	1574.96	2421.39	5929.8	3563.7	3037.32	4166.05	3145.7	5935.7	2419.52	2125.23	2896.07	5005.35	4254.43	2230.75	3135.79	4567.25	2507.74	3305.32	5008.75	3083.78	4832.92	2997.93	4463.4	3044.82	6029.66	5725.3	3696.92	4285.45	2919.05	3093.16	1282.33	2100.25	1074.08	3630.07	5524.73	2148.05	3575.68	7550.3	4723	6986.84	4878.03	5520	4089.94	4431.7	3232.29	3969.93	3330.13	3310.44	4005.59	5653.7	5861.73	5930.1	2178.15	2007.99	755.25	4917.5	5738.62	2323.1	5849.55	2982.65	4647.75	4691.49	2308.2
K00025	4033.34	2031.79	1693.45	6296.87	5093.91	5853.41	3288.3	536.46	4413.6	2033.43	1925.38	2835.29	1877.25	4698.95	4075	569.97	4137.87	5491.13	3803.72	1277.33	2423.49	2874.28	2465.15	4029.48	1574.96	2421.39	5929.8	3563.7	3037.32	4166.05	3145.7	5935.7	2419.52	2125.23	2896.07	5005.35	4254.43	2230.75	3135.79	4567.25	2507.74	3305.32	5008.75	3083.78	4832.92	2997.93	4463.4	3044.82	6029.66	5725.3	3696.92	4285.45	2919.05	3093.16	1282.33	2100.25	1074.08	3630.07	5524.73	2148.05	3575.68	7550.3	4723	6986.84	4878.03	5520	4089.94	4431.7	3232.29	3969.93	3330.13	3310.44	4005.59	5653.7	5861.73	5930.1	2178.15	2007.99	755.25	4917.5	5738.62	2323.1	5849.55	2982.65	4647.75	4691.49	2308.2
K00026	4033.34	2031.79	1693.45	6296.87	5093.91	5853.41	3288.3	536.46	4413.6	2033.43	1925.38	2835.29	1877.25	4698.95	4075	569.97	4137.87	5491.13	3803.72	1277.33	2423.49	2874.28	2465.15	4029.48	1574.96	2421.39	5929.8	3563.7	3037.32	4166.05	3145.7	5935.7	2419.52	2125.23	2896.07	5005.35	4254.43	2230.75	3135.79	4567.25	2507.74	3305.32	5008.75	3083.78	4832.92	2997.93	4463.4	3044.82	6029.66	5725.3	3696.92	4285.45	2919.05	3093.16	1282.33	2100.25	1074.08	3630.07	5524.73	2148.05	3575.68	7550.3	4723	6986.84	4878.03	5520	4089.94	4431.7	3232.29	3969.93	3330.13	3310.44	4005.59	5653.7	5861.73	5930.1	2178.15	2007.99	755.25	4917.5	5738.62	2323.1	5849.55	2982.65	4647.75	4691.49	2308.2
K00027	474	604	273.5	970.45	1135.5	1183	318	454.75	1284.5	316	440.25	241.75	262	1069.5	794	382	1087.5	864	178	551.75	1003.42	603	848.17	142	900	1088.5	508.25	1583	295.25	348.25	1407	266	1267.25	558	988.5	145.75	1498.16	580	465.25	798	397	1131.58	105.5	225	343	297.25	450	743	376.08	2658.5	310.5	567.83	471.5	611.25	193	648	409.5	847.58	988	894.5	1108	4636	437.83	1193.5	815.5	593	1040.5	114.5	991	2219	316.5	808.25	701.5	410	291.5	187	379	177	578	684	1055	1482	1158	264	910.25	608.33	699.5
K00028	474	604	273.5	970.45	1135.5	1183	318	454.75	1284.5	316	440.25	241.75	262	1069.5	794	382	1087.5	864	178	551.75	1003.42	603	848.17	142	900	1088.5	508.25	1583	295.25	348.25	1407	266	1267.25	558	988.5	145.75	1498.16	580	465.25	798	397	1131.58	105.5	225	343	297.25	450	743	376.08	2658.5	310.5	567.83	471.5	611.25	193	648	409.5	847.58	988	894.5	1108	4636	437.83	1193.5	815.5	593	1040.5	114.5	991	2219	316.5	808.25	701.5	410	291.5	187	379	177	578	684	1055	1482	1158	264	910.25	608.33	699.5
K00029	5271.18	3205.79	3108.28	6245.87	4545.75	6200.57	5071.3	5661.29	3914.1	2694.6	3578.05	4586.04	2762.42	5004.45	4846.5	2180.96	2237.53	5782.13	2948.04	2392.5	3120.82	3669.95	3868.82	4431.81	2060.63	4446.72	6451.13	4054.03	5592.15	5612.88	5027.2	7115.03	2043.52	2197.23	3470.91	7276.68	3375.26	4327.08	4456.62	6355.75	4120.57	4609.15	5721.42	3455.77	5431.92	5220.43	5278.9	5475.99	6939.5	4408.8	5414.42	4569.95	4024.05	7357.33	2437.83	3339.92	1488.58	4326.41	5384.23	2683.55	5027.35	3362.13	5523.67	6371.67	4685.7	5674.66	4378.6	6074.87	3541.62	3422.93	4325.13	3718.28	4181.09	5721.53	6936.06	7552.43	2720.32	2876.16	2157.92	5435.17	6678.95	4062.44	5959.22	3520.66	4364.08	5208	2806.7
K00030	11	65.75	910.5	62	66	28.25	90	228.5	489.5	263	97	46	523	12	37.5	44.5	73.5	571	44.5	412.75	71.5	4	482.75	6	28.75	65.25	74.5	31.25	34.75	33.75	595.5	23	32	4.5	67	33.5	64	34.25	15.75	23	85.5	20.5	75.75	37.5	132.5	3.75	90	55.5	149.5	210.75	112.5	85.25	356.25	7	50	721.75	8	482.25	122.25	126.5	35.5	22	16	28.25	200.5	20	65.75	10.5	51	19.75	139.5	8.25	45.25	74.75	136.25	8	106.5	45	32	22.25	2	7	54	10.5	31.25	31	11.5
K00031	3510.93	2705.96	1720.78	5801.62	1674.83	3918.57	4551.97	6831.29	2437.35	2711.35	2445.55	2406.37	2710.92	4606.7	2279.25	1518.97	1570.7	4686.13	1947.8	1819	3921.32	3062.7	2976.65	4562.48	2817.38	3418.72	5145.63	4342.45	4265.65	4890.05	2801.37	6595.7	2248.77	1623.73	3094.83	6185.93	3073.76	3802.75	3433.62	5170.5	3768.57	4004.73	5472.67	4045.52	4210.5	4365.43	4473.65	4090.65	6900	2983.3	4626.92	4614.7	2749.8	2817.83	1598.83	3039.75	1486.08	3390.16	4999.98	2049.8	4345.6	3175.55	4448.92	4502.25	3755.7	5360.58	3135.77	5329.45	2397.62	2268.6	3531.63	2699.78	3986.75	5248.2	6684.57	6081.35	2041.57	2522.66	866.92	4974	6529.95	4148.1	5916.88	1434.82	3939.75	4283	3003.7
K00033	244.91	106.33	1248.38	169.74	196.58	289.34	316.42	77.55	878.25	178.58	522.83	226.67	487.83	211.75	969.5	141.12	466.42	407.75	121.17	580.08	135.34	325.92	381.84	245.75	223.46	379.42	518.17	296	399.34	351.75	245.5	70	49.37	579	93.71	382.42	497.71	156.45	425.67	276.75	393.29	120.91	851.08	174.51	285.42	133.33	244.25	608.42	117.99	605.25	181	187.58	431.5	80.16	277.25	859	57.25	695.24	452.25	879.25	245.83	193.75	153.91	143.42	113.33	283.34	429.17	367.83	38.17	197.42	265.3	591.91	396.59	287	440.75	769.25	709.7	253	256.08	162.58	127.42	84	438.67	1679.08	974.75	411.07	473.58
K00034	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	10.5	0	0	0	0	0	0	0	0.67	0	0	1	0	0	0	2	0	0	1	0	0	0	1.5	0	1	0	4	1.5	0	0	0	0.5	0	0	0	0	1.5	0	0	0	0	48	12	0	0	0	0	0	1.5	0	0	5	1.67	0	1	1.33	0	1.33	0	0.5	2	2	0	0	0
K00036	75.91	61.33	316	80.37	60.08	242.34	80.67	70.17	332.25	100.58	170.83	29.67	205.83	128.75	966.75	103.5	431.67	348	44.42	73.83	121.84	325.92	136.84	60.5	7.58	105.17	407.17	198.75	187.34	165.5	92.5	10	6.75	579	44.08	44.42	225.83	81.83	317.67	71.75	130.67	79.41	22.08	92.76	285.42	95.83	55.25	575.67	61.99	476	110	150.08	262.25	80.16	141.5	194	31.5	606.24	23.25	782.75	211.58	17.75	123.91	143.42	29.33	87.59	114.17	68.58	38.17	188.67	175.5	255.16	43.59	248.5	226	8.25	628.58	146	213.83	82.33	82.17	8	36.67	1608.83	232.5	105.32	358.83
K00039	0	0	0	3.33	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00040	378	1319	676.88	815.37	262.5	575.5	2107.25	5375.88	452.5	433	1341.5	1113.5	741	1133	1669.25	1805.37	535.25	692.25	331.25	749.5	1429	1337.67	2054.42	619.75	592.38	3299	888	2138.25	2331.75	1642.5	1652	1359	842.62	577.5	1393.13	2146.5	637.38	2516.12	1561.75	1005.5	2096.12	2324.33	1416.5	356.75	615.5	2024.58	1038	3120	1159	1124.25	1616	697.75	615.5	166.5	513.25	1383.25	553.75	959.58	1016.17	1248.5	1385.75	383	1123.5	561.33	541	855.25	1579.5	1716.08	1248	573	763.3	1279	1213.75	499.5	1846.67	2458	748.62	913.5	1727.75	397.25	1446.25	2993	1455	819.25	1179	1276.75	1198.75
K00041	90	1194	628.5	567.45	87	363.5	887.5	462.5	639.5	215	778.5	310	421.5	854.5	1659.5	1365	480	483.5	240.5	548.5	862.5	639	500.67	158.5	201.5	2454.5	596	1868	192.5	263	1416	140	708	546.5	175	248	226.33	1300.5	1160.5	554.5	563.5	1881	207	160	407.5	267	206.5	2245	420.5	885.5	407.5	512	414	78.5	179.5	703	287	724.83	581.17	1086.5	1096.5	151	830	353.5	173.5	558.5	1114	71	1204	478.5	474.5	300	786.75	441	630	1178	522.5	200.5	1670.5	308	1244	2520	726	607	363.5	601	716
K00042	557.33	273.58	1472.83	974.12	1216.33	1264.25	1152	5376.58	1903.33	527	411.25	993.25	802	592	691.17	570	987.33	1399	215.33	903.33	753.09	1040.34	1270.59	328	322.75	693.92	693.08	726.25	2212	1498	1737	1394	931.25	544.33	2143.33	1626.25	1710.16	1288.91	617.67	911	1483	765.08	562.92	322.67	522	1920.5	1062	1067	980.08	2614.25	1457.67	398.58	1295.25	522.91	257.33	971.25	494.83	1457.16	921.08	561	550	4695	500	1217.75	1151.83	530.33	781.92	1719	1515	1805.58	552.63	1392.83	378.75	333.25	1604.92	643	282	788.83	482	744.92	283	432	1242	224	771	912.33	760.5
K00043	0	0	0	1	0	0	0.5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00045	0	0	0	3.33	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6.33	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00046	47	786	94.5	314.33	27.5	47.5	682	11.5	103.5	121	425.5	157	144.5	175.5	599.5	1004	256	32.5	134.5	212.5	161.5	91	172.67	71.5	89.5	1499.5	200	779	108	25	1040	76	282	45.5	58	116	17.5	929.5	828.5	432.5	325.5	1155	177	27	184.5	182	59.5	1440	269.5	486.5	129.5	218	195	57.5	64.5	217	209.5	522.83	505.17	482.5	709.5	92	657	118.5	116.5	330.5	694	9	790	59.5	216	105	270.5	0	117	1117	186.5	127	1287.5	74	445	1343	378	419	106.5	513	53.5
K00048	208	1337	1244.5	798.12	222	320.5	1824	5319.5	319.5	739	1180.5	991	966.5	1045.5	760.5	1750	468	795.5	356.5	1050.5	1602.5	1347.67	1681.17	435.5	414.5	3098.5	497	1996	2084	1342	2038	1306	806	589.5	1432	1795	403.33	2528.5	1423.5	772.5	1909.5	2283.33	584	401	832.5	1984.83	912.5	2939	1089.5	1179.5	1582.5	639	723.5	97	370.5	1682	516	910.33	594.17	1353.5	1824.5	221	1105	541.83	549.5	651.5	1290	1472.33	1285	560.5	686.3	951	764.75	324	1299.67	1683	789.5	788	1801.5	250	1345	2919	999	758.5	441.5	947	958
K00049	201	82	141.88	90.7	190.5	66	295.75	102.63	172	80	356.25	173	428.5	176	33.75	69.62	375.75	98.75	80.75	114.25	121.25	305	281.92	188.25	229.88	285.5	195.75	170.25	275	214.25	154	76	42.87	450	77.63	340.25	307.88	86.62	283	214	226.62	78.25	835	60.75	76	97.5	231	467.75	76	293.25	80	86.75	222	5.75	265.75	583.25	27.25	196.33	429	788.5	77.25	178	35	97	90	215.75	336	306.25	8	136	246.5	466.75	370	52.5	385	779	700.12	109.5	64.25	105.25	51.25	85	454	1667.75	745.25	317.75	321.25
K00050	201	82	141.88	90.7	190.5	66	295.75	102.63	172	80	356.25	173	428.5	176	33.75	69.62	375.75	98.75	80.75	114.25	121.25	305	281.92	188.25	229.88	285.5	195.75	170.25	275	214.25	154	76	42.87	450	77.63	340.25	307.88	86.62	283	214	226.62	78.25	835	60.75	76	97.5	231	467.75	76	293.25	80	86.75	222	5.75	265.75	583.25	27.25	196.33	429	788.5	77.25	178	35	97	90	215.75	336	306.25	8	136	246.5	466.75	370	52.5	385	779	700.12	109.5	64.25	105.25	51.25	85	454	1667.75	745.25	317.75	321.25
